w_q1	w_q2	w_q3low	roc_auc	ap	lower_half_auc	q1_auc	knownness_spearman	objective
0.5	0.5	0.5	0.8163534149285822	0.7303891259818711	0.7463033189287709	0.6732432432432433	0.6265402828233195	1.1122390309735302
0.15	0.15	0.15	0.8143796205732815	0.7286772439857946	0.7426139871240849	0.6720270270270271	0.5941578211447124	1.1121534400014412
0.35	0.35	0.35	0.815300430886357	0.7296840847026816	0.7436281859070466	0.6725675675675676	0.6140233809743391	1.1115000620745505
0.65	0.65	0.65	0.8165428639403634	0.730323109566483	0.7463180174618573	0.6737837837837838	0.6375751940652484	1.1114375065291524
0.25	0.25	0.25	0.8146968375232406	0.7291271359557071	0.7427315753887762	0.6716891891891892	0.6042628207373116	1.1114278659039802
0.0	0.0	0.0	0.8123441451443778	0.7262418793658887	0.7403357144956935	0.6718918918918919	0.578581440411146	1.1109650938303495
0.35	0.35	0.25	0.8136967229726753	0.7289857403391087	0.7385277949260663	0.6725675675675676	0.6158835336356122	1.1081802216004475
0.5	0.5	0.35	0.81432234529065	0.72932072232151	0.7400417438339654	0.6732432432432433	0.6288661676639903	1.1080969003230892
0.25	0.25	0.15	0.8129609558804093	0.7282802076496137	0.7372784196137225	0.6716891891891892	0.6061133076141203	1.107870988840952
0.15	0.15	0.0	0.8119388123749858	0.7273156178381974	0.7354264044448364	0.6720270270270271	0.5964503884376183	1.1073271002700802
0.35	0.25	0.25	0.8129917964172106	0.7282313079713455	0.737513596143105	0.6725675675675676	0.6171589265018433	1.1070434961234714
0.25	0.15	0.15	0.8121106382228801	0.7274109505932226	0.7358232648381691	0.6716891891891892	0.607163181193448	1.1064791373928238
0.35	0.35	0.15	0.8128199705693164	0.728385423522276	0.7359408531028603	0.6725675675675676	0.6164744034432259	1.1064682996693656
0.65	0.65	0.5	0.8140976499510957	0.7292963244359003	0.7384249051944616	0.6737837837837838	0.6403764096529211	1.1063442373008987
0.5	0.35	0.35	0.8133530712768864	0.7284978638291479	0.7376752800070553	0.6732432432432433	0.6311636668246933	1.1061879372451824
0.5	0.5	0.25	0.8133222307400847	0.7287646912649269	0.7369550518858218	0.6732432432432433	0.6290390695929048	1.1061534879951893
0.8	0.8	0.8	0.8145646637940909	0.7289087635836076	0.7405267954258166	0.6674324324324324	0.6472258144061002	1.1054866074677123
0.25	0.25	0.0	0.8115026390687919	0.7272515611389573	0.7333686098127407	0.6716891891891892	0.6068138772190783	1.1051696721285442
0.65	0.5	0.5	0.8133927233956312	0.7290127896481073	0.7365434929594027	0.6737837837837838	0.6435537775107021	1.1047571502891385
0.35	0.25	0.15	0.8117669865270911	0.7275075907292967	0.7337654702060734	0.6725675675675676	0.617749796309457	1.104635161471481
0.35	0.35	0.0	0.8116524359618282	0.7274717286387162	0.7330011464855807	0.6725675675675676	0.6163438366041426	1.1044319097606017
0.15	0.0	0.0	0.8100002643474583	0.7252439786287062	0.7321486315665697	0.6720270270270271	0.5975448488166808	1.1042957743411665
0.5	0.5	0.15	0.8123221161895195	0.728127146701435	0.7339565511361966	0.6732432432432433	0.6291625805731097	1.1042414721217162
0.35	0.15	0.15	0.8110224078528818	0.7265998831986513	0.7326630802245935	0.6725675675675676	0.6174274108056431	1.1035921043532093
0.5	0.35	0.25	0.8120004934485888	0.7278179602349578	0.733412705412	0.6732432432432433	0.6313365687536079	1.1035392968454767
0.25	0.15	0.0	0.8102073365231259	0.7262166362975504	0.7304289031954612	0.6716891891891892	0.607863750801662	1.102887470239436
0.65	0.65	0.35	0.8121546961325968	0.7281885513767364	0.7324573007613839	0.6737837837837838	0.6407865131590031	1.1025699918018683
0.35	0.25	0.0	0.8105333650550284	0.7266184136709746	0.7306052855924979	0.6725675675675676	0.6176192294743291	1.1024665412988583
0.5	0.25	0.25	0.8108902341237322	0.7268542472809624	0.7310462415850899	0.6732432432432433	0.6310514953287664	1.101747605715031
0.5	0.35	0.15	0.8110400310167685	0.7272365200739158	0.7305464914601523	0.6732432432432433	0.6314600797338128	1.1017066191300817
0.65	0.65	0.25	0.8116260012159983	0.7277892515019965	0.730943351853485	0.6737837837837838	0.6409828199985612	1.1015674815289442
0.5	0.5	0.0	0.8107668719765261	0.7270190098618933	0.7297233736073139	0.6732432432432433	0.6293626736736777	1.1013962653400013
0.8	0.8	0.65	0.8121855366693982	0.7279924932816234	0.7327806684892848	0.6674324324324324	0.6496589235818035	1.1005403313444897
0.35	0.15	0.0	0.8093438014926819	0.7255431574628257	0.728018343769292	0.6725675675675676	0.6172968439695153	1.1005331337400317
0.25	0.0	0.0	0.808493483835153	0.7242745475786557	0.7279007555046005	0.6716891891891892	0.6070353317691912	1.1004980151474517
0.65	0.5	0.35	0.8111810163278614	0.7278166089656736	0.7296792780080548	0.6737837837837838	0.6439638810167839	1.100445168385356
0.65	0.65	0.15	0.8109210746605338	0.7272617601639229	0.7289296528206486	0.6737837837837838	0.6411206548916267	1.1002446617743222
0.8	0.65	0.65	0.8117537691541763	0.7278848852092488	0.7316488814416321	0.6674324324324324	0.6526739560010579	1.0994675244730465
0.5	0.25	0.15	0.8095817142051513	0.7261508791876641	0.7270188435194168	0.6732432432432433	0.631175006308971	1.099218515278728
0.65	0.5	0.25	0.8104672781904535	0.7273824219784858	0.7275479907105271	0.6737837837837838	0.6441601878563421	1.099072413374734
0.5	0.35	0.0	0.8094759752218316	0.7261343171027848	0.7262839168650969	0.6732432432432433	0.6316601728415059	1.0988437816458587
0.35	0.0	0.0	0.8076387603866523	0.7235291253813639	0.7255195931446041	0.6725675675675676	0.6156807643528497	1.098240075408262
0.65	0.65	0.0	0.8096345836968111	0.7262087048033778	0.7255930858100362	0.6737837837837838	0.6412106064821822	1.0979482055483603
0.5	0.15	0.15	0.8086741212649906	0.7252222945931374	0.7253726078137402	0.6732432432432433	0.6302533220033024	1.0979092200574312
0.65	0.5	0.15	0.809700670561386	0.7268289449696486	0.7253285122144809	0.6737837837837838	0.6442980227494077	1.097626178707546
0.8	0.8	0.5	0.8106875677390362	0.7272449001102788	0.7280477408354646	0.6674324324324324	0.6502998228982969	1.0975583941863323
0.5	0.25	0.0	0.8079515715456396	0.7250768597872096	0.7225357909280655	0.6732432432432433	0.6313750994157801	1.0962234475311299
0.65	0.35	0.35	0.80891203397746	0.7264450642247311	0.7229767469206573	0.6737837837837838	0.6444040909544488	1.096121405714969
0.8	0.65	0.5	0.809788786380819	0.7269833333171806	0.7253579092806539	0.6674324324324324	0.6533148553175512	1.0955511601197465
0.65	0.5	0.0	0.8084978896261247	0.725841400314208	0.7222712173325102	0.6737837837837838	0.6443879743498169	1.0954972141476529
0.8	0.8	0.35	0.809533250504463	0.7264120440165238	0.7247111738248524	0.6674324324324324	0.6508127211483392	1.0953518170235712
0.65	0.35	0.25	0.8078458325623199	0.7258876029341867	0.7196695769762178	0.6737837837837838	0.644600397794007	1.0940434226325413
0.5	0.15	0.0	0.8065989937173421	0.723983662794813	0.7194050033806626	0.6732432432432433	0.6304534151072531	1.0940238018694644
1.0	1.0	1.0	0.8096852502929851	0.7255817771419023	0.7269967957197871	0.6566554054054053	0.6550322903561315	1.093612141054389
0.8	0.8	0.25	0.8086168459823592	0.7258344755277741	0.7219037540053501	0.6674324324324324	0.6510076097121518	1.0935736976992356
0.8	0.5	0.5	0.8085595706997277	0.72633010674766	0.7217273716083136	0.6674324324324324	0.6541227549226536	1.0931519931764426
0.8	0.65	0.35	0.8083877448518333	0.7261269750675055	0.721198224417203	0.6674324324324324	0.6538277535675936	1.0928509233067214
0.65	0.25	0.25	0.8069999206957625	0.724982972141998	0.7181850251344916	0.6737837837837838	0.6441759905401224	1.0927945859388544
0.65	0.35	0.15	0.8071188770519973	0.7253943273819065	0.7175823852779493	0.6737837837837838	0.6447382326870725	1.0926765261234315
0.8	0.65	0.25	0.8075726735220774	0.7255679187558454	0.7187288708586883	0.6674324324324324	0.6540226421314064	1.0912755570530297
0.65	0.25	0.15	0.8059249076986791	0.7243658807269593	0.7149366493223976	0.6737837837837838	0.6443138254331879	1.0907312767088364
0.65	0.35	0.0	0.8059072845347924	0.7244170421461378	0.7144956933298057	0.6737837837837838	0.644828184288847	1.090529930861606
0.5	0.0	0.0	0.804224272383621	0.7216459452837161	0.7146720757268424	0.6732432432432433	0.6292480372700718	1.0903497400233153
0.8	0.8	0.15	0.8067708195652364	0.7248906594300291	0.7160831349031367	0.6674324324324324	0.6513835536099943	1.0899438911616643
0.8	0.5	0.35	0.8068897759214713	0.7253823438200171	0.7166710762265924	0.6674324324324324	0.6546356531726959	1.0899140199586659
0.65	0.15	0.15	0.8051891406064131	0.7235042445985105	0.7138636564070906	0.6737837837837838	0.6435785402019171	1.0897471402651053
0.65	0.25	0.0	0.8046472283168996	0.723414191617143	0.7116294793779582	0.6737837837837838	0.644403777033646	1.088452451183679
0.8	0.5	0.25	0.8058896613709059	0.7247909147098706	0.713584384278449	0.6674324324324324	0.6548305417365086	1.087968408967276
0.8	0.65	0.15	0.8057398644778697	0.7246252440563596	0.712952347355734	0.6674324324324324	0.6543985860292486	1.0876721965681515
1.0	1.0	0.8	0.8067377761329491	0.7246098983409688	0.7168989034894316	0.6566554054054053	0.6583670302821832	1.0873018252326412
0.8	0.35	0.35	0.8053874012001374	0.7243029571535193	0.7125260898962285	0.6674324324324324	0.6551895335422652	1.0871127613012659
0.65	0.15	0.0	0.8034664763364967	0.7223815708351535	0.7090719346209248	0.6737837837837838	0.6436684918000949	1.0865779642995212
1.0	0.8	0.8	0.8062178927982941	0.7245901708294877	0.7148411088573359	0.6566554054054053	0.6638334277736982	1.085617963759206
1.0	1.0	0.65	0.8054997488699145	0.7240265192965921	0.712959696622277	0.6566554054054053	0.6593463331019265	1.084784105627486
0.8	0.8	0.0	0.8039378959704636	0.7232712440374955	0.7075873827791986	0.6674324324324324	0.6523314074622758	1.084467456544482
0.8	0.35	0.25	0.8040348233718398	0.7235871895971042	0.7082635153011729	0.6674324324324324	0.6553844221060778	1.0844619222380703
0.8	0.5	0.15	0.803995171253095	0.7238327663771345	0.707602081312285	0.6674324324324324	0.655206485634351	1.0842416335698317
0.65	0.0	0.0	0.8015323340999411	0.7201399960987163	0.7058088602757445	0.6737837837837838	0.6425102330230316	1.083780725637118
0.8	0.25	0.25	0.803206534669169	0.722745154919455	0.7068377575917923	0.6674324324324324	0.6552116411675111	1.0832231843164422
0.8	0.65	0.0	0.802955404583785	0.7230203951600396	0.7046182790957463	0.6674324324324324	0.6553464398908805	1.0822927308099073
1.0	0.8	0.65	0.8042044463242486	0.723775078330534	0.7083149601669753	0.6566554054054053	0.664812730392997	1.0815487424161225
1.0	1.0	0.5	0.8035435776785006	0.7229974469886707	0.7066981215274715	0.6566554054054053	0.660067287861867	1.0808773664316365
0.8	0.35	0.15	0.802179985372774	0.7226895815767835	0.7024134991327866	0.6674324324324324	0.6557603660039203	1.0808144849987043
1.0	0.65	0.65	0.8034114039493512	0.7233948658306124	0.705977893406238	0.6566554054054053	0.6661759017862625	1.0799182628736772
0.8	0.5	0.0	0.8012944213874715	0.7223070415201089	0.699547285180939	0.6674324324324324	0.6561543394984881	1.0790296594783908
0.8	0.25	0.15	0.8010036391833426	0.7217263505150435	0.6998265573095804	0.6674324324324324	0.6555875850653534	1.0788793343561678
1.0	0.8	0.5	0.8024289125626723	0.722885684784119	0.7026560249287122	0.6566554054054053	0.665533685005372	1.0780034326218297
1.0	1.0	0.35	0.8011600447628362	0.7216934284373111	0.6992606637857541	0.6566554054054053	0.6612352550069006	1.0761457994789534
0.8	0.15	0.15	0.7993823081057742	0.720675818712619	0.6957991592439075	0.6674324324324324	0.6552560849553268	1.0760829338699
0.8	0.35	0.0	0.7994704239252074	0.7211752179388556	0.6943293059352676	0.6674324324324324	0.6567082198697751	1.0755848802052965
