w_q1	w_q2	w_q3	w_q4	roc_auc	ap	lower_half_auc	q1_auc	knownness_spearman	objective
0.35	0.35	0.35	0.0	0.7513890113766646	0.51078900933832	0.7513890113766646	0.6805405405405405	-0.21670475208239626	1.0586537254685036
0.25	0.25	0.25	0.0	0.7476114883734604	0.503157367814352	0.7476114883734604	0.6783783783783784	-0.21914773174772537	1.0538029357634002
0.5	0.5	0.35	0.0	0.7477878707704971	0.514186859695108	0.7477878707704971	0.6852702702702702	-0.19562451790514074	1.0531753404360733
0.15	0.15	0.15	0.0	0.7453920098774143	0.49417223220182077	0.7453920098774143	0.6768243243243243	-0.22132636993182797	1.0509697705899628
0.35	0.35	0.25	0.0	0.7449657524179087	0.5068344290571413	0.7449657524179087	0.6805405405405405	-0.2024063649911142	1.0494807808027562
0.5	0.5	0.25	0.0	0.7448922597524767	0.5110577905227532	0.7448922597524767	0.6852702702702702	-0.19203824062337357	1.0492689244810063
0.25	0.25	0.2	0.0	0.7440250463003791	0.5012872713759099	0.7440250463003791	0.6783783783783784	-0.2109769022296124	1.0486662168105996
0.5	0.35	0.35	0.0	0.7447158773554399	0.5061004535000491	0.7447158773554399	0.6852702702702702	-0.1734446039720879	1.0475609555526073
0.5	0.5	0.2	0.0	0.7435546932416145	0.5093645416496586	0.7435546932416145	0.6852702702702702	-0.1907795354172689	1.04749626992594
0.35	0.35	0.2	0.0	0.7435693917747009	0.505199252922065	0.7435693917747009	0.6805405405405405	-0.1988242830317017	1.0474487634419933
0.15	0.15	0.1	0.0	0.7418202663374195	0.49226416823446345	0.7418202663374195	0.6768243243243243	-0.21364028092650525	1.0458902040445435
0.65	0.65	0.35	0.0	0.7422759208630979	0.5127330440021087	0.7422759208630979	0.6873648648648649	-0.18364119443086807	1.0456409263630715
0.5	0.5	0.15	0.0	0.742173031131493	0.5076570607832954	0.742173031131493	0.6852702702702702	-0.18889236368912643	1.0456182185500371
0.25	0.25	0.15	0.0	0.7418349648705059	0.49969989535654835	0.7418349648705059	0.6783783783783784	-0.20574233342791248	1.0455098495191222
0.35	0.35	0.15	0.0	0.7421436340653204	0.5031081074484622	0.7421436340653204	0.6805405405405405	-0.19667483132325084	1.0454946101685916
0.35	0.25	0.25	0.0	0.7424376047270482	0.5010463349988056	0.7424376047270482	0.6805405405405405	-0.18497815968124642	1.044926339764391
0.0	0.0	0.0	0.0	0.7403357144956935	0.47882033146218983	0.7403357144956935	0.6718918918918919	-0.2228570116295253	1.0440319878337627
0.35	0.35	0.1	0.0	0.7409383543522357	0.5020804625997363	0.7409383543522357	0.6805405405405405	-0.19514842115103437	1.0438658977134583
0.25	0.25	0.1	0.0	0.7403945086280389	0.4981140572118919	0.7403945086280389	0.6783783783783784	-0.20199157057658626	1.0434092181879324
0.5	0.5	0.1	0.0	0.7404239056942118	0.5052973110405151	0.7404239056942118	0.6852702702702702	-0.18683745139994282	1.0432674187703008
0.65	0.65	0.25	0.0	0.7399829497016199	0.5096802777367281	0.7399829497016199	0.6873648648648649	-0.18042515434689693	1.0425174292045065
0.35	0.35	0.0	0.0	0.7393803098450774	0.49810584598266955	0.7393803098450774	0.6805405405405405	-0.19323911548081404	1.041765597625893
0.5	0.35	0.25	0.0	0.7402328247640886	0.5020205948530303	0.7402328247640886	0.6852702702702702	-0.16985832474771867	1.0416702374754687
0.35	0.25	0.2	0.0	0.7400270453008789	0.49922194318264845	0.7400270453008789	0.6805405405405405	-0.1813960756413614	1.0416265737584887
0.25	0.15	0.15	0.0	0.7397183761060647	0.4918140014152463	0.7397183761060647	0.6783783783783784	-0.18875850669820624	1.0415054074251942
0.65	0.65	0.2	0.0	0.7391745303818679	0.5083026186308202	0.7391745303818679	0.6873648648648649	-0.1792050027065684	1.04140929292359
0.15	0.15	0.0	0.0	0.7380280448011288	0.4887612343030029	0.7380280448011288	0.6768243243243243	-0.2041194670081116	1.0403882620107088
0.65	0.65	0.15	0.0	0.7379104565364377	0.506872849912669	0.7379104565364377	0.6873648648648649	-0.17731540781810037	1.0396780330257251
0.5	0.35	0.2	0.0	0.7387188758561897	0.5006233843857213	0.7387188758561897	0.6852702702702702	-0.1685996195867039	1.039677104927714
0.25	0.25	0.0	0.0	0.7374695005438459	0.49426545413873696	0.7374695005438459	0.6783783783783784	-0.1977636259739931	1.0394147225144834
0.35	0.25	0.15	0.0	0.7383367139959431	0.4971773148208364	0.7383367139959431	0.6805405405405405	-0.1792466240099092	1.0393417034968029
0.5	0.5	0.0	0.0	0.7374254049445865	0.5022230222254105	0.7374254049445865	0.6852702702702702	-0.1836421709283127	1.0392636703955387
0.5	0.25	0.25	0.0	0.7380427433342154	0.49861447485643495	0.7380427433342154	0.6852702702702702	-0.1625591532180977	1.0383487019657576
0.65	0.65	0.1	0.0	0.7369550518858219	0.5044869127048455	0.7369550518858219	0.6873648648648649	-0.1754467172082615	1.038334281963668
0.25	0.15	0.1	0.0	0.7373225152129819	0.48999370623482646	0.7373225152129819	0.6783783783783784	-0.1850077417273096	1.0382105201111687
0.65	0.5	0.35	0.0	0.7376164858747097	0.5075672111988196	0.7376164858747097	0.6873648648648649	-0.15939457633838755	1.037876903180188
0.35	0.25	0.1	0.0	0.7371020372166859	0.49591763871151695	0.7371020372166859	0.6805405405405405	-0.17772021389237258	1.0376762447133283
0.5	0.35	0.15	0.0	0.7371755298821178	0.49975973333967727	0.7371755298821178	0.6852702702702702	-0.1667124479261646	1.037596948727281
0.35	0.15	0.15	0.0	0.7371020372166859	0.4898820154314472	0.7371020372166859	0.6805405405405405	-0.17142093964946037	1.0371723027738953
0.5	0.35	0.1	0.0	0.7354851985771819	0.49811775511812095	0.7354851985771819	0.6852702702702702	-0.16465753571059305	1.0353196416188655
0.65	0.65	0.0	0.0	0.7346767792574302	0.5004517833893455	0.7346767792574302	0.6873648648648649	-0.17240644666432045	1.0352432195346633
0.35	0.25	0.0	0.0	0.7351618308492812	0.493520473627973	0.7351618308492812	0.6805405405405405	-0.1758109082905483	1.0350982423059265
0.5	0.25	0.2	0.0	0.7355145956433549	0.4970381802218948	0.7355145956433549	0.6852702702702702	-0.16130044611599278	1.0350878207840135
0.65	0.5	0.25	0.0	0.7351324337831084	0.5053620522110102	0.7351324337831084	0.6873648648648649	-0.15617853636962287	1.034514554868185
0.35	0.15	0.1	0.0	0.7349119557868125	0.4883965306017586	0.7349119557868125	0.6805405405405405	-0.1698945274850165	1.034312588013398
0.25	0.15	0.0	0.0	0.7339565511361967	0.4860020430466989	0.7339565511361967	0.6783783783783784	-0.18077979727617186	1.0336648294590964
0.65	0.5	0.2	0.0	0.7345003968603934	0.5039443765107808	0.7345003968603934	0.6873648648648649	-0.1549583847730032	1.0336268965870616
0.15	0.0	0.0	0.0	0.733677279007555	0.47826900669725525	0.733677279007555	0.6768243243243243	-0.18202599097725528	1.0331823266862727
0.5	0.25	0.15	0.0	0.733706676073728	0.49622932546791276	0.733706676073728	0.6852702702702702	-0.15941327445545342	1.0326769475891366
0.8	0.8	0.35	0.0	0.7327953670223712	0.5006800755141915	0.7327953670223712	0.681081081081081	-0.17109153860529255	1.0318436940285496
0.65	0.5	0.15	0.0	0.7331775288826174	0.5017823980876246	0.7331775288826174	0.6873648648648649	-0.15306878995222514	1.0318221440291797
0.5	0.35	0.0	0.0	0.7327806684892848	0.49421790626363404	0.7327806684892848	0.6852702702702702	-0.16146225535342573	1.0316833565804207
0.35	0.15	0.0	0.0	0.7325307934268162	0.4856886937351298	0.7325307934268162	0.6805405405405405	-0.16798522188319218	1.0311833906152568
0.5	0.25	0.1	0.0	0.7319869477026193	0.4943641127641034	0.7319869477026193	0.6852702702702702	-0.15735836223988187	1.0303628941480052
0.65	0.5	0.1	0.0	0.7319722491695329	0.49927820756408847	0.7319722491695329	0.6873648648648649	-0.15120009940932735	1.030166049144392
0.8	0.8	0.25	0.0	0.7310315430520034	0.49868778561179933	0.7310315430520034	0.681081081081081	-0.1684822289335736	1.0294301692918522
0.5	0.15	0.15	0.0	0.7313549107799042	0.48683356755859813	0.7313549107799042	0.6852702702702702	-0.1537044554346822	1.0292805354501955
0.65	0.35	0.35	0.0	0.7314578005115089	0.4973859124505363	0.7314578005115089	0.6873648648648649	-0.14750753046602402	1.0292275828063977
0.25	0.0	0.0	0.0	0.7301937266660787	0.4759362022375423	0.7301937266660787	0.6783783783783784	-0.16974194274997753	1.0280782705093532
0.8	0.8	0.2	0.0	0.7290619396184261	0.4975512779904431	0.7290619396184261	0.681081081081081	-0.16693296148783882	1.0268442236042221
0.65	0.5	0.0	0.0	0.7294588000117589	0.4955218113774157	0.7294588000117589	0.6873648648648649	-0.14815982897429636	1.026781016062372
