w_q1	w_q2	w_q3low	roc_auc	ap	lower_half_auc	q1_auc	knownness_spearman	objective
0.65	0.65	0.65	0.8212834950258621	0.7346262858117009	0.7577387776699885	0.6873648648648649	0.6365502160119841	1.1224230796986332
0.5	0.5	0.5	0.8200674967176858	0.7337007851412655	0.7556662845048064	0.6852702702702702	0.6254760768045133	1.1212738284427304
0.35	0.35	0.35	0.8182611224193078	0.7322075935848631	0.7513890113766646	0.6805405405405405	0.613373741435925	1.1184485597968228
0.25	0.25	0.25	0.8166045450139663	0.7308454049589461	0.7476114883734604	0.6783783783783784	0.6038920032793317	1.1161744668737468
0.5	0.5	0.35	0.8175826306096734	0.7325714165984445	0.7477878707704971	0.6852702702702702	0.6283300403398177	1.1161400418608949
0.65	0.65	0.5	0.818247905046393	0.733434788147291	0.7480230472998796	0.6873648648648649	0.6400042647251619	1.1161273657368136
0.8	0.8	0.8	0.8191554979865535	0.7335174223177726	0.7508010700532087	0.681081081081081	0.64653381541955	1.1159586536767774
0.15	0.15	0.15	0.8153973582877333	0.7295543268466869	0.7453920098774143	0.6768243243243243	0.5939434372998369	1.1149854823858387
0.5	0.5	0.25	0.8166618202965977	0.7320270858126582	0.7448922597524767	0.6852702702702702	0.628555512577716	1.1143280010186234
0.35	0.35	0.25	0.8162829222730357	0.7313053485136853	0.7449657524179087	0.6805405405405405	0.6155900926263432	1.1143217468438822
0.65	0.5	0.5	0.8171023993937632	0.7326806814612062	0.7453038186788958	0.6873648648648649	0.6431940973606628	1.1138471082343386
0.5	0.35	0.35	0.8163357917646955	0.7315200946292517	0.7447158773554399	0.6852702702702702	0.6311311781091365	1.113691491214468
1.0	1.0	1.0	0.8183051803290246	0.730222027794195	0.7484052091601258	0.6801351351351351	0.6551829015716375	1.1133354799469255
0.5	0.5	0.15	0.8157189810286641	0.7314131775106292	0.742173031131493	0.6852702702702702	0.6286170428921007	1.1125632401329562
0.65	0.65	0.35	0.8164018786292703	0.7323622345018317	0.7422759208630979	0.6873648648648649	0.6405420130550079	1.1125034265556717
0.35	0.35	0.15	0.8153092424683004	0.730682951286309	0.7421436340653204	0.6805405405405405	0.6161321764437113	1.1124472231516336
0.25	0.25	0.15	0.8147453012239287	0.7299708263901452	0.7418349648705059	0.6783783783783784	0.6058602974254296	1.1123854366182133
0.35	0.25	0.25	0.815124199247491	0.7302873669478972	0.7424376047270482	0.6805405405405405	0.6171607855150836	1.1122475102222054
0.65	0.65	0.25	0.8156617057460325	0.7318781935417116	0.7399829497016199	0.6873648648648649	0.6406986753924959	1.111059696090242
0.0	0.0	0.0	0.8123441451443778	0.7262418793658887	0.7403357144956935	0.6718918918918919	0.578581440411146	1.1109650938303495
0.5	0.35	0.25	0.8149391560266815	0.7307831637837224	0.7402328247640886	0.6852702702702702	0.6313566483876597	1.1109273926711962
0.8	0.8	0.65	0.8166926608333993	0.7326217089174777	0.7428050680542082	0.681081081081081	0.6499015307347817	1.1107602443923996
0.35	0.35	0.0	0.8142033889344154	0.7297940824361393	0.7393803098450774	0.6805405405405405	0.6160153266528805	1.1105240573307587
0.25	0.15	0.15	0.813613012944214	0.7288790567064003	0.7397183761060647	0.6783783783783784	0.6069370876060418	1.110510492691105
0.15	0.15	0.0	0.8129124921797211	0.7282106771965865	0.7380280448011288	0.6768243243243243	0.5963860069558239	1.1100471697893421
0.8	0.65	0.65	0.8163974728382986	0.7324766329151318	0.7421436340653204	0.681081081081081	0.6532487650308761	1.1099319027710233
0.65	0.65	0.15	0.8149127212808517	0.7313221792965	0.7379104565364377	0.6873648648648649	0.6407534907424858	1.1096834821405073
0.35	0.25	0.15	0.8137672156282216	0.7295471707819214	0.7383367139959431	0.6805405405405405	0.6177028674134558	1.109606051193767
0.25	0.25	0.0	0.8131592164741336	0.7288741771809658	0.7374695005438459	0.6783783783783784	0.6065877787882816	1.109416964434135
0.5	0.5	0.0	0.814018345713606	0.7302429341745333	0.7374254049445865	0.6852702702702702	0.62883742009195	1.1094162792418412
0.5	0.25	0.25	0.8138817661934847	0.7298355191417119	0.7380427433342154	0.6852702702702702	0.6310448313302768	1.1092441601147758
0.65	0.5	0.35	0.8146748085683821	0.7314415939783092	0.7376164858747097	0.6873648648648649	0.6437318436908183	1.1090595429346861
0.5	0.35	0.15	0.8138949835663998	0.7301808105041322	0.7371755298821178	0.6852702702702702	0.631418178701472	1.108959878714942
0.35	0.15	0.15	0.812899274806806	0.7285350715558863	0.7371020372166859	0.6805405405405405	0.617077591206976	1.1084302349592223
0.65	0.5	0.25	0.8138773604025131	0.7309848731847925	0.7351324337831084	0.6873648648648649	0.6438885060268488	1.1075012129077337
0.65	0.65	0.0	0.8136658824358737	0.730265856384472	0.7346767792574302	0.6873648648648649	0.6409104488341615	1.1074508443026594
0.35	0.25	0.0	0.8125379999471305	0.728640634931614	0.7351618308492812	0.6805405405405405	0.6175860176237123	1.1074360555476517
0.8	0.8	0.5	0.8148818807440499	0.7317226210028875	0.7371755298821179	0.681081081081081	0.650595134799786	1.1071912424449228
0.25	0.15	0.0	0.8116083780521117	0.7276356996227882	0.7339565511361967	0.6783783783783784	0.6076645670798793	1.1067045623606584
0.5	0.25	0.15	0.8124542899186691	0.7291170417834112	0.733706676073728	0.6852702702702702	0.6311063596870792	1.1065097108261337
0.15	0.0	0.0	0.8106258866654331	0.7259815063549955	0.733677279007555	0.6768243243243243	0.5975317818590206	1.1063407570466626
0.65	0.5	0.15	0.8131636222651053	0.730439586465344	0.7331775288826174	0.6873648648648649	0.6439433213763287	1.1061955217652306
0.5	0.35	0.0	0.8123000872346613	0.7290804230468422	0.7327806684892848	0.6852702702702702	0.6316385558992708	1.106024486245574
0.35	0.15	0.0	0.8112515089834077	0.7274787443722059	0.7325307934268162	0.6805405405405405	0.616960739503538	1.1054227811692068
0.8	0.65	0.5	0.8141108673240107	0.7314569254423627	0.7349266543198989	0.681081081081081	0.653942367063558	1.1054108431298408
0.65	0.35	0.35	0.8125027536193572	0.7299166250737179	0.7314578005115089	0.6873648648648649	0.6446200223936532	1.1049510645064173
0.5	0.15	0.15	0.8112515089834078	0.7279425867693764	0.7313549107799042	0.6852702702702702	0.6300876565166041	1.1047032706197728
1.0	1.0	0.8	0.8141747512930996	0.7297057865315785	0.7345077461269365	0.6801351351351351	0.6586849270075386	1.1046856094574538
0.8	0.8	0.35	0.813445592887291	0.7307439547901642	0.7327953670223712	0.681081081081081	0.6510305656241081	1.1043973626478076
0.65	0.5	0.0	0.811771392318063	0.7293424657587617	0.7294588000117589	0.6873648648648649	0.644100279466544	1.1036719773479091
0.25	0.0	0.0	0.8094980041766898	0.725422642189826	0.7301937266660787	0.6783783783783784	0.6067556222480408	1.103556235627385
0.8	0.5	0.5	0.8130094195810973	0.7306912177791978	0.7323544110297793	0.681081081081081	0.654641384109542	1.103467820695293
0.5	0.25	0.0	0.8107360314397243	0.7280015924521758	0.7289002557544757	0.6852702702702702	0.6313267368848778	1.1033274885316333
0.8	0.8	0.25	0.8128640284790329	0.7303642379790071	0.7310315430520034	0.681081081081081	0.6510744649559026	1.1032822611152597
0.35	0.0	0.0	0.8092909320010221	0.7252499765557133	0.7292677190816356	0.6805405405405405	0.6153456681387358	1.1026447890197473
0.65	0.35	0.25	0.8112294800285497	0.7292690435742578	0.7273863068465768	0.6873648648648649	0.6447766827305741	1.1024406767824382
0.8	0.65	0.35	0.8125556231110171	0.7305107980383224	0.7301496310668195	0.681081081081081	0.654377797883829	1.1023789488588962
1.0	1.0	0.65	0.8127516808092556	0.7290552140841811	0.7299805979363259	0.6801351351351351	0.6589922630577647	1.101873660911404
0.65	0.25	0.25	0.8103747565800488	0.728387908861767	0.7258723579386779	0.6873648648648649	0.6442103961247364	1.1011883973221515
0.65	0.35	0.15	0.8104144086987937	0.7287396149915938	0.7250933356850987	0.6873648648648649	0.644831498080054	1.1009322325692907
0.8	0.65	0.25	0.8117802039000062	0.730009751698509	0.7277390716406502	0.681081081081081	0.6544216972152151	1.100875971886896
0.5	0.15	0.0	0.8091147003621559	0.726681908621363	0.7251521298174443	0.6852702702702702	0.6303080317603615	1.1006835901854073
1.0	0.8	0.8	0.811996087657617	0.72980097543742	0.7277390716406502	0.6801351351351351	0.6646941429822947	1.0998754218786095
0.8	0.8	0.15	0.810828553050129	0.7293290912124532	0.7246670782255931	0.681081081081081	0.6514432771494768	1.0993005650190755
0.8	0.5	0.35	0.8108726109598456	0.729577900870689	0.7256371814092955	0.681081081081081	0.6550768128996249	1.099272300308888
