candidate	weight_mode	l2	roc_auc	ap	lower_half_auc	q1_auc	source_holdout_auc	knownness_spearman	objective	n_features	columns
clinical_pathogenic	class_balanced+knownness_balanced	4.0	0.8110906976129425	0.7245881658503992	0.7422244759972955	0.6719932432432433	0.7203136739558795	0.5747255276110648	1.2432523605386279	13	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|pathogenic_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm
phylo_dual	class_balanced+knownness_balanced	5.0	0.8110906976129425	0.7247821583646612	0.7416071376076667	0.6706418918918919	0.7217523203136802	0.57623510019743	1.2429034693126653	13	T_eff_norm|H_specialization_norm|H_phylogenetic_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm
kr_plus_external_evenness	class_balanced+knownness_balanced	5.0	0.8124895362464424	0.72335368040743	0.7452744216127231	0.665304054054054	0.7111703992549764	0.5713344618875842	1.2428066179655552	14	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm|H_external_host_range_norm|host_taxon_evenness_norm
eco_external_evenness	class_balanced+knownness_balanced	5.0	0.8124895362464424	0.72335368040743	0.7452744216127231	0.665304054054054	0.7111703992549764	0.5713344618875842	1.2428066179655552	14	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm|H_external_host_range_norm|host_taxon_evenness_norm
kr_plus_external	class_balanced+knownness_balanced	3.0	0.8132363178161375	0.7238001141118116	0.7453405650116118	0.6659797297297297	0.7072232057928576	0.5733691688969402	1.2426747741565056	13	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm|H_external_host_range_norm
eco_external	class_balanced+knownness_balanced	3.0	0.8132363178161375	0.7238001141118116	0.7453405650116118	0.6659797297297297	0.7072232057928576	0.5733691688969402	1.2426747741565056	13	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm|H_external_host_range_norm
clinical_pathogenic	class_balanced+knownness_balanced	3.0	0.8110135962709385	0.724729592721595	0.7423788105947027	0.6722635135135135	0.7173541472650096	0.5750352962399133	1.2426465360562642	13	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|pathogenic_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm
kr_plus_pathogenic	class_balanced+knownness_balanced	3.0	0.8110157991664243	0.724730775237978	0.7423861598612459	0.6722635135135135	0.717190102623353	0.5750239136767646	1.2426195007109597	13	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm|pathogenic_context_fraction_norm
kr_plus_amr_threat	class_balanced+knownness_balanced	3.0	0.8121392758641959	0.7251308623244764	0.7418570126701355	0.6708445945945946	0.7145412763509779	0.5765909804611901	1.2425826361990082	13	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm|amr_clinical_threat_norm
kr_plus_evenness	class_balanced+knownness_balanced	4.0	0.811896957360755	0.7255848989507232	0.7417100273392715	0.6707094594594595	0.7121743530429269	0.5757716777504721	1.241894126732957	13	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm|host_taxon_evenness_norm
kr_plus_external_evenness	class_balanced+knownness_balanced	4.0	0.8122890727572321	0.7233407238995312	0.7449584031513655	0.6648986486486487	0.7065105528413986	0.5713464116431105	1.2414968646034779	14	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm|H_external_host_range_norm|host_taxon_evenness_norm
eco_external_evenness	class_balanced+knownness_balanced	4.0	0.8122890727572321	0.7233407238995312	0.7449584031513655	0.6648986486486487	0.7065105528413986	0.5713464116431105	1.2414968646034779	14	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm|pmlst_coherence_norm|ecology_context_diversity_norm|H_external_host_range_norm|host_taxon_evenness_norm
