base	extras	n_features	weight_mode	l2	roc_auc	ap	lower_half_auc	lowest_quartile_auc	knownness_spearman	objective	columns
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm	10	source_balanced+class_balanced	3.0	0.785717747407192	0.685345681544769	0.7226901255254725	0.6331418918918919	0.42529905618418695	1.217248378646412	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm	10	source_balanced+class_balanced	2.5	0.7856648779155322	0.6852729847602335	0.722557838727695	0.6329391891891892	0.42532274341364945	1.2170520707519483	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm,pathogenic_context_fraction_norm	11	source_balanced+class_balanced	5.0	0.7851626177447637	0.6799337080320437	0.7228959049886822	0.6334797297297298	0.42570414544944835	1.2168160265068186	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm|pathogenic_context_fraction_norm
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm,pathogenic_context_fraction_norm	11	source_balanced+class_balanced	4.0	0.7850436613885291	0.679925134444682	0.7227342211247317	0.6330067567567568	0.4253851811759866	1.216507384028729	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm|pathogenic_context_fraction_norm
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm,pathogenic_context_fraction_norm	11	source_balanced+class_balanced	3.5	0.7849599513600677	0.681204828557489	0.7226166328600405	0.6332094594594595	0.4253009517002791	1.2164947916927689	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm|pathogenic_context_fraction_norm
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm,A_recurrence_norm	11	source_balanced	5.0	0.7847220386475984	0.6885944330798707	0.7217200223417702	0.6322635135135135	0.42149659040833304	1.2164684799462158	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm|A_recurrence_norm
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm,A_recurrence_norm	11	source_balanced	4.0	0.7844709085622141	0.6882244093275733	0.7216318311432519	0.6317905405405405	0.42121480379269094	1.2160440917574227	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm|A_recurrence_norm
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm,pathogenic_context_fraction_norm	11	source_balanced+class_balanced	3.0	0.784867429749663	0.6813570272697398	0.7223667577975718	0.6324662162162162	0.4252739842869411	1.2159870962043753	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm|pathogenic_context_fraction_norm
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm,A_recurrence_norm	11	source_balanced	3.0	0.7842770537594614	0.688012353536029	0.7214848458123879	0.6315202702702702	0.4206283297694719	1.2158237889730508	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm|A_recurrence_norm
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm,A_recurrence_norm	11	source_balanced	3.5	0.7843651695788945	0.6880732743088444	0.7214848458123879	0.6313851351351352	0.42094461208931405	1.2157720234017124	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm|A_recurrence_norm
