backbone_id	member_count_train	n_countries_train	n_new_countries	spread_label	priority_index	bio_priority_index	evidence_support_index	coherence_score	freeze_rank	candidate_confidence_tier	primary_model_candidate_score	baseline_both_candidate_score	conservative_model_candidate_score	novelty_margin_vs_baseline	knownness_score	knownness_half	external_support_modalities_count	module_f_enriched_signature_count	risk_uncertainty	uncertainty_review_tier	portfolio_track	track_rank	recommended_monitoring_tier	freeze_candidate_score	false_positive_risk_tier	risk_flag_count	risk_flags	in_consensus_top50	in_candidate_dossier_top25	in_candidate_portfolio	in_novelty_watchlist	in_prospective_freeze	in_higher_confidence_shortlist	evidence_tier	action_tier	main_outcome_status	candidate_universe_origin	visibility_expansion_label	official_primary_model	official_conservative_model	official_governance_model	official_primary_top_10_precision	official_primary_top_10_recall	official_primary_top_25_precision	official_primary_top_25_recall	official_primary_decision_utility_score	official_primary_optimal_decision_threshold	official_governance_top_10_precision	official_governance_top_10_recall	official_governance_top_25_precision	official_governance_top_25_recall	official_governance_decision_utility_score	official_governance_optimal_decision_threshold	official_conservative_top_10_precision	official_conservative_top_10_recall	official_conservative_decision_utility_score	official_conservative_optimal_decision_threshold	official_benchmark_panel_size
AB039	2	2	11	1.0	0.5942167171022733	0.5285969107156713	0.4372399445214979	1.0	20.0	watchlist	1.0	0.3266443146739701	0.487274915982597	0.6733556853260299	0.5808897876643074	upper_half	2.0	1.0		review	established_high_risk	1.0	low_confidence_backlog	0.895956531512858	high	6.0	sparse_training_support_risk,low_assignment_confidence_risk,amr_uncertainty_risk,stability_risk,proxy_gap_risk,low_candidate_confidence_risk	False	True	True	False	True	False	watchlist	low_confidence_backlog	positive	portfolio_established	1.0	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
AE249	5	1	5	1.0	0.9556346285509177	0.976785086176574	0.9290744165339635	0.9333333333333332	21.0	watchlist	0.8804710751477756	0.7678138814651719	0.7043258686293469	0.11265719368260363	0.4823053589484328	upper_half	2.0	2.0		review	established_high_risk	8.0	low_confidence_backlog	0.895076940310231	high	6.0	narrow_geography_risk,low_assignment_confidence_risk,amr_uncertainty_risk,stability_risk,proxy_gap_risk,low_candidate_confidence_risk	False	True	True	False	True	False	watchlist	low_confidence_backlog	positive	portfolio_established	1.0	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
AA297	1	1	10	1.0	0.6016066718376485	0.9585608861341921	0.642435489118337	1.0	32.0	novelty_watchlist	0.803397873709048			0.5723979891840885		lower_half					novel_signal	9.0	low_confidence_backlog	0.8758292013268146				False	False	True	True	True	False	novelty_watchlist	low_confidence_backlog	positive	portfolio_novel	1.0	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
AA434	2	1	4	1.0	0.648413095806481	0.7175009728970014	0.8155468228283762	1.0		novelty_watchlist	0.7546502677836542			0.36033108129504826		lower_half					novel_signal	4.0	low_confidence_backlog					False	False	True	True	False	False	novelty_watchlist	low_confidence_backlog	positive	portfolio_novel	1.0	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
AA764	1	1	5	1.0	0.4462708172084737	0.8619302440490046	0.642435489118337	1.0		novelty_watchlist	0.8523094462817126			0.6261198125637312		lower_half					novel_signal	7.0	low_confidence_backlog					False	False	True	True	False	False	novelty_watchlist	low_confidence_backlog	positive	portfolio_novel	1.0	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
AF809	1	1	7	1.0	0.6082897530898469	0.9585608861341921	0.642435489118337	1.0		novelty_watchlist	0.8632410309227359			0.6370513972047545		lower_half					novel_signal	5.0	low_confidence_backlog					False	False	True	True	False	False	novelty_watchlist	low_confidence_backlog	positive	portfolio_novel	1.0	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
AA440	1	1	4	1.0	0.14454299022812153	0.43338310843116196	0.642435489118337	1.0	5.0	watchlist	0.7021734982192398	0.2198117615270013	0.2356869414522646	0.4823617366922385	0.4455679137175599	lower_half	4.0			review				0.9601361498056616	high	7.0	sparse_training_support_risk,narrow_geography_risk,source_concentration_risk,low_assignment_confidence_risk,amr_uncertainty_risk,proxy_gap_risk,low_candidate_confidence_risk	False	True	False	False	True	False	watchlist	unassigned	positive	prospective_freeze_only	1.0	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
AB269	2	0	2		0.5102893444132071	0.4970420453673668	0.8155468228283762	1.0	7.0	watchlist				0.0			0.0			review					high	6.0	sparse_training_support_risk,narrow_geography_risk,source_concentration_risk,low_assignment_confidence_risk,amr_uncertainty_risk,low_candidate_confidence_risk	False	True	False	False	False	False	watchlist	unassigned	not_evaluable	other_candidate_context		discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
AB735	2	1	0	0.0	0.6285911937112654	0.6434517528432407	0.4372399445214979	0.8333333333333334	8.0	watchlist	0.5647996525231915	0.4020862631179012	0.4527594901010915	0.16271338940529034	0.4170879676440849	lower_half	0.0			review				0.941429226837692	high	5.0	sparse_training_support_risk,narrow_geography_risk,low_assignment_confidence_risk,amr_uncertainty_risk,low_candidate_confidence_risk	False	True	False	True	True	False	watchlist	unassigned	negative	novelty_watchlist_only	0.0	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
AA859	1	1	6	1.0	0.5564636546740385	0.976785086176574	0.642435489118337	1.0	11.0	watchlist	0.7021734982192398	0.2198117615270013	0.6022888010435495	0.4823617366922385	0.4455679137175599	lower_half	4.0			review				0.9237242733657184	high	6.0	sparse_training_support_risk,narrow_geography_risk,source_concentration_risk,low_assignment_confidence_risk,amr_uncertainty_risk,low_candidate_confidence_risk	False	True	False	True	True	False	watchlist	unassigned	positive	novelty_watchlist_only	1.0	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
