cohort_name	model_name	status	n_backbones	n_positive	positive_prevalence	share_of_primary_eligible	roc_auc	average_precision	brier_score	ece	expected_calibration_error	max_calibration_error
overall_eligible	phylo_support_fusion_priority	ok	989	362	0.3660262891809909	1.0	0.8276630803528158	0.7667444183653935	0.16602753621100172	0.08530790077048957	0.08530790077048957	0.16893413033896698
overall_eligible	parsimonious_priority	ok	989	362	0.3660262891809909	1.0	0.7505793615127724	0.6591153194245379	0.18673268487922962	0.04617776277941568	0.04617776277941568	0.12381228358421759
overall_eligible	baseline_both	ok	989	362	0.3660262891809909	1.0	0.7224968498594553	0.6471951497145494	0.18606395543277585	0.039308991841346834	0.039308991841346834	0.0728166764993547
