model_name	feature_name	coefficient	standard_error	coefficient_ci_lower	coefficient_ci_upper	abs_coefficient	direction	n_backbones
bio_clean_priority	orit_support	1.8015985726236274	0.27936541108655977	1.2540524283677437	2.349144716879511	1.8015985726236274	positive	989
bio_clean_priority	A_raw_norm	1.0972365569234424	0.2731686692052132	0.5618358035764887	1.632637310270396	1.0972365569234424	positive	989
bio_clean_priority	H_obs_specialization_norm	0.9307984222234812	0.1906573156958783	0.5571169500704766	1.304479894376486	0.9307984222234812	positive	989
bio_clean_priority	T_raw_norm	0.5713060206084346	0.10907159889474645	0.3575296150385328	0.7850824261783365	0.5713060206084346	positive	989
parsimonious_priority	A_eff_norm	1.5645173698254526	0.2684537783929028	1.0383576326616661	2.090677106989239	1.5645173698254526	positive	989
parsimonious_priority	T_eff_norm	1.2161891136530385	0.1553423336605512	0.911723734403954	1.520654492902123	1.2161891136530385	positive	989
parsimonious_priority	H_obs_specialization_norm	0.7367104168152354	0.19393281893661346	0.3566090762791457	1.1168117573513252	0.7367104168152354	positive	989
parsimonious_priority	coherence_score	0.1423357824591413	0.1598689029780519	-0.1710015096257686	0.4556730745440512	0.1423357824591413	positive	989
structured_signal_priority	H_phylogenetic_specialization_norm	1.3540401549922336	0.2918421669309888	0.7820400186373693	1.926040291347098	1.3540401549922336	positive	989
structured_signal_priority	host_phylogenetic_dispersion_norm	1.1825226667750188	0.41291745144277936	0.37321933335910473	1.991826000190933	1.1825226667750188	positive	989
structured_signal_priority	plasmidfinder_complexity_norm	0.9930573605262506	0.19649448261693758	0.6079352514362213	1.37817946961628	0.9930573605262506	positive	989
structured_signal_priority	T_eff_norm	0.9295322116682885	0.17511104197982566	0.5863208760925487	1.2727435472440283	0.9295322116682885	positive	989
structured_signal_priority	A_eff_norm	0.7510155577624126	0.37524516911184136	0.015548540930561572	1.4864825745942636	0.7510155577624126	positive	989
structured_signal_priority	coherence_score	0.6063208731218549	0.3541206374773766	-0.08774282251616816	1.300384568759878	0.6063208731218549	positive	989
structured_signal_priority	A_recurrence_norm	-0.5576900231845071	0.4125610442888103	-1.3662948114148095	0.25091476504579524	0.5576900231845071	negative	989
