operational_risk_rank	backbone_id	model_name	portfolio_track	track_rank	candidate_confidence_tier	recommended_monitoring_tier	false_positive_risk_tier	operational_risk_score	risk_spread_probability	risk_spread_severity	risk_macro_region_jump_3y	risk_event_within_3y	risk_three_countries_within_5y	risk_uncertainty	risk_uncertainty_quantile	risk_component_std	risk_abstain_flag	risk_decision_tier	risk_route_context	knownness_score	knownness_half	source_band	member_count_band	country_count_band
22	AA452	parsimonious_priority						0.7960843628331686	0.8518367649994507	0.7986666666666666	0.908	0.692	0.636	0.2787823936182709	0.0394337714863498	0.1003359694014788	False	action	refseq_leaning|3_4|1	0.5761712167172228	upper_half	refseq_leaning	3_4	1
23	AA276	parsimonious_priority						0.7373473795542551	0.6560468207364056	0.7986666666666666	0.908	0.692	0.636	0.4432740549215114	0.6016177957532861	0.1018004579783415	False	review	refseq_leaning|1|1	0.4455679137175599	lower_half	refseq_leaning	1	1
24	AB649	parsimonious_priority						0.7361086697900715	0.651917788189127	0.7986666666666666	0.908	0.692	0.636	0.4449874594635986	0.6157735085945399	0.1024775667597255	False	review	insd_leaning|3_4|1	0.4544994944388271	upper_half	insd_leaning	3_4	1
25	AC623	parsimonious_priority						0.7275048733919796	0.6232384668621538	0.7986666666666666	0.908	0.692	0.636	0.4590348340314534	0.6845298281092013	0.1077632941607047	False	review	refseq_leaning|5_9|1	0.5084260195483654	upper_half	refseq_leaning	5_9	1
26	AA045	parsimonious_priority						0.7269497108786962	0.6213879251512096	0.7986666666666666	0.908	0.692	0.636	0.4471177657685968	0.6248736097067745	0.1081372852420978	False	review	refseq_leaning|3_4|1	0.5761712167172228	upper_half	refseq_leaning	3_4	1
27	AF747	parsimonious_priority						0.725743422852132	0.6173669650626621	0.7986666666666666	0.908	0.692	0.636	0.4506754222736309	0.654196157735086	0.1089628235121544	False	review	refseq_leaning|3_4|1	0.5761712167172228	upper_half	refseq_leaning	3_4	1
28	AD328	parsimonious_priority						0.7226839544112095	0.6071687369262535	0.7986666666666666	0.908	0.692	0.636	0.4841021547495453	0.7330637007077856	0.1111335216507647	False	review	insd_leaning|3_4|1	0.4544994944388271	upper_half	insd_leaning	3_4	1
29	AF607	parsimonious_priority						0.7225893075244272	0.6068532473036461	0.7986666666666666	0.908	0.692	0.636	0.4508157120447817	0.6572295247724975	0.1112023843619856	False	review	refseq_leaning|3_4|1	0.6223458038422649	upper_half	refseq_leaning	3_4	1
30	AB528	parsimonious_priority						0.7223775669197469	0.6061474452880449	0.7986666666666666	0.908	0.692	0.636	0.4474716709751659	0.6299292214357938	0.1113568051911986	False	review	refseq_leaning|5_9|1	0.6422312099764071	upper_half	refseq_leaning	5_9	1
31	AB860	parsimonious_priority						0.7221870710607764	0.6055124590914769	0.7986666666666666	0.908	0.692	0.636	0.4520186623233078	0.6632962588473206	0.1114961605064384	False	review	refseq_leaning|3_4|1	0.6223458038422649	upper_half	refseq_leaning	3_4	1
32	AA851	parsimonious_priority						0.721835839891601	0.6043416885275589	0.7986666666666666	0.908	0.692	0.636	0.4500707364633056	0.6511627906976745	0.1117541579558531	False	review	refseq_leaning|3_4|3_4	0.6373441186383553	upper_half	refseq_leaning	3_4	3_4
33	AC951	parsimonious_priority						0.721452014848833	0.6030622717183322	0.7986666666666666	0.908	0.692	0.636	0.4634560571524853	0.6966632962588474	0.1120376563319581	False	review	refseq_leaning|3_4|1	0.5761712167172228	upper_half	refseq_leaning	3_4	1
34	AB721	parsimonious_priority						0.5848296390831343	0.6013138507072222	0.6169354838709677	0.8185483870967742	0.407258064516129	0.375	0.4904641873643013	0.750252780586451	0.1607969068807669	False	review	refseq_leaning|5_9|1	0.6666666666666666	upper_half	refseq_leaning	5_9	1
35	AA304	parsimonious_priority						0.583805130122738	0.5978988208392343	0.6169354838709677	0.8185483870967742	0.407258064516129	0.375	0.4648432238371661	0.7017189079878665	0.1606433382488401	False	review	refseq_leaning|5_9|3_4	0.8060330299966297	upper_half	refseq_leaning	5_9	3_4
36	AB740	parsimonious_priority						0.5837923525852738	0.5978562290476872	0.6169354838709677	0.8185483870967742	0.407258064516129	0.375	0.4780833781555672	0.7259858442871587	0.1606414953738192	False	review	refseq_leaning|3_4|3_4	0.7399730367374452	upper_half	refseq_leaning	3_4	3_4
