portfolio_track	track_rank	backbone_id	candidate_confidence_tier	candidate_confidence_score	low_candidate_confidence_risk	evidence_tier	recommended_monitoring_tier	action_tier	in_consensus_top50	priority_index	operational_priority_index	bio_priority_index	evidence_support_index	primary_model_candidate_score	baseline_both_candidate_score	conservative_model_candidate_score	primary_model_oof_prediction	baseline_both_oof_prediction	assignment_confidence_score	model_prediction_uncertainty	primary_minus_conservative_uncertainty	novelty_margin_vs_baseline	risk_uncertainty	uncertainty_review_tier	candidate_explanation_summary	candidate_prediction_source	eligible_for_oof	knownness_score	knownness_half	spread_label	bootstrap_top_k_frequency	bootstrap_top_10_frequency	variant_top_k_frequency	multiverse_stability_score	multiverse_stability_tier	false_positive_risk_tier	risk_flag_count	risk_flags	low_candidate_confidence_risk	member_count_train	n_countries_train	n_new_countries	coherence_score	source_support_tier	support_profile_available	external_support_modalities_count	who_mia_any_support	card_any_support	mobsuite_any_literature_support	pd_any_support	bootstrap_top_25_frequency	variant_top_10_frequency	variant_top_25_frequency	dominant_genus	primary_replicon	dominant_mpf_type	dominant_amr_gene_family	module_f_enriched_signature_count	module_f_enriched_signatures	visibility_expansion_label	threshold_robustness_score	primary_driver_axis	secondary_driver_axis	mechanistic_rationale	mechanistic_signal_count	monitoring_rationale	official_primary_model	official_conservative_model	official_governance_model	official_primary_top_10_precision	official_primary_top_10_recall	official_primary_top_25_precision	official_primary_top_25_recall	official_primary_decision_utility_score	official_primary_optimal_decision_threshold	official_governance_top_10_precision	official_governance_top_10_recall	official_governance_top_25_precision	official_governance_top_25_recall	official_governance_decision_utility_score	official_governance_optimal_decision_threshold	official_conservative_top_10_precision	official_conservative_top_10_recall	official_conservative_decision_utility_score	official_conservative_optimal_decision_threshold	official_benchmark_panel_size
established_high_risk	1	AB039	watchlist	0.38016666666666676	True	watchlist	low_confidence_backlog	low_confidence_backlog	False	0.5942167171022733	0.5942167171022733	0.5285969107156713	0.4372399445214979	1.0	0.3266443146739701	0.487274915982597	1.0	0.3266443146739701	0.5		0.0	0.6733556853260299		review	Confidence 0.38; primary mobility_coherence_t; multiverse mixed; low-confidence risk; review review.	oof	True	0.5808897876643074	upper_half	1.0	0.175	0.1	0.0	0.37083333333333335	fragile	high	6.0	sparse_training_support_risk,low_assignment_confidence_risk,amr_uncertainty_risk,stability_risk,proxy_gap_risk,low_candidate_confidence_risk	True	2	2	11	1.0	cross_source_supported	True	2	True	False	False	True	0.55	0.0	0.8333333333333334	Citrobacter	ColRNAI_rep_cluster_1987	nan	nan	1	global dominant_genus:Citrobacter (OR=7.06, q=0.013)	1.0	1.0	mobility_coherence_t		mobility_coherence_t	1	multi_modal_support,assignment_confidence_low,outperforms_counts_baseline,candidate_confidence_low	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
established_high_risk	2	AA346	watchlist	0.4105833333333334	True	watchlist	low_confidence_backlog	low_confidence_backlog	False	0.5529204680726938	0.5529204680726938	0.3262520939963675	0.8777075735004538	1.0	0.6230643035916034	0.7617916397450611	1.0	0.6230643035916034	0.5		0.0	0.37693569640839664		review	Confidence 0.41; primary mobility_coherence_t; multiverse mixed; low-confidence risk; review review.	oof	True	0.6223458038422649	upper_half	1.0	0.45	0.125	1.0	0.5229166666666667	fragile	high	7.0	narrow_geography_risk,source_concentration_risk,low_assignment_confidence_risk,amr_uncertainty_risk,stability_risk,proxy_gap_risk,low_candidate_confidence_risk	True	3	1	8	1.0	refseq_dominant	True	2	False	False	True	True	0.8	0.1666666666666666	1.0	Escherichia	IncFIB	nan	ESPP	4	global dominant_genus:Escherichia (OR=20.40, q<0.001) | global amr_class:BETA-LACTAM (OR=10.04, q<0.001) | global primary_replicon:IncFIB (OR=10.04, q<0.001) | global genus_amr_class:Escherichia + BETA-LACTAM (OR=inf, q<0.001)	1.0	1.0	mobility_coherence_t		mobility_coherence_t	1	multi_modal_support,assignment_confidence_low,outperforms_counts_baseline,candidate_confidence_low	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
established_high_risk	3	AA331	watchlist	0.4480833333333334	True	watchlist	low_confidence_backlog	low_confidence_backlog	False	0.4692674242800905	0.4692674242800905	0.7328109533135523	0.642435489118337	0.8013627310048664	0.1577410767598199	0.4875041900193085	0.8013627310048664	0.1577410767598199	0.5		0.0	0.6436216542450466		review	Confidence 0.45; primary mobility_coherence_t; multiverse moderate; low-confidence risk; review review.	oof	True	0.26137512639029326	lower_half	1.0	0.6	0.475	0.8333333333333334	0.7104166666666667	moderately_stable	high	7.0	sparse_training_support_risk,narrow_geography_risk,source_concentration_risk,low_assignment_confidence_risk,amr_uncertainty_risk,proxy_gap_risk,low_candidate_confidence_risk	True	1	1	11	1.0	insd_dominant	True	1	False	False	True	False	0.7	0.8333333333333334	0.8333333333333334	Escherichia	IncFIA	MPF_F	LTCA	3	global dominant_genus:Escherichia (OR=20.40, q<0.001) | global dominant_mpf_type:MPF_F (OR=5.39, q<0.001) | global primary_replicon:IncFIA (OR=17.31, q<0.001)	1.0	1.0	mobility_coherence_t		mobility_coherence_t	1	assignment_confidence_low,outperforms_counts_baseline,multiverse_stable,candidate_confidence_low	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
established_high_risk	4	AA171	watchlist	0.5059999999999999	True	watchlist	low_confidence_backlog	low_confidence_backlog	False	0.950421761661134	0.950421761661134	0.9767966394449302	0.8777075735004538	0.9450559159319252	0.57809768830012	0.6820616685495504	0.9450559159319252	0.57809768830012	0.5		0.0	0.3669582276318052		review	Confidence 0.51; primary mobility_coherence_t; multiverse stable; low-confidence risk; review review.	oof	True	0.4735422986181328	upper_half	1.0	1.0	1.0	1.0	1.0	stable	high	5.0	narrow_geography_risk,low_assignment_confidence_risk,amr_uncertainty_risk,proxy_gap_risk,low_candidate_confidence_risk	True	3	1	34	1.0	cross_source_supported	True	4	True	True	True	True	1.0	1.0	1.0	Escherichia	IncFIA	MPF_F	MRX	7	global dominant_genus:Escherichia (OR=20.40, q<0.001) | global dominant_mpf_type:MPF_F (OR=5.39, q<0.001) | global amr_class:BETA-LACTAM (OR=10.04, q<0.001) | global primary_replicon:IncFIA (OR=17.31, q<0.001) | global genus_amr_class:Escherichia + BETA-LACTAM (OR=inf, q<0.001)	1.0	1.0	mobility_coherence_t		mobility_coherence_t	1	multi_modal_support,assignment_confidence_low,outperforms_counts_baseline,multiverse_stable	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
established_high_risk	5	AA045	watchlist	0.3889166666666667	True	watchlist	low_confidence_backlog	low_confidence_backlog	False	0.3542432915729724	0.3542432915729724	0.4274389959663376	0.7185450591599458	0.9195074339507184	0.4272818931187258	0.6099382354540027	0.9195074339507184	0.4272818931187258	0.5		0.0	0.49222554083199266		review	Confidence 0.39; primary mobility_coherence_t; multiverse mixed; low-confidence risk; review review.	oof	True	0.5761712167172228	upper_half	1.0	0.375	0.175	0.8333333333333334	0.41458333333333336	fragile	high	8.0	sparse_training_support_risk,narrow_geography_risk,source_concentration_risk,low_assignment_confidence_risk,amr_uncertainty_risk,stability_risk,proxy_gap_risk,low_candidate_confidence_risk	True	2	1	14	0.8333333333333334	refseq_dominant	True	3	True	True	True	False	0.65	0.0	0.8333333333333334	Citrobacter	IncFIB	MPF_F	ARSR	3	global dominant_mpf_type:MPF_F (OR=5.39, q<0.001) | global primary_replicon:IncFIB (OR=10.04, q<0.001) | global dominant_genus:Citrobacter (OR=7.06, q=0.013)	1.0	1.0	mobility_coherence_t		mobility_coherence_t	1	multi_modal_support,assignment_confidence_low,outperforms_counts_baseline,candidate_confidence_low	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
established_high_risk	6	AC030	watchlist	0.48683333333333323	True	watchlist	low_confidence_backlog	low_confidence_backlog	False	0.4359286644928857	0.4359286644928857	0.3768961979487921	0.8155468228283762	0.8969228823212196	0.3943191864886059	0.6542950100708665	0.8969228823212196	0.3943191864886059	0.5		0.0	0.5026036958326137		review	Confidence 0.49; primary mobility_coherence_t; multiverse stable; low-confidence risk; review review.	oof	True	0.4170879676440849	lower_half	1.0	0.95	0.95	0.8333333333333334	0.9041666666666667	stable	high	6.0	sparse_training_support_risk,narrow_geography_risk,low_assignment_confidence_risk,amr_uncertainty_risk,proxy_gap_risk,low_candidate_confidence_risk	True	2	1	4	1.0	cross_source_supported	True	1	False	False	True	False	1.0	0.8333333333333334	0.8333333333333334	Escherichia	IncFIA	nan	CSSA	2	global dominant_genus:Escherichia (OR=20.40, q<0.001) | global primary_replicon:IncFIA (OR=17.31, q<0.001)	1.0	1.0	mobility_coherence_t		mobility_coherence_t	1	assignment_confidence_low,outperforms_counts_baseline,multiverse_stable,candidate_confidence_low	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
established_high_risk	7	AA302	watchlist	0.4793333333333333	True	watchlist	low_confidence_backlog	low_confidence_backlog	False	0.4024366117581066	0.4024366117581066	0.7328109533135523	0.642435489118337	0.8969228823212196	0.2261601855074789	0.4546904004768036	0.8969228823212196	0.2261601855074789	0.5		0.0	0.6707626968137408		review	Confidence 0.48; primary mobility_coherence_t; multiverse stable; low-confidence risk; review review.	oof	True	0.4455679137175599	lower_half	1.0	0.9	0.825	0.8333333333333334	0.8666666666666667	stable	high	7.0	sparse_training_support_risk,narrow_geography_risk,source_concentration_risk,low_assignment_confidence_risk,amr_uncertainty_risk,proxy_gap_risk,low_candidate_confidence_risk	True	1	1	8	1.0	refseq_dominant	True	1	False	False	True	False	0.975	0.8333333333333334	0.8333333333333334	Escherichia	IncFIA	MPF_F	CNF	3	global dominant_genus:Escherichia (OR=20.40, q<0.001) | global dominant_mpf_type:MPF_F (OR=5.39, q<0.001) | global primary_replicon:IncFIA (OR=17.31, q<0.001)	1.0	1.0	mobility_coherence_t		mobility_coherence_t	1	assignment_confidence_low,outperforms_counts_baseline,multiverse_stable,candidate_confidence_low	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
established_high_risk	8	AE249	watchlist	0.38350000000000006	True	watchlist	low_confidence_backlog	low_confidence_backlog	False	0.9556346285509176	0.9556346285509176	0.976785086176574	0.9290744165339636	0.8804710751477756	0.7678138814651719	0.7043258686293469	0.8804710751477756	0.7678138814651719	0.5		0.0	0.11265719368260363		review	Confidence 0.38; primary mobility_coherence_t; multiverse mixed; low-confidence risk; review review.	oof	True	0.4823053589484328	upper_half	1.0	0.25	0.075	0.1666666666666666	0.3875	fragile	high	6.0	narrow_geography_risk,low_assignment_confidence_risk,amr_uncertainty_risk,stability_risk,proxy_gap_risk,low_candidate_confidence_risk	True	5	1	5	0.9333333333333332	cross_source_supported	True	2	True	True	False	False	0.475	0.0	1.0	Acinetobacter	rep_cluster_481	MPF_T	APH	2	global amr_class:AMINOGLYCOSIDE (OR=4.23, q<0.001) | global dominant_genus:Acinetobacter (OR=4.88, q=0.010)	1.0	1.0	mobility_coherence_t		mobility_coherence_t	1	multi_modal_support,assignment_confidence_low,outperforms_counts_baseline,candidate_confidence_low	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
established_high_risk	9	AA316	watchlist	0.4893333333333333	True	watchlist	low_confidence_backlog	low_confidence_backlog	False	0.4391349351254416	0.4391349351254416	0.7328109533135523	0.642435489118337	0.8523094462817126	0.2261896337179814	0.4895414112055405	0.8523094462817126	0.2261896337179814	0.5		0.0	0.6261198125637312		review	Confidence 0.49; primary mobility_coherence_t; multiverse stable; low-confidence risk; review review.	oof	True	0.4455679137175599	lower_half	1.0	1.0	1.0	0.8333333333333334	0.9166666666666667	stable	high	7.0	sparse_training_support_risk,narrow_geography_risk,source_concentration_risk,low_assignment_confidence_risk,amr_uncertainty_risk,proxy_gap_risk,low_candidate_confidence_risk	True	1	1	17	1.0	refseq_dominant	True	4	True	True	True	True	1.0	0.8333333333333334	0.8333333333333334	Salmonella	IncFIA	MPF_F	CVAB	3	global dominant_mpf_type:MPF_F (OR=5.39, q<0.001) | global dominant_genus:Salmonella (OR=8.83, q<0.001) | global primary_replicon:IncFIA (OR=17.31, q<0.001)	1.0	1.0	mobility_coherence_t		mobility_coherence_t	1	multi_modal_support,assignment_confidence_low,outperforms_counts_baseline,multiverse_stable	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
established_high_risk	10	AA282	watchlist	0.40808333333333335	True	watchlist	low_confidence_backlog	low_confidence_backlog	False	0.5874091023048057	0.5874091023048057	0.4381889943698674	0.9432822211948426	0.8632410309227359	0.8320222057539505	0.8145838114524889	0.8632410309227359	0.8320222057539505	0.5		0.0	0.03121882516878538		review	Confidence 0.41; primary mobility_coherence_t; multiverse mixed; low-confidence risk; review review.	oof	True	0.5171890798786652	upper_half	1.0	0.425	0.15	1.0	0.5104166666666666	fragile	high	5.0	narrow_geography_risk,low_assignment_confidence_risk,amr_uncertainty_risk,stability_risk,low_candidate_confidence_risk	True	6	1	23	0.8333333333333334	cross_source_supported	True	4	True	True	True	True	0.725	0.1666666666666666	1.0	Escherichia	IncI-gamma/K1	MPF_I	CATA	11	global dominant_genus:Escherichia (OR=20.40, q<0.001) | global amr_class:BETA-LACTAM (OR=10.04, q<0.001) | global amr_class:AMINOGLYCOSIDE (OR=4.23, q<0.001) | global amr_class:PENAM (OR=6.43, q<0.001) | global genus_amr_class:Escherichia + BETA-LACTAM (OR=inf, q<0.001)	1.0	1.0	mobility_coherence_t		mobility_coherence_t	1	multi_modal_support,assignment_confidence_low,candidate_confidence_low,oof_supported	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
