backbone_id	mean_jump_distance_km	max_jump_distance_km	jump_distance_dispersion_km	interregional_leap_count	long_jump_label
AD041	0.0	0.0	0.0	1	
AE712	0.0	0.0	0.0	2	
AD871	0.0	0.0	0.0	2	
AA205	0.0	0.0	0.0	0	
AD710	0.0	0.0	0.0	1	
AA211	0.0	0.0	0.0	3	
AE425	0.0	0.0	0.0	3	
AC476	0.0	0.0	0.0	1	
AE670	0.0	0.0	0.0	1	
AE423	0.0	0.0	0.0	1	
AE420	0.0	0.0	0.0	1	
AC864	0.0	0.0	0.0	4	
AE419	0.0	0.0	0.0	1	
AE422	0.0	0.0	0.0	1	
AE424	0.0	0.0	0.0	1	
AC588	0.0	0.0	0.0	3	
AC627	0.0	0.0	0.0	3	
AA848	0.0	0.0	0.0	2	
AF901	0.0	0.0	0.0	1	
AD663	0.0	0.0	0.0	1	
AC320	0.0	0.0	0.0	2	1.0
AC540	0.0	0.0	0.0	2	1.0
AD572	0.0	0.0	0.0	1	1.0
AB284	0.0	0.0	0.0	1	
AB285	0.0	0.0	0.0	0	0.0
AD058	0.0	0.0	0.0	2	1.0
AD157	0.0	0.0	0.0	4	
AB325	0.0	0.0	0.0	2	
AA558	0.0	0.0	0.0	3	
AC813	0.0	0.0	0.0	1	
AB794	0.0	0.0	0.0	2	
AG287	0.0	0.0	0.0	2	
AG282	0.0	0.0	0.0	2	
AE983	0.0	0.0	0.0	2	
AG742	0.0	0.0	0.0	3	
AF315	0.0	0.0	0.0	2	
AE383	0.0	0.0	0.0	2	
AB090	0.0	0.0	0.0	1	
AE306	0.0	0.0	0.0	1	
AB087	0.0	0.0	0.0	2	
AF747	0.0	0.0	0.0	3	1.0
AG389	0.0	0.0	0.0	1	1.0
AD352	0.0	0.0	0.0	3	
AG108	0.0	0.0	0.0	2	1.0
AD038	0.0	0.0	0.0	2	
AF475	0.0	0.0	0.0	1	
AC995	0.0	0.0	0.0	1	
AB088	0.0	0.0	0.0	1	
AG700	0.0	0.0	0.0	2	
AA450	0.0	0.0	0.0	5	
AE437	0.0	0.0	0.0	4	
AA404	0.0	0.0	0.0	5	
AA406	0.0	0.0	0.0	6	
AA829	0.0	0.0	0.0	1	
AA816	0.0	0.0	0.0	5	
AA945	0.0	0.0	0.0	3	
AA457	0.0	0.0	0.0	3	1.0
AF031	0.0	0.0	0.0	4	
AD978	0.0	0.0	0.0	1	
AE373	0.0	0.0	0.0	2	
AB336	0.0	0.0	0.0	1	
AC160	0.0	0.0	0.0	4	
AD731	0.0	0.0	0.0	4	
AD824	0.0	0.0	0.0	4	
AE690	0.0	0.0	0.0	4	
AD642	0.0	0.0	0.0	3	
AB409	0.0	0.0	0.0	2	
AE027	0.0	0.0	0.0	2	
AD729	0.0	0.0	0.0	2	
AE377	0.0	0.0	0.0	1	
AF236	0.0	0.0	0.0	1	
AC969	0.0	0.0	0.0	2	1.0
AG446	0.0	0.0	0.0	3	1.0
AH458	0.0	0.0	0.0	0	0.0
AD972	0.0	0.0	0.0	1	
AD596	0.0	0.0	0.0	1	1.0
AE046	0.0	0.0	0.0	3	
AF250	0.0	0.0	0.0	2	1.0
AA275	0.0	0.0	0.0	5	1.0
AA021	0.0	0.0	0.0	3	
AA458	0.0	0.0	0.0	5	
AG167	0.0	0.0	0.0	4	
AA122	0.0	0.0	0.0	5	
AA454	0.0	0.0	0.0	6	
AA619	0.0	0.0	0.0	5	1.0
AC288	0.0	0.0	0.0	3	
AA277	0.0	0.0	0.0	6	
AA996	0.0	0.0	0.0	1	
AA751	0.0	0.0	0.0	0	
AA902	0.0	0.0	0.0	0	
AA927	0.0	0.0	0.0	2	
AF516	0.0	0.0	0.0	0	
AD387	0.0	0.0	0.0	2	
AF474	0.0	0.0	0.0	3	
AB920	0.0	0.0	0.0	2	
AB530	0.0	0.0	0.0	3	
AB685	0.0	0.0	0.0	5	1.0
AA670	0.0	0.0	0.0	5	
AD480	0.0	0.0	0.0	6	
AA153	0.0	0.0	0.0	5	
AA887	0.0	0.0	0.0	5	
AA190	0.0	0.0	0.0	4	
AB272	0.0	0.0	0.0	4	1.0
AH133	0.0	0.0	0.0	0	
AE720	0.0	0.0	0.0	1	
AE100	0.0	0.0	0.0	0	
AD891	0.0	0.0	0.0	2	1.0
AD579	0.0	0.0	0.0	6	
AA337	0.0	0.0	0.0	5	
AA579	0.0	0.0	0.0	6	1.0
AD451	0.0	0.0	0.0	4	
AA321	0.0	0.0	0.0	2	
AA476	0.0	0.0	0.0	3	
AA176	0.0	0.0	0.0	5	1.0
AA525	0.0	0.0	0.0	3	1.0
AA334	0.0	0.0	0.0	6	
AA971	0.0	0.0	0.0	3	
AB440	0.0	0.0	0.0	3	
AE928	0.0	0.0	0.0	6	
AB240	0.0	0.0	0.0	3	
AA977	0.0	0.0	0.0	6	1.0
AB241	0.0	0.0	0.0	3	1.0
AB687	0.0	0.0	0.0	5	1.0
AC748	0.0	0.0	0.0	6	
AA979	0.0	0.0	0.0	6	
AA324	0.0	0.0	0.0	6	1.0
