backbone_id	priority_group	priority_index	selection_score	selection_score_column	dominant_species	dominant_genus	amr_class_count	who_mia_mapped_class_count	who_mia_unmapped_class_count	who_mia_mapped_fraction	who_mia_top_categories	who_mia_top_classes	who_mia_scope_labels	who_mia_any_hpecia	who_mia_any_cia	who_mia_any_hia	who_mia_any_ia	who_mia_any_support
AE644	high	0.3672985289549663	0.4627039346417739	primary_model_oof_prediction	Ensifer_adhaerens	Ensifer	4	3	1	0.75	CIA,HPCIA,HIA	Aminoglycosides,Quinolones,Tetracyclines	both_humans_and_animals	True	True	True	False	True
AD311	high	0.5331817108460823	0.5985771080538207	primary_model_oof_prediction	Aeromonas_bestiarum	Aeromonas	7	5	2	0.7142857142857143	HIA,CIA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Aminoglycosides,Amphenicols,Tetracyclines	both_humans_and_animals	False	True	True	False	True
AC672	high	0.422932089470707	0.5085365504390192	primary_model_oof_prediction	Desemzia_incerta	Desemzia	7	5	2	0.7142857142857143	HIA,CIA,IA	Aminoglycosides,Lincosamides,Pleuromutilins,Tetracyclines,Sulfonamides, dihydrofolate reductase inhibitors and combinations	both_humans_and_animals	False	True	True	True	True
AC509	high	0.3392044061631245	0.8055553121791146	primary_model_oof_prediction	Escherichia_coli	Escherichia	3	2	1	0.6666666666666666	CIA,HPCIA	Aminoglycosides,Polymyxins	both_humans_and_animals	True	True	False	False	True
AB267	high	0.330714095591146	0.7426201029067723	primary_model_oof_prediction	Escherichia_coli	Escherichia	6	4	2	0.6666666666666666	CIA,HIA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Aminoglycosides,Macrolides	both_humans_and_animals	False	True	True	False	True
AF100	high	0.5325549680341023	0.6021245666236419	primary_model_oof_prediction	Haemophilus_influenzae	Haemophilus	3	2	1	0.6666666666666666	HIA	Amphenicols,Tetracyclines	both_humans_and_animals	False	False	True	False	True
AD328	high	0.7925044192381682	0.5618535474091988	primary_model_oof_prediction	uncultured_bacterium	Citrobacter	3	2	1	0.6666666666666666	HPCIA,HIA	Quinolones,Tetracyclines	both_humans_and_animals	True	False	True	False	True
AC942	high	0.3329220369798504	0.4971520885118684	primary_model_oof_prediction	Agrobacterium_tumefaciens	Agrobacterium	3	2	1	0.6666666666666666	CIA,HIA	Aminoglycosides,Tetracyclines	both_humans_and_animals	False	True	True	False	True
AC540	high	0.1490722968650032	0.5006225920055916	primary_model_oof_prediction	Aeromonas_caviae	Aeromonas	19	12	7	0.631578947368421	HIA,CIA,HPCIA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Quinolones,Aminoglycosides,Carbapenems with or without inhibitors,Macrolides	both_humans_and_animals,humans_only	True	True	True	False	True
AA295	high	0.3453031156481417	0.8633228382543818	primary_model_oof_prediction	Escherichia_coli	Escherichia	16	10	6	0.625	HIA,CIA,HPCIA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Quinolones,Aminoglycosides,Macrolides,Phosphonic acid derivatives	both_humans_and_animals	True	True	True	False	True
AA557	high	0.3607682942026837	0.8041978217648464	primary_model_oof_prediction	Klebsiella_pneumoniae	Klebsiella	16	10	6	0.625	HPCIA,HIA,CIA	Quinolones,Sulfonamides, dihydrofolate reductase inhibitors and combinations,Aminoglycosides,Carbapenems with or without inhibitors,Polymyxins	both_humans_and_animals,humans_only	True	True	True	False	True
AA183	high	0.2162590710859185	0.519359638963992	primary_model_oof_prediction	Escherichia_coli	Escherichia	8	5	3	0.625	HIA,CIA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Aminoglycosides,Tetracyclines	both_humans_and_animals	False	True	True	False	True
AA964	high	0.6940604020180553	0.5361184424593207	primary_model_oof_prediction	Klebsiella_pneumoniae	Klebsiella	13	8	5	0.6153846153846154	HPCIA,HIA,CIA	Quinolones,Sulfonamides, dihydrofolate reductase inhibitors and combinations,Aminoglycosides,Glycopeptides and lipoglycopeptides,Amphenicols	both_humans_and_animals,humans_only	True	True	True	False	True
AC305	high	0.8398163487597855	0.9178397572179569	primary_model_oof_prediction	Escherichia_coli	Escherichia	30	18	12	0.6	CIA,HIA,HPCIA,IA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Quinolones,Aminoglycosides,Carbapenems with or without inhibitors,Polymyxins	both_humans_and_animals,humans_only	True	True	True	True	True
AA850	high	0.475050701962758	0.8811420801070018	primary_model_oof_prediction	Staphylococcus_aureus	Staphylococcus	5	3	2	0.6	HIA,CIA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Aminoglycosides	both_humans_and_animals	False	True	True	False	True
AA346	high	0.5166022133709884	0.8584793268389388	primary_model_oof_prediction	Escherichia_coli	Escherichia	5	3	2	0.6	HIA,CIA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Aminoglycosides	both_humans_and_animals	False	True	True	False	True
AE050	high	0.5405696245891681	0.5540252045445765	primary_model_oof_prediction	Bacillus_cereus	Bacillus	5	3	2	0.6	HPCIA	Phosphonic acid derivatives,Glycopeptides and lipoglycopeptides	both_humans_and_animals,humans_only	True	False	False	False	True
AC082	high	0.7749998855939585	0.4494678656694985	primary_model_oof_prediction	Escherichia_coli	Escherichia	15	9	6	0.6	HIA,CIA,HPCIA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Aminoglycosides,Macrolides,Monobactams,Amphenicols	both_humans_and_animals,humans_only	True	True	True	False	True
AC654	high	0.297476013365119	0.4349291615421869	primary_model_oof_prediction	Ligilactobacillus_salivarius	Ligilactobacillus	5	3	2	0.6	CIA,HPCIA,HIA	Aminoglycosides,Quinolones,Tetracyclines	both_humans_and_animals	True	True	True	False	True
AB169	high	0.5630098759963165	0.9136492520349458	primary_model_oof_prediction	Enterobacter_hormaechei	Enterobacter	12	7	5	0.5833333333333334	HIA,CIA,HPCIA	Sulfonamides, dihydrofolate reductase inhibitors and combinations,Aminoglycosides,Amphenicols,Quinolones,Ansamycins	both_humans_and_animals	True	True	True	False	True
