priority_group	n_backbones	n_with_literature_support	n_with_cluster_support	mean_reported_host_range_taxid_count	median_reported_host_range_taxid_count	mean_cluster_taxid_count	mean_cluster_conjugative_fraction	mean_cluster_relaxase_presence_fraction
high	247	107	235	0.5910931174089069	0.0	28.931174089068826	0.3505406962932147	0.6274865053240536
low	247	21	139	0.09716599190283401	0.0	7.57085020242915	0.04786897601749652	0.12870674236213636
