deconfounding_method	model_name	status	residual_knownness_abs_corr	roc_auc	average_precision	positive_prevalence	average_precision_lift	average_precision_enrichment	brier_score	log_loss	expected_calibration_error	max_calibration_error	ndcg_at_10	ndcg_at_25	brier_reliability	brier_resolution	brier_uncertainty	precision_at_top_10	recall_at_top_10	precision_at_top_25	recall_at_top_25	n_backbones	n_positive	weighted_classification_cost	novelty_adjusted_average_precision
linear_existing	linear_existing_proxy_depleted_priority	ok	0.26701352437524706	0.7558354701419546	0.6692274368599385	0.3660262891809909	0.30320114767894757	1.8283589366145834	0.18140769668057885	0.5475454260065762	0.05374714700732463	0.1167762010731947	0.8611375561264456	0.8365564389853131	0.004121647682316173	0.05422941212714228	0.23205104480938452	0.9	0.024861878453038673	0.84	0.058011049723756904	989	362	0.8432760364004045	0.11403118666082315
quadratic	quadratic_proxy_depleted_priority	ok	7.0303377116915775e-15	0.7664137742648938	0.669762583583841	0.3660262891809909	0.3037362944028501	1.8298209811171788	0.1816528957321271	0.5471433332031718	0.03156947074514019	0.07598399639182707	0.77990823370192	0.7935974139096633	0.00168323762767812	0.0522071674355346	0.23205104480938452	0.9	0.024861878453038673	0.84	0.058011049723756904	989	362	0.8250758341759353	0.11507979333210311
stratified	stratified_proxy_depleted_priority	ok	0.09147170600876367	0.7581308872381859	0.6698741139646539	0.3660262891809909	0.303847824783663	1.8301256870470795	0.18160269658448774	0.5477248808305387	0.05326935005931669	0.09654831943782327	0.8611375561264456	0.8379861418056149	0.003699092286887773	0.0535183331985276	0.23205104480938452	0.9	0.024861878453038673	0.84	0.058011049723756904	989	362	0.8190091001011123	0.11497005730247994
