member_count_band	country_count_band	source_band	n_backbones	n_positive	mean_knownness_score	primary_roc_auc	baseline_roc_auc	delta_roc_auc
10_plus	1	refseq_leaning	266	222	0.5813003185415511	0.746007371007371	0.7148341523341523	0.0311732186732187
5_9	1	refseq_leaning	183	62	0.5034781503643908	0.6566249000266595	0.6671554252199413	-0.0105305251932817
10_plus	3_4	refseq_leaning	84	70	0.7512779462981689	0.8367346938775512	0.8897959183673468	-0.0530612244897956
3_4	1	refseq_leaning	190	5	0.4308720486757845	0.5967567567567568	0.8345945945945946	-0.2378378378378378
