pathogen_dataset	priority_group	n_backbones	n_with_any_support	mean_matching_records	median_matching_records	mean_matching_fraction	median_matching_fraction	mean_matching_genes
clinical	high	247	119	18387.65991902834	0.0	0.1853112827622737	0.0	1.3765182186234817
clinical	low	247	5	152.1174089068826	0.0	0.0018186591032246	0.0	0.0283400809716599
