model_name	outcome_name	status	roc_auc	average_precision	positive_prevalence	precision_at_top_25	recall_at_top_25	n_backbones	n_positive
bio_clean_priority	label_observed	ok	0.7454289918669099	0.6538034832512319	0.3660262891809909	0.8	0.055248618784530384	989	362
bio_clean_priority	label_midpoint	ok	0.7537682817630087	0.7200824234234434	0.4418604651162791	0.84	0.04805491990846682	989	437
bio_clean_priority	label_optimistic	ok	0.7499732111210939	0.7278428477632886	0.45601617795753285	0.84	0.04656319290465632	989	451
bio_clean_priority	label_weighted	ok	0.7412245070660912	0.6803735195052648	0.4084934277047523	0.8	0.04950495049504951	989	404
parsimonious_priority	label_observed	ok	0.7505793615127724	0.6591153194245379	0.3660262891809909	0.88	0.06077348066298342	989	362
parsimonious_priority	label_midpoint	ok	0.7558617716313468	0.7354935418520856	0.4418604651162791	0.92	0.05263157894736842	989	437
parsimonious_priority	label_optimistic	ok	0.7517907335207181	0.7448320552890022	0.45601617795753285	0.92	0.050997782705099776	989	451
parsimonious_priority	label_weighted	ok	0.746001523229246	0.6945030238380012	0.4084934277047523	0.88	0.054455445544554455	989	404
natural_auc_priority	label_observed	ok	0.7852397190867676	0.6929323560191941	0.3660262891809909	0.88	0.06077348066298342	989	362
natural_auc_priority	label_midpoint	ok	0.789958710576062	0.7585705620821616	0.4418604651162791	0.92	0.05263157894736842	989	437
natural_auc_priority	label_optimistic	ok	0.7844690444200826	0.7668887323816871	0.45601617795753285	0.92	0.050997782705099776	989	451
natural_auc_priority	label_weighted	ok	0.7772361851569772	0.7188177675260158	0.4084934277047523	0.88	0.054455445544554455	989	404
knownness_robust_priority	label_observed	ok	0.8045987646162116	0.7125010981098948	0.3660262891809909	0.84	0.058011049723756904	989	362
knownness_robust_priority	label_midpoint	ok	0.8018439292939342	0.770087087717285	0.4418604651162791	0.88	0.05034324942791762	989	437
knownness_robust_priority	label_optimistic	ok	0.7961572383550805	0.777739105952873	0.45601617795753285	0.88	0.04878048780487805	989	451
knownness_robust_priority	label_weighted	ok	0.7943725141744944	0.7328924423442758	0.4084934277047523	0.84	0.05198019801980198	989	404
support_calibrated_priority	label_observed	ok	0.8074537171658428	0.7389402271702246	0.3660262891809909	1.0	0.06906077348066299	989	362
support_calibrated_priority	label_midpoint	ok	0.8092768547076576	0.7884630499926168	0.4418604651162791	1.0	0.057208237986270026	989	437
support_calibrated_priority	label_optimistic	ok	0.8026401470503384	0.7943895751147405	0.45601617795753285	1.0	0.05543237250554324	989	451
support_calibrated_priority	label_weighted	ok	0.802022509943302	0.7616931572954416	0.4084934277047523	1.0	0.06188118811881188	989	404
support_synergy_priority	label_observed	ok	0.8216579872584525	0.7525359408300115	0.3660262891809909	1.0	0.06906077348066299	989	362
support_synergy_priority	label_midpoint	ok	0.8290302789108878	0.8049608610921761	0.4418604651162791	1.0	0.057208237986270026	989	437
support_synergy_priority	label_optimistic	ok	0.8203331712262713	0.8081092734137532	0.45601617795753285	1.0	0.05543237250554324	989	451
support_synergy_priority	label_weighted	ok	0.815930439197766	0.7725140156175406	0.4084934277047523	1.0	0.06188118811881188	989	404
host_transfer_synergy_priority	label_observed	ok	0.8054006185730525	0.7145218046178778	0.3660262891809909	0.88	0.06077348066298342	989	362
host_transfer_synergy_priority	label_midpoint	ok	0.8043105163665307	0.7725248954259539	0.4418604651162791	0.88	0.05034324942791762	989	437
host_transfer_synergy_priority	label_optimistic	ok	0.7986877570702033	0.780206948927935	0.45601617795753285	0.88	0.04878048780487805	989	451
host_transfer_synergy_priority	label_weighted	ok	0.7950579673351951	0.7347438438753818	0.4084934277047523	0.88	0.054455445544554455	989	404
ecology_clinical_priority	label_observed	ok	0.798672975759338	0.7038929394199659	0.3660262891809909	0.88	0.06077348066298342	989	362
ecology_clinical_priority	label_midpoint	ok	0.7985358007495108	0.7651814681271104	0.4418604651162791	0.92	0.05263157894736842	989	437
ecology_clinical_priority	label_optimistic	ok	0.7920399937355237	0.7718029696863198	0.45601617795753285	0.92	0.050997782705099776	989	451
ecology_clinical_priority	label_weighted	ok	0.7883261403063383	0.7259697205326423	0.4084934277047523	0.88	0.054455445544554455	989	404
adaptive_natural_priority	label_observed	ok	0.8037726788090266	0.7044192945348009	0.3660262891809909	0.88	0.06077348066298342	989	362
adaptive_natural_priority	label_midpoint	ok	0.8074051503996286	0.7708305286365988	0.4418604651162791	0.92	0.05263157894736842	989	437
adaptive_natural_priority	label_optimistic	ok	0.8019930925906082	0.7781981448769338	0.45601617795753285	0.92	0.050997782705099776	989	451
adaptive_natural_priority	label_weighted	ok	0.7951172040280952	0.7276351569195272	0.4084934277047523	0.88	0.054455445544554455	989	404
adaptive_knownness_robust_priority	label_observed	ok	0.8110246107483676	0.7144622031082639	0.3660262891809909	0.84	0.058011049723756904	989	362
adaptive_knownness_robust_priority	label_midpoint	ok	0.8136607468576924	0.7762228843702116	0.4418604651162791	0.88	0.05034324942791762	989	437
adaptive_knownness_robust_priority	label_optimistic	ok	0.8082410834246903	0.7843832700141345	0.45601617795753285	0.88	0.04878048780487805	989	451
adaptive_knownness_robust_priority	label_weighted	ok	0.8020140475586021	0.7350956539382945	0.4084934277047523	0.84	0.05198019801980198	989	404
adaptive_knownness_blend_priority	label_observed	ok	0.8095949315780662	0.715330026336142	0.3660262891809909	0.84	0.058011049723756904	989	362
adaptive_knownness_blend_priority	label_midpoint	ok	0.8099650117732896	0.7753389546822503	0.4418604651162791	0.88	0.05034324942791762	989	437
adaptive_knownness_blend_priority	label_optimistic	ok	0.8045977958934709	0.7835080159997745	0.45601617795753285	0.88	0.04878048780487805	989	451
adaptive_knownness_blend_priority	label_weighted	ok	0.8006304476601507	0.735871864117164	0.4084934277047523	0.84	0.05198019801980198	989	404
adaptive_support_calibrated_blend_priority	label_observed	ok	0.8122560293249447	0.7376089909969306	0.3660262891809909	1.0	0.06906077348066299	989	362
adaptive_support_calibrated_blend_priority	label_midpoint	ok	0.8145458163366829	0.7896718353133905	0.4418604651162791	1.0	0.057208237986270026	989	437
adaptive_support_calibrated_blend_priority	label_optimistic	ok	0.8079608305376734	0.7958552544756604	0.45601617795753285	1.0	0.05543237250554324	989	451
adaptive_support_calibrated_blend_priority	label_weighted	ok	0.8056782601337057	0.7598233713508044	0.4084934277047523	1.0	0.06188118811881188	989	404
adaptive_support_synergy_blend_priority	label_observed	ok	0.8225743917805564	0.7534874169611572	0.3660262891809909	1.0	0.06906077348066299	989	362
adaptive_support_synergy_blend_priority	label_midpoint	ok	0.8285411070208603	0.8043237628809171	0.4418604651162791	1.0	0.057208237986270026	989	437
adaptive_support_synergy_blend_priority	label_optimistic	ok	0.8208813129023483	0.8087564124485096	0.45601617795753285	1.0	0.05543237250554324	989	451
adaptive_support_synergy_blend_priority	label_weighted	ok	0.8157400355420157	0.7708442763233558	0.4084934277047523	1.0	0.06188118811881188	989	404
adaptive_host_transfer_synergy_blend_priority	label_observed	ok	0.8106963793209795	0.7166930094694673	0.3660262891809909	0.88	0.06077348066298342	989	362
adaptive_host_transfer_synergy_blend_priority	label_midpoint	ok	0.8126388750704739	0.7767797275049327	0.4418604651162791	0.88	0.05034324942791762	989	437
adaptive_host_transfer_synergy_blend_priority	label_optimistic	ok	0.8073302615418855	0.7848889058962369	0.45601617795753285	0.88	0.04878048780487805	989	451
adaptive_host_transfer_synergy_blend_priority	label_weighted	ok	0.8022933062537023	0.7377083535986682	0.4084934277047523	0.88	0.054455445544554455	989	404
adaptive_threat_architecture_blend_priority	label_observed	ok	0.7970472388907981	0.7003642134298477	0.3660262891809909	0.92	0.06353591160220995	989	362
adaptive_threat_architecture_blend_priority	label_midpoint	ok	0.7982870692800053	0.755938004842934	0.4418604651162791	0.96	0.05491990846681922	989	437
adaptive_threat_architecture_blend_priority	label_optimistic	ok	0.7929054805924876	0.7639590536799196	0.45601617795753285	0.96	0.05321507760532151	989	451
adaptive_threat_architecture_blend_priority	label_weighted	ok	0.7928662096978929	0.7278755368270377	0.4084934277047523	0.92	0.05693069306930693	989	404
baseline_both	label_observed	ok	0.7224968498594553	0.6471951497145494	0.3660262891809909	0.88	0.06077348066298342	989	362
baseline_both	label_midpoint	ok	0.7286236029582462	0.7277267553814961	0.4418604651162791	0.96	0.05491990846681922	989	437
baseline_both	label_optimistic	ok	0.7260754704539273	0.7359274010504373	0.45601617795753285	0.96	0.05321507760532151	989	451
baseline_both	label_weighted	ok	0.7254358128120504	0.6954745788368241	0.4084934277047523	0.96	0.0594059405940594	989	404
