backbone_id	spread_label	visibility_expansion_label	dominant_genus	primary_replicon	dominant_mpf_type	amr_class_tokens	dominant_amr_gene_family
AD166	0	0	Cronobacter	IncFIB			
AD105	0	0	Spiroplasma				
AE692	0	0	Spiroplasma				
AB648	0	0	Rickettsia	rep_cluster_41			
AB040	1	1	Enterobacter	rep_cluster_2335		QUINOLONE	QNRB
AG640	1	1	Enterobacter	rep_cluster_1778		BETA-LACTAM	BLAKPC
AA514	1	1	Enterobacter	rep_cluster_2335			
AB978	1	1	Enterobacter	rep_cluster_1367	MPF_T	AMINOGLYCOSIDE,BETA-LACTAM,CARBAPENEM,CEPHALOSPORIN,MONOBACTAM,PENAM,PENEM,QUINOLONE,SULFONAMIDE	BLATEM
AA622	1	1	Enterobacter	IncA	MPF_F	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,FLUOROQUINOLONE,MACROLIDE,PHENICOL,RIFAMYCIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	SUL
AA424	1	1	Enterobacter	IncFIB	MPF_F	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,CEPHALOSPORIN,COLISTIN,FLUOROQUINOLONE,GLYCOPEPTIDE,MONOBACTAM,PENAM,PENEM,PHENICOL,QUINOLONE,RIFAMYCIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	APH
AB169	1	1	Enterobacter	rep_cluster_1444		AMINOGLYCOSIDE,BETA-LACTAM,PHENICOL,QUINOLONE,RIFAMYCIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	BLALAP
AC689	0	0	Chelatococcus	rep_cluster_841	MPF_T	CARBAPENEM,FLUOROQUINOLONE,PENAM,TETRACYCLINE	ADEF
AF420	0	0	Streptomyces				
AE202	0	0	Candidatus_Palibaumannia	rep_cluster_1539			
AA539	1	1	Enterobacter	ColRNAI_rep_cluster_1987			
AC753	0	0	Lactobacillus	rep_cluster_556			
AA941	1	1	Klebsiella	ColRNAI_rep_cluster_1857		AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,CEPHALOSPORIN,DIAMINOPYRIMIDINE,FLUOROQUINOLONE,MACROLIDE,MONOBACTAM,PENAM,PENEM,PHENICOL,QUINOLONE,SULFONAMIDE,TRIMETHOPRIM	AAC
AA038	1	1	Klebsiella	IncX3	MPF_T	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,CARBAPENEM,CEPHALOSPORIN,CEPHAMYCIN,COLISTIN,DIAMINOPYRIMIDINE,FLUOROQUINOLONE,GLYCOPEPTIDE,GLYCYLCYCLINE,LINCOSAMIDE,MACROLIDE,MACROLIDE/STREPTOGRAMIN,MONOBACTAM,NITROFURAN,PENAM,PENEM,PHENICOL,QUINOLONE,RIFAMYCIN,STREPTOGRAMIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	BLANDM
AA018	1	1	Klebsiella	IncFIB	MPF_F	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,CARBAPENEM,CEPHALOSPORIN,COLISTIN,DIAMINOPYRIMIDINE,FLUOROQUINOLONE,GLYCOPEPTIDE,MACROLIDE,MONOBACTAM,PENAM,PENEM,PEPTIDE,PHENICOL,QUINOLONE,RIFAMYCIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	BLATEM
AD264	0	0	Enterococcus	rep_cluster_183			
AC726	0	0	Enterococcus	rep_cluster_893	MPF_T	AMINOGLYCOSIDE,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,MACROLIDE,NUCLEOSIDE,OXAZOLIDINONE,PHENICOL,PHENICOL/OXAZOLIDINONE,PLEUROMUTILIN,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B,STREPTOTHRICIN	TCRB
AG445	1	1	Ralstonia	rep_cluster_46		FLUOROQUINOLONE,TETRACYCLINE	ADEF
AA237	1	1	Pseudomonas	rep_cluster_283	MPF_T		
AC558	0	0	Lacticaseibacillus	rep_cluster_731			
AC556	0	0	Lacticaseibacillus	rep_cluster_196			
AC553	0	0	Lacticaseibacillus	rep_cluster_197			
AC562	0	0	Lacticaseibacillus	rep_cluster_850		AMINOGLYCOSIDE	APH
AA274	1	1	Klebsiella	IncFIB	MPF_F	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,CARBAPENEM,CEPHALOSPORIN,CEPHAMYCIN,COLISTIN,DIAMINOPYRIMIDINE,FLUOROQUINOLONE,GLYCOPEPTIDE,MACROLIDE,MACROLIDE/STREPTOGRAMIN,MONOBACTAM,PENAM,PENEM,PHENICOL,QUINOLONE,RIFAMYCIN,STREPTOGRAMIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	SILC
AC117	0	0	Bacillus	rep_cluster_1836			
AA570	0	0	Bacillus				
AE560	0	0	Bacillus				
AD594	0	0	Bacillus	rep_cluster_1850			
AF253	0	0	Bacillus	rep_cluster_1396			
AE213	0	0	Bacillus	rep_cluster_459	MPF_T		
AE318	0	0	Bacillus	rep_cluster_1912	MPF_T		
AE052	0	0	Bacillus	rep_cluster_1912	MPF_T	GLYCOPEPTIDE,PHOSPHONIC ACID	VANYGENE
AE049	1	1	Bacillus	rep_cluster_1912	MPF_T	CEPHALOSPORIN,GLYCOPEPTIDE,PENEM	BCIII
AC056	0	0	Bacillus	Inc13			
AF610	0	0	Bacillus	rep_cluster_1912	MPF_T	BETA-LACTAM,CEPHALOSPORIN,PENEM	BCIII
AA788	0	0	Bacillus	rep_cluster_125	MPF_T		
AD034	1	1	Bacillus	rep_cluster_1721	MPF_T		
AD763	1	1	Bacillus	rep_cluster_1698			
AD621	0	0	Bacillus				
AA567	0	0	Bacillus	rep_cluster_1895			
AB152	1	1	Haloferax	rep_cluster_592	MPF_T		
AH479	0	0	Arthrobacter				
AG152	0	0	Arthrobacter	rep_cluster_1547	MPF_T		
AF771	0	0	Haloarcula				
AG653	0	0	Haloarcula		MPF_T		
AE134	1	1	Geobacillus	rep_cluster_349		AMINOGLYCOSIDE	APH
AH216	0	0	Octadecabacter	rep_cluster_615			
AB304	0	0	Companilactobacillus	rep_cluster_1267		LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B,TETRACYCLINE	TET
AB672	1	1	Bacillus	rep_cluster_125	MPF_T	CEPHALOSPORIN,GLYCOPEPTIDE,PENEM,TETRACYCLINE	VANYGENE
AF249	0	0	Bacillus	rep_cluster_1436			
AA680	0	0	Bacillus				
AB136	1	1	Leuconostoc	rep_cluster_1503			
AA457	1	1	Klebsiella	IncFIB	MPF_F	AMINOGLYCOSIDE,BETA-LACTAM,MACROLIDE,PHENICOL,SULFONAMIDE,TRIMETHOPRIM	HSP
AC716	1	1	Acinetobacter	rep_cluster_1254	MPF_I	AMINOGLYCOSIDE,BETA-LACTAM,BLEOMYCIN,CARBAPENEM,MACROLIDE,MACROLIDE/STREPTOGRAMIN,PENAM,PHENICOL,RIFAMYCIN,STREPTOGRAMIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	APH
AF449	1	1	Sinorhizobium	rep_cluster_593	MPF_T	FLUOROQUINOLONE,TETRACYCLINE	ADEF
AA609	1	1	Sinorhizobium	rep_cluster_77	MPF_T	AMINOGLYCOSIDE,FLUOROQUINOLONE,OXAZOLIDINONE,PHENICOL,TETRACYCLINE	ADEF
AA614	1	1	Sinorhizobium	rep_cluster_492	MPF_T	AMINOGLYCOSIDE,FLUOROQUINOLONE,OXAZOLIDINONE,PHENICOL,TETRACYCLINE	ADEF
AA694	1	1	Leptospira	rep_cluster_216			
AA304	1	1	Escherichia	IncFIA	MPF_F	AMINOGLYCOSIDE,BETA-LACTAM,BLEOMYCIN,QUINOLONE,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	AADA
AF441	0	0	Bacillus				
AG003	0	0	Leuconostoc	rep_cluster_1953			
AC635	0	0	Sphingomonas		MPF_T	LINCOSAMIDE	LMRC
AD950	0	0	Sphingomonas	rep_cluster_694			
AD347	0	0	Sphingomonas	rep_cluster_647	MPF_T		
AD949	0	0	Sphingomonas	rep_cluster_1170			
AB292	0	0	Sphingomonas	rep_cluster_1455			
AH008	0	0	Marinovum	rep_cluster_1673			
AE448	0	0	Marinovum	rep_cluster_252			
AD355	0	0	Marinovum				
AC886	0	0	Marinovum	rep_cluster_361			
AA291	0	0	Marinovum	rep_cluster_579	MPF_T		
AE982	1	1	Marinovum			FLUOROQUINOLONE,TETRACYCLINE	ADEF
AG283	0	0	Marinovum	rep_cluster_547			
AC324	0	0	Marinovum	rep_cluster_548			
AB854	1	1	Marinovum	rep_cluster_558	MPF_T		
AC490	0	0	Companilactobacillus	rep_cluster_707	MPF_T		
AD494	1	1	Xanthomonas	rep_cluster_156	MPF_T		
AC468	0	0	Limosilactobacillus	rep_cluster_707	MPF_T	AMINOGLYCOSIDE,FLUOROQUINOLONE,PENAM,TETRACYCLINE	MDEA
AF676	0	0	Clostridium				
AC222	1	1	Streptomyces	rep_cluster_43		AMINOCOUMARIN,AMINOGLYCOSIDE	CPXA
AH402	0	0	Streptomyces				
AA176	1	1	Escherichia	IncFIB	MPF_F	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,CEPHALOSPORIN,DIAMINOPYRIMIDINE,FLUOROQUINOLONE,FOSFOMYCIN,GLYCOPEPTIDE,GLYCYLCYCLINE,MACROLIDE,MONOBACTAM,NITROFURAN,PENAM,PENEM,PHENICOL,PHENICOL/QUINOLONE,QUINOLONE,RIFAMYCIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	APH
AA579	1	1	Escherichia	rep_cluster_1778	MPF_F	BETA-LACTAM,CEPHALOSPORIN	CTXM
AA667	1	1	Escherichia	rep_cluster_2350		AMINOGLYCOSIDE,BETA-LACTAM,CEPHALOSPORIN,MACROLIDE,MONOBACTAM,PENAM,PENEM	BLATEM
AB114	1	1	Acinetobacter	rep_cluster_718		BETA-LACTAM,MACROLIDE,MACROLIDE/STREPTOGRAMIN,PHENICOL,STREPTOGRAMIN,SULFONAMIDE,TETRACYCLINE	SUL
AA410	1	1	Staphylococcus	rep_cluster_1017			MCO
