backbone_id	n_new_countries_recomputed	time_to_first_new_country_years	time_to_third_new_country_years	event_within_1y_label	event_within_3y_label	event_within_5y_label	three_countries_within_3y_label	three_countries_within_5y_label	spread_severity_bin
AA673	5	5.0	7.0	0.0	0.0	1.0	0.0	0.0	3.0
AD885	2	5.0							
AA615	4	2.0	8.0						
AF201	3	1.0	8.0						
AA609	7	2.0	2.0	0.0	1.0	1.0	1.0	1.0	3.0
AA668	11	5.0	5.0	0.0	0.0	1.0	0.0	1.0	3.0
AA551	17	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0
AD488	9	2.0	5.0	0.0	1.0	1.0	0.0	1.0	3.0
AD306	9	2.0	5.0						
AB187	15	1.0	3.0	1.0	1.0	1.0	1.0	1.0	3.0
AE607	1	5.0							
AB071	3	5.0	7.0	0.0	0.0	1.0	0.0	0.0	2.0
AE234	9	2.0	5.0						
AD464	11	4.0	4.0						
AB445	11	5.0	5.0						
AD338	12	4.0	5.0						
AD484	3	4.0	7.0						
AC978	14	4.0	5.0	0.0	0.0	1.0	0.0	1.0	3.0
AA327	11	2.0	3.0						
AA106	13	3.0	4.0						
AA044	0								
AA473	13	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0
AA626	6	1.0	4.0	1.0	1.0	1.0	0.0	1.0	3.0
AA677	4	2.0	5.0						
AH156	7	4.0	6.0						
AC228	4	5.0	8.0	0.0	0.0	1.0	0.0	0.0	2.0
AF572	4	5.0	6.0						
AB447	5	2.0	5.0						
AA772	4	3.0	5.0						
AG635	1	3.0							
AB659	0								
AG926	1	3.0							
AB037	5	3.0	5.0						
AF581	1	2.0							
AA214	1	7.0							
AA215	1	5.0							
AA208	5	4.0	6.0						
AC751	2	6.0		0.0	0.0	0.0	0.0	0.0	1.0
AC755	4	5.0	8.0						
AE050	4	3.0	4.0	0.0	1.0	1.0	0.0	1.0	2.0
AA018	21	2.0	2.0	0.0	1.0	1.0	1.0	1.0	3.0
AA964	13	1.0	3.0	1.0	1.0	1.0	1.0	1.0	3.0
AC206	7	2.0	5.0						
AA469	5	2.0	5.0						
AF422	1	7.0							
AB443	14	2.0	5.0	0.0	1.0	1.0	0.0	1.0	3.0
AB595	24	1.0	3.0	1.0	1.0	1.0	1.0	1.0	3.0
AD087	1	4.0							
AA578	9	4.0	5.0						
AE761	6	4.0	8.0						
AC203	6	4.0	4.0	0.0	0.0	1.0	0.0	1.0	3.0
AE849	2	7.0		0.0	0.0	0.0	0.0	0.0	1.0
AD415	2	4.0							
AB125	6	3.0	4.0						
AE822	4	5.0	8.0						
AA105	4	1.0	6.0						
AA364	10	2.0	3.0						
AA035	16	4.0	5.0	0.0	0.0	1.0	0.0	1.0	3.0
AB951	6	4.0	6.0	0.0	0.0	1.0	0.0	0.0	3.0
AB063	4	3.0	6.0						
AB112	10	3.0	5.0						
AA104	14	1.0	4.0						
AB043	12	2.0	4.0						
