model_name	resample_index	sample_seed	n_backbones	n_per_source_group	roc_auc	average_precision	brier_score
bio_clean_priority	1	89250953	198	99	0.705834771354616	0.6769197466275564	0.1995015496617867
bio_clean_priority	2	773956048	198	99	0.6828407323202106	0.5742539170096167	0.18691411585851445
bio_clean_priority	3	654571518	198	99	0.6693840579710145	0.5743092377513606	0.18620495927688774
bio_clean_priority	4	438878439	198	99	0.6877332089552238	0.6002394677497402	0.19022386923305074
bio_clean_priority	5	433015235	198	99	0.7036708439614062	0.6102993924220415	0.1981682871798968
bio_clean_priority	6	858597919	198	99	0.6300139925373134	0.5024722498341169	0.20475737747503955
bio_clean_priority	7	201469535	198	99	0.6722382880277618	0.5677158072357826	0.19482973290198416
bio_clean_priority	8	94177347	198	99	0.6841628959276018	0.596380023477071	0.19701084772324984
bio_clean_priority	9	526478978	198	99	0.6829086317722681	0.5764804856915905	0.19476146073155
bio_clean_priority	10	975622351	198	99	0.6544108498195844	0.5227075818588117	0.18420031915209573
bio_clean_priority	11	735752370	198	99	0.6707186907020873	0.5447248846245092	0.19129136216149717
bio_clean_priority	12	761139701	198	99	0.6461637126865671	0.5845754056069019	0.1942682586111479
bio_clean_priority	13	717477276	198	99	0.6613526570048309	0.5663723449987651	0.18760872060819558
bio_clean_priority	14	786064305	198	99	0.6787190082644629	0.5978504720349159	0.19382853282859136
bio_clean_priority	15	513226573	198	99	0.7374673060156931	0.6967106837809961	0.18951053249017444
bio_clean_priority	16	128113632	198	99	0.6729638009049774	0.6071680982533423	0.19661195421348113
bio_clean_priority	17	839748229	198	99	0.6637215370018975	0.554721326435444	0.1905540852362605
bio_clean_priority	18	450385937	198	99	0.6861026850915627	0.5834585041494864	0.20010061257669554
bio_clean_priority	19	500351915	198	99	0.685883559302723	0.6349710015894112	0.1915611707041295
bio_clean_priority	20	370798024	198	99	0.6821917808219178	0.6419814256643758	0.20119804338742328
