backbone_id	n_training_records	mean_amr_software_count	mean_gene_agreement_jaccard	mean_class_agreement_jaccard	mean_amr_uncertainty_score	amr_agreement_score
AD597	1					0.0
AD600	1					0.0
AD601	1					0.0
AD602	1					0.0
AD607	1					0.0
AD614	1					0.0
AD616	1					0.0
AD619	1					0.0
AD621	1					0.0
AD623	1					0.0
AD624	1					0.0
AD625	1					0.0
AD633	1					0.0
AD634	1					0.0
AD637	1					0.0
AD640	1					0.0
AD642	1					0.0
AD644	1					0.0
AD645	1					0.0
AD646	1					0.0
AD647	1					0.0
AD648	1					0.0
AD652	1					0.0
AD655	1					0.0
AD660	1					0.0
AD665	1					0.0
AD666	1					0.0
AD667	1					0.0
AD678	1					0.0
AD682	1					0.0
AD685	1					0.0
AD686	1					0.0
AD687	1					0.0
AD691	1					0.0
AD692	1					0.0
AD701	1					0.0
AD703	1					0.0
AD705	1					0.0
AD706	1					0.0
AD707	1					0.0
AD708	1					0.0
AD709	1					0.0
AD712	1					0.0
AD713	1					0.0
AD723	1					0.0
AD726	1					0.0
AD730	1					0.0
AD735	1					0.0
AD740	1					0.0
AD747	1					0.0
AD751	1					0.0
AD756	1					0.0
AD757	1					0.0
AD759	1					0.0
AD760	1					0.0
AD763	1					0.0
AD767	1					0.0
AD769	1					0.0
AD773	1					0.0
AD774	1					0.0
AD775	1					0.0
AD776	1					0.0
AD777	1					0.0
AD778	1					0.0
AD779	1					0.0
AD780	1					0.0
AD787	1					0.0
AD792	1					0.0
AD795	1					0.0
AD797	1					0.0
AD798	1					0.0
AD799	1					0.0
AD800	1					0.0
AD802	1					0.0
AD809	1					0.0
AD816	1					0.0
AD818	1					0.0
AD821	1					0.0
AD829	1					0.0
AD833	1					0.0
AD834	1					0.0
AD835	1					0.0
AD836	1					0.0
AD838	1					0.0
AD839	1					0.0
AD849	1					0.0
AD850	1					0.0
AD854	1					0.0
AD859	1					0.0
AD860	1					0.0
AD869	1					0.0
AD870	1					0.0
AD871	1					0.0
AD878	1					0.0
AD879	1					0.0
AD881	1					0.0
AD885	1					0.0
AD889	1					0.0
AD892	1					0.0
AD893	1					0.0
AD904	1					0.0
AD907	1					0.0
AD915	1					0.0
AD916	1					0.0
AD924	1					0.0
AD925	1					0.0
AD926	1					0.0
AD927	1					0.0
AD928	1					0.0
AD929	1					0.0
AD930	1					0.0
AD941	1					0.0
AD943	1					0.0
AD944	1					0.0
AD945	1					0.0
AD946	1					0.0
AD949	1					0.0
AD950	1					0.0
AD957	1					0.0
AD958	1					0.0
AD962	1					0.0
AD970	1					0.0
AD973	1					0.0
AD978	1					0.0
AD985	1					0.0
AD988	1					0.0
AD989	1					0.0
AD998	1					0.0
AE000	1					0.0
AE003	1					0.0
AE006	1					0.0
AE023	1					0.0
AE038	1					0.0
AE039	1					0.0
AE043	1					0.0
AE048	1					0.0
AE055	1					0.0
AE057	1					0.0
AE059	1					0.0
AE061	1					0.0
AE064	1					0.0
AE065	1					0.0
AE068	1					0.0
AE070	1					0.0
AE091	1					0.0
AE101	1					0.0
AE102	1					0.0
AE105	1					0.0
AE119	1					0.0
AE133	1					0.0
AE136	1					0.0
AE142	1					0.0
AE144	1					0.0
AE147	1					0.0
AE149	1					0.0
AE151	1					0.0
AE154	1					0.0
AE155	1					0.0
AE156	1					0.0
AE157	1					0.0
AE159	1					0.0
AE160	1					0.0
AE161	1					0.0
AE163	1					0.0
AE164	1					0.0
AE169	1					0.0
AE178	1					0.0
AE183	1					0.0
AE185	1					0.0
AE186	1					0.0
AE189	1					0.0
AE192	1					0.0
AE199	1					0.0
AE201	1					0.0
AE202	1					0.0
AE203	1					0.0
AE212	1					0.0
AE213	1					0.0
AE214	1					0.0
AE221	1					0.0
AE223	1					0.0
AE231	1					0.0
AE232	1					0.0
AE237	1					0.0
AE250	1					0.0
AE251	1					0.0
AE256	1					0.0
AE260	1					0.0
AE261	1					0.0
AE265	1					0.0
AE268	1					0.0
AE275	1					0.0
AE277	1					0.0
AE281	1					0.0
AE282	1					0.0
AE297	1					0.0
AE298	1					0.0
AE300	1					0.0
AE304	1					0.0
AE306	1					0.0
AE307	1					0.0
AE312	1					0.0
AE313	1					0.0
AE317	1					0.0
AE330	1					0.0
AE335	1					0.0
AE336	1					0.0
AE337	1					0.0
AE339	1					0.0
AE340	1					0.0
AE354	1					0.0
AE356	1					0.0
AE357	1					0.0
AE361	1					0.0
AE362	1					0.0
AE363	1					0.0
AE364	1					0.0
AE365	1					0.0
AE381	1					0.0
AE391	1					0.0
AE392	1					0.0
AE397	1					0.0
AE400	1					0.0
AE404	1					0.0
AE406	1					0.0
AE407	1					0.0
AE408	1					0.0
AE430	1					0.0
AE431	1					0.0
AE432	1					0.0
AE433	1					0.0
AE434	1					0.0
AE439	1					0.0
AE441	1					0.0
AE443	1					0.0
AE448	1					0.0
AE451	1					0.0
AE466	1					0.0
AE467	1					0.0
AE471	1					0.0
AE475	1					0.0
AE481	1					0.0
AE482	1					0.0
AE483	1					0.0
AE484	1					0.0
AE485	1					0.0
AE488	1					0.0
AE490	1					0.0
AE491	1					0.0
AE492	1					0.0
AE493	1					0.0
AE508	1					0.0
AE509	1					0.0
AE516	1					0.0
AE519	1					0.0
AE522	1					0.0
AE525	1					0.0
AE535	1					0.0
AE537	1					0.0
AE541	1					0.0
AE542	1					0.0
AE546	1					0.0
AE550	1					0.0
AE551	1					0.0
AE555	1					0.0
AE556	1					0.0
AE560	1					0.0
AE561	1					0.0
AE568	1					0.0
AE575	1					0.0
AE578	1					0.0
AE579	1					0.0
AE588	1					0.0
AE592	1					0.0
AE593	1					0.0
AE602	1					0.0
AE603	1					0.0
AE605	1					0.0
AE606	1					0.0
AE610	1					0.0
AE614	1					0.0
AE616	1					0.0
AE617	1					0.0
AE618	1					0.0
AE619	1					0.0
AE623	1					0.0
AE624	1					0.0
AE627	1					0.0
AE629	1					0.0
AE630	1					0.0
AE635	1					0.0
AE640	1					0.0
AE641	1					0.0
AE643	1					0.0
AE645	1					0.0
AE646	1					0.0
AE652	1					0.0
AE657	1					0.0
AE665	1					0.0
AE672	1					0.0
AE675	1					0.0
AE677	1					0.0
AE681	1					0.0
AE684	1					0.0
AE686	1					0.0
AE687	1					0.0
AE693	1					0.0
AE697	1					0.0
AE699	1					0.0
AE701	1					0.0
AE702	1					0.0
AE704	1					0.0
AE705	1					0.0
AE706	1					0.0
AE707	1					0.0
AE708	1					0.0
AE709	1					0.0
AE716	1					0.0
AE717	1					0.0
AE720	1					0.0
AE721	1					0.0
AE729	1					0.0
AE731	1					0.0
AE736	1					0.0
AE737	1					0.0
AE738	1					0.0
AE741	1					0.0
AE743	1					0.0
AE749	1					0.0
AE751	1					0.0
AE752	1					0.0
AE753	1					0.0
AE754	1					0.0
AE757	1					0.0
AE765	1					0.0
AE785	1					0.0
AE789	1					0.0
AE790	1					0.0
AE791	1					0.0
AE792	1					0.0
AE793	1					0.0
AE801	1					0.0
AE806	1					0.0
AE808	1					0.0
AE817	1					0.0
AE824	1					0.0
AE827	1					0.0
AE830	1					0.0
AE831	1					0.0
AE832	1					0.0
AE834	1					0.0
AE836	1					0.0
AE848	1					0.0
AE849	1					0.0
AE851	1					0.0
AE852	1					0.0
AE853	1					0.0
AE854	1					0.0
AE862	1					0.0
AE865	1					0.0
AE866	1					0.0
AE867	1					0.0
AE871	1					0.0
AE872	1					0.0
AE873	1					0.0
AE877	1					0.0
AE878	1					0.0
AE880	1					0.0
AE885	1					0.0
AE889	1					0.0
AE890	1					0.0
AE896	1					0.0
AE897	1					0.0
AE904	1					0.0
AE906	1					0.0
AE911	1					0.0
AE912	1					0.0
AE916	1					0.0
AE920	1					0.0
AE921	1					0.0
AE926	1					0.0
AE931	1					0.0
AE939	1					0.0
AE944	1					0.0
AE945	1					0.0
AE949	1					0.0
AE951	1					0.0
AE952	1					0.0
AE956	1					0.0
AE959	1					0.0
AE965	1					0.0
AE974	1					0.0
AE980	1					0.0
AE982	1					0.0
AE989	1					0.0
AF005	1					0.0
AF008	1					0.0
AF019	1					0.0
AF023	1					0.0
AF026	1					0.0
AF027	1					0.0
AF033	1					0.0
AF034	1					0.0
AF036	1					0.0
AF049	1					0.0
AF051	1					0.0
AF060	1					0.0
AF064	1					0.0
AF066	1					0.0
AF073	1					0.0
AF075	1					0.0
AF078	1					0.0
AF079	1					0.0
AF081	1					0.0
AF082	1					0.0
AF083	1					0.0
AF087	1					0.0
AF088	1					0.0
AF090	1					0.0
AF101	1					0.0
AF103	1					0.0
AF106	1					0.0
AF107	1					0.0
AF108	1					0.0
AF109	1					0.0
AF111	1					0.0
AF120	1					0.0
AF121	1					0.0
AF123	1					0.0
AF126	1					0.0
AF129	1					0.0
AF132	1					0.0
AF138	1					0.0
AF150	1					0.0
AF151	1					0.0
AF152	1					0.0
AF154	1					0.0
AF156	1					0.0
AF157	1					0.0
AF170	1					0.0
AF175	1					0.0
AF176	1					0.0
AF184	1					0.0
AF185	1					0.0
AF187	1					0.0
AF188	1					0.0
AF189	1					0.0
AF195	1					0.0
AF197	1					0.0
AF201	1					0.0
AF212	1					0.0
AF214	1					0.0
AF220	1					0.0
AF224	1					0.0
AF226	1					0.0
AF227	1					0.0
AF228	1					0.0
AF229	1					0.0
AF230	1					0.0
AF233	1					0.0
AF244	1					0.0
AF245	1					0.0
AF246	1					0.0
AF247	1					0.0
AF248	1					0.0
AF251	1					0.0
AF252	1					0.0
AF253	1					0.0
AF255	1					0.0
AF256	1					0.0
AF257	1					0.0
AF258	1					0.0
AF262	1					0.0
AF263	1					0.0
AF264	1					0.0
AF265	1					0.0
AF268	1					0.0
AF269	1					0.0
AF270	1					0.0
AF271	1					0.0
AF272	1					0.0
AF273	1					0.0
AF274	1					0.0
AF275	1					0.0
AF279	1					0.0
AF288	1					0.0
AF289	1					0.0
AF292	1					0.0
AF295	1					0.0
AF296	1					0.0
AF297	1					0.0
AF298	1					0.0
AF301	1					0.0
AF303	1					0.0
AF307	1					0.0
AF308	1					0.0
AF309	1					0.0
AF310	1					0.0
AF312	1					0.0
AF315	1					0.0
AF317	1					0.0
AF318	1					0.0
AF319	1					0.0
AF320	1					0.0
AF322	1					0.0
AF323	1					0.0
AF330	1					0.0
AF332	1					0.0
AF333	1					0.0
AF335	1					0.0
AF341	1					0.0
AF345	1					0.0
AF347	1					0.0
AF348	1					0.0
AF349	1					0.0
AF350	1					0.0
AF351	1					0.0
AF352	1					0.0
AF353	1					0.0
AF354	1					0.0
AF360	1					0.0
AF361	1					0.0
AF363	1					0.0
AF365	1					0.0
AF366	1					0.0
AF368	1					0.0
AF377	1					0.0
AF378	1					0.0
AF379	1					0.0
AF384	1					0.0
AF386	1					0.0
AF387	1					0.0
AF388	1					0.0
AF389	1					0.0
AF391	1					0.0
AF395	1					0.0
AF396	1					0.0
AF398	1					0.0
AF399	1					0.0
AF401	1					0.0
AF408	1					0.0
AF409	1					0.0
AF413	1					0.0
AF414	1					0.0
AF415	1					0.0
AF417	1					0.0
AF420	1					0.0
AF441	1					0.0
AF453	1					0.0
AF458	1					0.0
AF462	1					0.0
AF468	1					0.0
AF474	1					0.0
AF482	1					0.0
AF484	1					0.0
AF496	1					0.0
AF498	1					0.0
AF500	1					0.0
AF501	1					0.0
AF502	1					0.0
AF504	1					0.0
AF505	1					0.0
AF511	1					0.0
AF512	1					0.0
AF513	1					0.0
AF516	1					0.0
AF519	1					0.0
AF520	1					0.0
AF521	1					0.0
AF524	1					0.0
AF525	1					0.0
AF545	1					0.0
AF546	1					0.0
AF547	1					0.0
AF548	1					0.0
AF553	1					0.0
AF554	1					0.0
AF556	1					0.0
AF562	1					0.0
AF568	1					0.0
AF571	1					0.0
AF580	1					0.0
AF584	1					0.0
AF585	1					0.0
AF587	1					0.0
AF590	1					0.0
AF602	1					0.0
AF605	1					0.0
AF614	1					0.0
AF617	1					0.0
AF618	1					0.0
AF628	1					0.0
AF634	1					0.0
AF635	1					0.0
AF636	1					0.0
AF644	1					0.0
AF654	1					0.0
AF665	1					0.0
AF672	1					0.0
AF680	1					0.0
AF681	1					0.0
AF683	1					0.0
AF694	1					0.0
AF697	1					0.0
AF702	1					0.0
AF708	1					0.0
AF713	1					0.0
AF719	1					0.0
AF720	1					0.0
AF721	1					0.0
AF726	1					0.0
AF727	1					0.0
AF739	1					0.0
AF740	1					0.0
AF744	1					0.0
AF749	1					0.0
AF750	1					0.0
AF754	1					0.0
AF764	1					0.0
AF767	1					0.0
AF771	1					0.0
AF779	1					0.0
AF780	1					0.0
AF784	1					0.0
AF787	1					0.0
AF789	1					0.0
AF792	1					0.0
AF793	1					0.0
AF794	1					0.0
AF808	1					0.0
AF814	1					0.0
AF815	1					0.0
AF816	1					0.0
AF823	1					0.0
AF828	1					0.0
AF830	1					0.0
AF841	1					0.0
AF842	1					0.0
AF843	1					0.0
AF848	1					0.0
AF851	1					0.0
AF852	1					0.0
AF853	1					0.0
AF854	1					0.0
AF857	1					0.0
AF865	1					0.0
AF882	1					0.0
AF883	1					0.0
AF884	1					0.0
AF894	1					0.0
AF898	1					0.0
AF906	1					0.0
AF907	1					0.0
AF908	1					0.0
AF909	1					0.0
AF910	1					0.0
AF912	1					0.0
AF913	1					0.0
AF914	1					0.0
AF915	1					0.0
AF919	1					0.0
AF923	1					0.0
AF932	1					0.0
AF940	1					0.0
AF941	1					0.0
AF956	1					0.0
AF960	1					0.0
AF961	1					0.0
AF976	1					0.0
AF980	1					0.0
AF981	1					0.0
AF985	1					0.0
AF990	1					0.0
AF991	1					0.0
AF994	1					0.0
AF995	1					0.0
AG000	1					0.0
AG001	1					0.0
AG003	1					0.0
AG004	1					0.0
AG005	1					0.0
AG007	1					0.0
AG008	1					0.0
AG011	1					0.0
AG015	1					0.0
AG017	1					0.0
AG019	1					0.0
AG022	1					0.0
AG023	1					0.0
AG024	1					0.0
AG027	1					0.0
AG031	1					0.0
AG035	1					0.0
AG037	1					0.0
AG048	1					0.0
AG055	1					0.0
AG057	1					0.0
AG059	1					0.0
AG066	1					0.0
AG067	1					0.0
AG072	1					0.0
AG075	1					0.0
AG076	1					0.0
AG082	1					0.0
AG097	1					0.0
AG098	1					0.0
AG100	1					0.0
AG101	1					0.0
AG105	1					0.0
AG106	1					0.0
AG118	1					0.0
AG121	1					0.0
AG122	1					0.0
AG126	1					0.0
AG130	1					0.0
AG131	1					0.0
AG137	1					0.0
AG138	1					0.0
AG141	1					0.0
AG146	1					0.0
AG151	1					0.0
AG152	1					0.0
AG153	1					0.0
AG157	1					0.0
AG158	1					0.0
AG172	1					0.0
AG176	1					0.0
AG177	1					0.0
AG179	1					0.0
AG186	1					0.0
AG187	1					0.0
AG188	1					0.0
AG190	1					0.0
AG191	1					0.0
AG194	1					0.0
AG196	1					0.0
AG197	1					0.0
AG199	1					0.0
AG202	1					0.0
AG203	1					0.0
AG204	1					0.0
AG205	1					0.0
AG206	1					0.0
AG213	1					0.0
AG214	1					0.0
AG215	1					0.0
AG217	1					0.0
AG224	1					0.0
AG233	1					0.0
AG235	1					0.0
AG242	1					0.0
AG252	1					0.0
AG253	1					0.0
AG254	1					0.0
AG256	1					0.0
AG262	1					0.0
AG265	1					0.0
AG268	1					0.0
AG269	1					0.0
AG271	1					0.0
AG272	1					0.0
AG274	1					0.0
AG275	1					0.0
AG276	1					0.0
AG277	1					0.0
AG278	1					0.0
AG279	1					0.0
AG283	1					0.0
AG285	1					0.0
AG296	1					0.0
AG300	1					0.0
AG308	1					0.0
AG309	1					0.0
AG310	1					0.0
AG311	1					0.0
AG314	1					0.0
AG315	1					0.0
AG317	1					0.0
AG318	1					0.0
AG329	1					0.0
AG331	1					0.0
AG337	1					0.0
AG338	1					0.0
AG340	1					0.0
AG341	1					0.0
AG349	1					0.0
AG350	1					0.0
AG356	1					0.0
AG357	1					0.0
AG359	1					0.0
AG361	1					0.0
AG362	1					0.0
AG367	1					0.0
AG373	1					0.0
AG378	1					0.0
AG382	1					0.0
AG383	1					0.0
AG387	1					0.0
AG388	1					0.0
AG390	1					0.0
AG392	1					0.0
AG394	1					0.0
AG398	1					0.0
AG399	1					0.0
AG403	1					0.0
AG404	1					0.0
AG408	1					0.0
AG415	1					0.0
AG418	1					0.0
AG419	1					0.0
AG422	1					0.0
AG423	1					0.0
AG424	1					0.0
AG425	1					0.0
AG426	1					0.0
AG427	1					0.0
AG428	1					0.0
AG431	1					0.0
AG432	1					0.0
AG440	1					0.0
AG443	1					0.0
AG444	1					0.0
AG450	1					0.0
AG452	1					0.0
AG454	1					0.0
AG458	1					0.0
AG461	1					0.0
AG462	1					0.0
AG463	1					0.0
AG464	1					0.0
AG465	1					0.0
AG470	1					0.0
AG471	1					0.0
AG476	1					0.0
AG478	1					0.0
AG479	1					0.0
AG488	1					0.0
AG490	1					0.0
AG491	1					0.0
AG492	1					0.0
AG507	1					0.0
AG510	1					0.0
AG511	1					0.0
AG513	1					0.0
AG518	1					0.0
AG521	1					0.0
AG528	1					0.0
AG529	1					0.0
AG530	1					0.0
AG544	1					0.0
AG554	1					0.0
AG555	1					0.0
AG558	1					0.0
AG559	1					0.0
AG571	1					0.0
AG572	1					0.0
AG573	1					0.0
AG578	1					0.0
AG580	1					0.0
AG584	1					0.0
AG586	1					0.0
AG587	1					0.0
AG592	1					0.0
AG599	1					0.0
AG602	1					0.0
AG605	1					0.0
AG606	1					0.0
AG607	1					0.0
AG609	1					0.0
AG613	1					0.0
AG614	1					0.0
AG623	1					0.0
AG626	1					0.0
AG627	1					0.0
AG628	1					0.0
AG629	1					0.0
AG633	1					0.0
AG634	1					0.0
AG636	1					0.0
AG640	1					0.0
AG642	1					0.0
AG645	1					0.0
AG646	1					0.0
AG647	1					0.0
AG650	1					0.0
AG651	1					0.0
AG660	1					0.0
AG670	1					0.0
AG671	1					0.0
AG672	1					0.0
AG673	1					0.0
AG675	1					0.0
AG679	1					0.0
AG680	1					0.0
AG682	1					0.0
AG686	1					0.0
AG695	1					0.0
AG703	1					0.0
AG706	1					0.0
AG707	1					0.0
AG709	1					0.0
AG710	1					0.0
AG713	1					0.0
AG717	1					0.0
AG720	1					0.0
AG722	1					0.0
AG723	1					0.0
AG727	1					0.0
AG737	1					0.0
AG744	1					0.0
AG746	1					0.0
AG748	1					0.0
AG749	1					0.0
AG769	1					0.0
AG770	1					0.0
AG772	1					0.0
AG773	1					0.0
AG775	1					0.0
AG782	1					0.0
AG784	1					0.0
AG810	1					0.0
AG812	1					0.0
AG823	1					0.0
AG825	1					0.0
AG826	1					0.0
AG837	1					0.0
AG838	1					0.0
AG841	1					0.0
AG850	1					0.0
AG851	1					0.0
AG862	1					0.0
AG868	1					0.0
AG872	1					0.0
AG873	1					0.0
AG874	1					0.0
AG883	1					0.0
AG886	1					0.0
AG888	1					0.0
AG889	1					0.0
AG892	1					0.0
AG909	1					0.0
AG910	1					0.0
AG934	1					0.0
AG936	1					0.0
AG942	1					0.0
AG953	1					0.0
AG964	1					0.0
AG966	1					0.0
AG967	1					0.0
AG970	1					0.0
AG972	1					0.0
AG978	1					0.0
AG983	1					0.0
AG991	1					0.0
AG997	1					0.0
AH008	1					0.0
AH014	1					0.0
AH019	1					0.0
AH021	1					0.0
AH023	1					0.0
AH024	1					0.0
AH032	1					0.0
AH033	1					0.0
AH041	1					0.0
AH053	1					0.0
AH061	1					0.0
AH062	1					0.0
AH071	1					0.0
AH072	1					0.0
AH077	1					0.0
AH080	1					0.0
AH088	1					0.0
AH111	1					0.0
AH118	1					0.0
AH119	1					0.0
AH121	1					0.0
AH122	1					0.0
AH125	1					0.0
AH131	1					0.0
AH133	1					0.0
AH138	1					0.0
AH145	1					0.0
AH166	1					0.0
AH174	1					0.0
AH178	1					0.0
AH186	1					0.0
AH187	1					0.0
AH193	1					0.0
AH195	1					0.0
AH199	1					0.0
AH206	1					0.0
AH209	1					0.0
AH214	1					0.0
AH216	1					0.0
AH220	1					0.0
AH230	1					0.0
AH238	1					0.0
AH242	1					0.0
AH258	1					0.0
AH261	1					0.0
AH267	1					0.0
AH268	1					0.0
AH270	1					0.0
AH271	1					0.0
AH290	1					0.0
AH299	1					0.0
AH302	1					0.0
AH306	1					0.0
AH310	1					0.0
AH311	1					0.0
AH316	1					0.0
AH321	1					0.0
AH322	1					0.0
AH339	1					0.0
AH346	1					0.0
AH347	1					0.0
AH352	1					0.0
AH362	1					0.0
AH363	1					0.0
AH384	1					0.0
AH390	1					0.0
AH395	1					0.0
AH397	1					0.0
AH398	1					0.0
AH401	1					0.0
AH402	1					0.0
AH404	1					0.0
AH410	1					0.0
AH412	1					0.0
AH420	1					0.0
AH428	1					0.0
AH435	1					0.0
AH438	1					0.0
AH440	1					0.0
AH456	1					0.0
AH458	1					0.0
AH462	1					0.0
AH469	1					0.0
AH470	1					0.0
AH479	1					0.0
AH483	1					0.0
AH492	1					0.0
AH493	1					0.0
AH494	1					0.0
AH495	1					0.0
AH511	1					0.0
AH512	1					0.0
