model_name	feature_name	feature_rank	roc_auc_without_feature	roc_auc_drop_vs_full	average_precision_without_feature	brier_without_feature	n_backbones
support_synergy_priority	metadata_support_depth_norm	16	0.883599002528924	0.053803519345828	0.8302090167738669	0.1633844880880476	989
support_synergy_priority	ecology_context_diversity_norm	12	0.9156643492206156	0.0217381726541364	0.8661219973119829	0.1337578427397841	989
support_synergy_priority	H_external_host_range_support	13	0.929198939085534	0.008203582789218	0.8838254272947031	0.1216613403674914	989
support_synergy_priority	amr_support_norm	15	0.9349484963035412	0.0024540255712107	0.8928625727815714	0.1156872094890153	989
support_synergy_priority	clinical_A_synergy_norm	21	0.9373452465921208	5.7275282631330526e-05	0.896677916379156	0.113764133203976	989
support_synergy_priority	A_eff_norm	3	0.937354058174064	4.8463700688006206e-05	0.8967361122070628	0.1138964233772249	989
support_synergy_priority	__full_model__	0	0.937402521874752	0.0	0.896670007911643	0.1137182001286246	989
support_synergy_priority	assignment_confidence_norm	6	0.9374113334566956	-8.811581943435343e-06	0.8966924450911786	0.1137182089127158	989
support_synergy_priority	pmlst_presence_fraction_train	14	0.9374157392476672	-1.3217372915041992e-05	0.8966980987282593	0.1137171285785096	989
support_synergy_priority	pmlst_coherence_norm	11	0.9374245508296104	-2.2028954858366312e-05	0.8967079110268993	0.1137180169376252	989
support_synergy_priority	external_t_synergy_norm	18	0.9374994492761284	-9.69274013764565e-05	0.8973723755096745	0.1136729262479111	989
support_synergy_priority	mash_neighbor_distance_train_norm	7	0.9375302898129302	-0.0001277679381781	0.8974326569449331	0.1136046794472201	989
support_synergy_priority	T_eff_norm	1	0.937569941931675	-0.0001674200569229	0.896823918530651	0.1136547284961377	989
support_synergy_priority	replicon_architecture_norm	8	0.9376800867059664	-0.0002775648312143	0.8968859562204206	0.1134423949544112	989
support_synergy_priority	T_A_synergy_norm	19	0.9376977098698528	-0.0002951879951008	0.8971036493646428	0.1136041724025519	989
support_synergy_priority	H_external_host_range_norm	17	0.9377814198983144	-0.0003788980235622	0.8972688644087222	0.1134738743436727	989
support_synergy_priority	clinical_context_fraction_norm	9	0.9378034488531726	-0.0004009269784205	0.8969807905659146	0.1132942900937952	989
support_synergy_priority	coherence_score	4	0.9378254778080308	-0.0004229559332787	0.8971394956593147	0.113327765617836	989
support_synergy_priority	H_A_synergy_norm	20	0.9380722021024436	-0.0006696802276914	0.8976520943681531	0.1131731735606483	989
support_synergy_priority	backbone_purity_norm	5	0.938217593204508	-0.000815071329756	0.8977215907037894	0.1132044379607474	989
support_synergy_priority	H_specialization_norm	2	0.9383101148149128	-0.0009075929401607	0.8978913501450251	0.11295161649836	989
support_synergy_priority	A_recurrence_norm	10	0.9383894190524024	-0.0009868971776504	0.8972789286531613	0.1135423235959969	989
