pathogen_dataset	priority_group	n_backbones	n_with_any_support	mean_matching_records	median_matching_records	mean_matching_fraction	median_matching_fraction	mean_matching_genes
combined	high	247	108	17109.655870445345	0.0	0.15503656078850586	0.0	1.1538461538461537
combined	low	247	9	1051.3481781376518	0.0	0.014487586894274502	0.0	0.06882591093117409
