backbone_id	n_train_macro_regions	n_test_macro_regions	n_new_macro_regions	new_macro_regions	macro_region_jump_label	n_train_host_families	n_test_host_families	n_new_host_families	new_host_families	host_family_jump_label	n_train_host_orders	n_test_host_orders	n_new_host_orders	new_host_orders	host_order_jump_label	weighted_new_country_burden	rarity_weighted_new_country_burden	n_new_countries_recomputed
AA188	0	1	1	Europe		0	1	1	Enterobacteriaceae		0	1	1	Enterobacterales		0.2962109172930415	1.9694768458364469	2
AA673	1	4	4	Africa,Asia,Europe,North America	1.0	1	1	0		0.0	1	1	0		0.0	0.2604142997075749	4.529602796739389	5
AD885	0	2	2	Asia,Europe		1	3	2	Geminicoccaceae,Phyllobacteriaceae		1	2	1	Geminicoccales		0.0961396379736791	1.724896096943394	2
AA615	0	3	3	Asia,Europe,North America		1	1	0			1	1	0			0.3161021990865782	3.498493171570896	4
AF201	0	2	2	Europe,Latin America and Caribbean		1	1	0			1	1	0			0.3947937940388298	2.8963791629013467	3
AA609	1	2	1	North America	1.0	1	1	0		0.0	1	1	0		0.0	1.498770144834922	6.731561903348903	7
AA668	1	7	6	Africa,Asia,Europe,Latin America and Caribbean,Middle East and West Asia,Oceania	1.0	1	1	0		0.0	1	1	0		0.0	1.3142309489410733	10.454337555795345	11
AA551	1	5	4	Asia,Latin America and Caribbean,Middle East and West Asia,North America	1.0	1	4	3	Aeromonadaceae,Morganellaceae,Yersiniaceae	1.0	1	2	1	Aeromonadales	1.0	2.9358259388107757	16.386865694629126	17
AD488	1	5	4	Europe,Middle East and West Asia,North America,Oceania	1.0	1	3	2	Erwiniaceae,Morganellaceae	1.0	1	1	0		0.0	1.4025005959235728	8.443018891750775	9
AD306	0	4	4	Asia,Europe,North America,Oceania		1	3	2	Enterobacteriaceae,Hafniaceae		1	1	0			0.4144320736789376	8.052100520305308	9
AB187	1	5	4	Asia,Europe,Latin America and Caribbean,Middle East and West Asia	1.0	1	1	0		0.0	1	1	0		0.0	1.907668571956737	14.197942215793995	15
AE607	0	1	1	Europe		0	2	2	Enterobacteriaceae,Pectobacteriaceae		0	1	1	Enterobacterales		0.0242821465589316	0.8175755620092503	1
AB071	1	4	3	Asia,Europe,Oceania	1.0	1	1	0		0.0	1	1	0		0.0	0.1106396492883589	2.739541638010472	3
AE234	0	5	5	Asia,Europe,Latin America and Caribbean,North America,Oceania		0	1	1	Enterobacteriaceae		0	1	1	Enterobacterales		0.9800454320415232	8.379134632291947	9
AD464	0	4	4	Asia,Europe,North America,Oceania		0	3	3	Enterobacteriaceae,Pseudomonadaceae,Yersiniaceae		0	2	2	Enterobacterales,Pseudomonadales		0.9091721895464108	10.133762431167629	11
AB445	0	5	5	Africa,Asia,Europe,North America,Oceania		1	2	1	Hafniaceae		1	1	0			0.7124782605683394	10.145433839916706	11
AD338	0	5	5	Africa,Asia,Europe,North America,Oceania		1	2	1	Yersiniaceae		1	1	0			0.9218280723300089	11.213681889985551	12
AD484	0	3	3	Asia,Europe,Latin America and Caribbean		1	1	0			1	1	0			0.2713437278405913	2.755170081130658	3
AC978	1	5	4	Africa,Europe,North America,Oceania	1.0	1	2	1	Pasteurellaceae	1.0	1	2	1	Pasteurellales	1.0	1.4065180598576963	13.378556837264965	14
AA327	0	4	4	Asia,Europe,Latin America and Caribbean,Oceania		1	1	0			1	1	0			1.192458880049736	10.405927856095596	11
AA106	0	5	5	Africa,Asia,Europe,North America,Oceania		0	1	1	Enterobacteriaceae		0	1	1	Enterobacterales		1.300767503707545	12.243429290060378	13
AA044	0	0	0			0	1	1	Enterobacteriaceae		0	1	1	Enterobacterales		0.0	0.0	0
AA473	2	5	3	Asia,Europe,Latin America and Caribbean	1.0	1	1	0		0.0	1	1	0		0.0	1.991126615872551	12.264848467987427	13
AA626	1	2	2	Asia,Europe	1.0	1	1	1	Enterobacteriaceae	1.0	1	1	1	Enterobacterales	1.0	0.6206191166592724	5.698208883837305	6
AA677	0	3	3	Asia,Europe,North America		0	1	1	Enterobacteriaceae		0	1	1	Enterobacterales		0.2108854987705639	3.392719267751437	4
AH156	0	3	3	Asia,Europe,Oceania		0	2	2	Enterobacteriaceae,Yersiniaceae		0	1	1	Enterobacterales		0.71502747581695	6.709405608754057	7
AC228	1	3	2	Asia,Europe	1.0	1	3	2	Enterobacteriaceae,Yersiniaceae	1.0	1	2	1	Enterobacterales	1.0	0.1736139560242352	3.4921957631399776	4
AF572	0	2	2	Asia,North America		0	1	1	Enterobacteriaceae		0	1	1	Enterobacterales		0.1817614047310685	3.458885050834561	4
AB447	0	4	4	Asia,Europe,Latin America and Caribbean,North America		0	1	1	Enterobacteriaceae		0	1	1	Enterobacterales		0.3627478234321278	4.439209723675958	5
AA772	0	4	4	Asia,Europe,Latin America and Caribbean,North America		0	1	1	Staphylococcaceae		0	1	1	Bacillales		0.365933490346687	3.775537525620158	4
AG635	0	1	1	Latin America and Caribbean		0	1	1	Staphylococcaceae		0	1	1	Bacillales		0.1825741858350553	0.988950276243094	1
AB659	0	0	0			1	1	1	Metamycoplasmataceae		1	1	1	Mycoplasmoidales		0.0	0.0	0
AG926	0	1	1	North America		0	1	1	Synechococcaceae		0	1	1	Synechococcales		0.0418121005003545	0.7893186003683241	1
AB037	0	3	3	Asia,Europe,North America		0	1	1	Enterobacteriaceae		0	1	1	Enterobacterales		0.2580551710395332	4.271719950035942	5
AF581	0	1	1	Europe		0	1	1	Streptococcaceae		0	1	1	Lactobacillales		0.2041241452319315	0.9885985748218528	1
AA214	0	1	1	Asia		0	2	2	Enterococcaceae,Streptococcaceae		0	1	1	Lactobacillales		0.043355498476206	0.9555109550091988	1
AA215	0	1	1	Europe		1	1	0			1	1	0			0.0808452083454443	0.9835430784123912	1
AA208	0	1	1	Europe		1	2	1	Enterococcaceae		1	1	0			0.7032330597724243	4.944927587297446	5
AC751	1	2	1	North America	1.0	1	1	0		0.0	1	1	0		0.0	0.0751498670929162	1.771349196762894	2
AC755	0	2	2	Asia,Europe		1	2	1	Enterococcaceae		1	1	0			0.2618398564380554	3.629011309568052	4
AE050	1	4	3	Asia,Europe,Oceania	1.0	1	2	1	Metamycoplasmataceae	1.0	1	2	1	Mycoplasmoidales	1.0	0.8185237730989621	3.7352966604786104	4
AA018	1	6	5	Africa,Asia,Europe,Middle East and West Asia,Oceania	1.0	1	1	0		0.0	1	1	0		0.0	3.4984195678166934	20.336555124265423	21
AA964	1	6	5	Asia,Europe,Latin America and Caribbean,North America,Oceania	1.0	1	1	0		0.0	1	1	0		0.0	2.10081250554194	12.020349201224423	13
AC206	0	3	3	Asia,Europe,North America		0	2	2	Enterobacteriaceae,Erwiniaceae		0	1	1	Enterobacterales		0.4231613895561628	6.158038634842967	7
AA469	0	3	3	Asia,Europe,North America		0	4	4	Aeromonadaceae,Burkholderiaceae,Comamonadaceae,Yersiniaceae		0	3	3	Aeromonadales,Burkholderiales,Enterobacterales		0.4823540008154289	4.678517746164115	5
AF422	0	1	1	Asia		0	2	2	Comamonadaceae,Rhodocyclaceae		0	2	2	Burkholderiales,Rhodocyclales		0.0161395322476266	0.6789596922562302	1
AB443	1	5	4	Africa,Asia,Europe,Oceania	1.0	1	2	1	Enterococcaceae	1.0	1	2	1	Lactobacillales	1.0	1.1732184282580267	13.265307865322963	14
AB595	2	6	4	Africa,Europe,Latin America and Caribbean,Oceania	1.0	1	4	3	Alcaligenaceae,Bacillaceae,Moraxellaceae	1.0	1	4	3	Bacillales,Burkholderiales,Moraxellales	1.0	3.904735062807405	23.444386533105163	24
AD087	0	1	1	North America		1	1	0			1	1	0			0.078086880944303	0.9563249001331556	1
AA578	0	3	3	Asia,Europe,North America		1	1	0			1	1	0			0.5563306371639353	8.19928730920382	9
AE761	0	3	3	Asia,Europe,North America		0	1	1	Enterobacteriaceae		0	1	1	Enterobacterales		0.3469022499191218	5.469235044525309	6
AC203	1	5	4	Africa,Europe,North America,Oceania	1.0	1	1	0		0.0	1	1	0		0.0	1.215181733794234	5.685823675341535	6
AE849	1	1	1	Asia	1.0	1	2	1	Lactobacillaceae	1.0	1	2	1	Lactobacillales	1.0	0.3176508768253903	1.677916048992473	2
AD415	0	1	1	Asia		0	1	1	Enterococcaceae		0	1	1	Lactobacillales		0.0794719123170536	1.7533737432948353	2
AB125	0	5	5	Asia,Europe,Latin America and Caribbean,North America,Oceania		0	2	2	Flammeovirgaceae,Staphylococcaceae		0	2	2	Bacillales,Cytophagales		0.4255324237497714	5.437737522911276	6
AE822	0	2	2	Asia,Europe		0	3	3	Bacillaceae,Enterococcaceae,Staphylococcaceae		0	2	2	Bacillales,Lactobacillales		0.3370627037062568	3.729879753849501	4
AA105	0	4	4	Asia,Europe,North America,Oceania		0	1	1	Enterobacteriaceae		0	1	1	Enterobacterales		0.2287981817067262	3.6298482020842866	4
AA364	0	5	5	Asia,Europe,Latin America and Caribbean,North America,Oceania		0	5	5	Aeromonadaceae,Enterobacteriaceae,Morganellaceae,Pseudomonadaceae,Yersiniaceae		0	3	3	Aeromonadales,Enterobacterales,Pseudomonadales		1.2105336113886864	9.248327867845894	10
AA035	1	6	5	Africa,Asia,Europe,Latin America and Caribbean,Oceania	1.0	1	2	1	Yersiniaceae	1.0	1	1	0		0.0	1.9348319152322209	15.028861106318612	16
AB951	1	5	4	Africa,Asia,Europe,Latin America and Caribbean	1.0	4	5	3	Clostridiaceae,Lysobacteraceae,Weeksellaceae	1.0	3	5	3	Eubacteriales,Flavobacteriales,Lysobacterales	1.0	0.6262845863842897	5.7049846464521465	6
AB063	0	3	3	Asia,Europe,North America		0	1	1	Enterobacteriaceae		0	1	1	Enterobacterales		0.1984073557835885	3.3889722084039473	4
AB112	0	5	5	Africa,Asia,Europe,Latin America and Caribbean,North America		0	1	1	Enterobacteriaceae		0	1	1	Enterobacterales		1.2609831070263748	9.268182524117416	10
AA104	0	6	6	Africa,Asia,Europe,Latin America and Caribbean,North America,Oceania		0	2	2	Enterobacteriaceae,Yersiniaceae		0	1	1	Enterobacterales		1.1027532286394364	13.089587342356792	14
AB043	0	5	5	Africa,Asia,Europe,North America,Oceania		0	1	1	Enterobacteriaceae		0	1	1	Enterobacterales		0.9769466530096398	11.072995264290205	12
AA439	0	4	4	Africa,Asia,Europe,North America		0	1	1	Enterobacteriaceae		0	1	1	Enterobacterales		0.7148463099078723	9.10251499743429	10
AG061	0	2	2	Asia,Europe		0	1	1	Streptomycetaceae		0	1	1	Kitasatosporales		1.019216561050602	1.7428076922105125	2
AC223	0	2	2	Asia,Europe		0	1	1	Streptomycetaceae		0	1	1	Kitasatosporales		0.4510842934866728	2.650624607858629	3
AA184	1	4	3	Asia,Middle East and West Asia,North America	1.0	1	2	1	Yersiniaceae	1.0	1	1	0		0.0	0.7910672876267163	3.6641487544477296	4
AA671	0	4	4	Asia,Europe,Latin America and Caribbean,North America		1	1	0			1	1	0			0.7504845283828796	9.292494151727302	10
AG093	0	1	1	Asia		0	1	1	Propionibacteriaceae		0	1	1	Propionibacteriales		0.0424094464839985	0.9472485768500948	1
AE466	0	1	1	Asia		1	1	0			1	1	0			0.023014365447458	0.7719531344365261	1
AB034	0	2	2	Europe,North America		0	1	1	Staphylococcaceae		0	1	1	Bacillales		0.2178499915611602	1.9641465201871375	2
AB869	0	3	3	Asia,Europe,Latin America and Caribbean		1	1	0			1	1	0			0.9518494773287536	3.5862613062816875	4
AB922	0	3	3	Asia,Europe,North America		0	5	5	Enterococcaceae,Lactobacillaceae,Morganellaceae,Staphylococcaceae,Streptococcaceae		0	3	3	Bacillales,Enterobacterales,Lactobacillales		0.3854637396005693	4.590016564664191	5
