feature_group	feature_value	n_backbones_with_feature	positive_with_feature	negative_with_feature	positive_without_feature	negative_without_feature	odds_ratio	p_value	prevalence_with_feature	prevalence_without_feature	prevalence_delta	positive_prevalence	q_value	enriched_in_positive
primary_replicon	IncFII	12	9	3	353	624	5.303116147308782	0.011612343155330614	0.75	0.36131013306038895	0.38868986693961105	0.3660262891809909	0.01751692442075296	True
dominant_genus	Anabaena	10	0	10	362	617	0.0	0.016595295297523384	0.0	0.36976506639427986	-0.36976506639427986	0.3660262891809909	0.02461635469132635	False
primary_replicon	IncP	10	7	3	355	624	4.101408450704225	0.0430424148561886	0.7	0.3626149131767109	0.33738508682328905	0.3660262891809909	0.06279958888853747	True
amr_class	DIAMINOPYRIMIDINE	14	9	5	353	622	3.171671388101983	0.04673991200594885	0.6428571428571429	0.36205128205128206	0.28080586080586084	0.3660262891809909	0.06709438981499108	True
dominant_genus	Corynebacterium	11	1	10	361	617	0.17091412742382273	0.06395432805360057	0.09090909090909091	0.36912065439672803	-0.2782115634876371	0.3660262891809909	0.0903481777265151	False
dominant_genus	Rhizobium	15	9	6	353	621	2.638810198300283	0.1012290497618117	0.6	0.3624229979466119	0.23757700205338805	0.3660262891809909	0.1407716473250194	True
amr_class	LINCOSAMIDE	36	18	18	344	609	1.7703488372093024	0.11174683124909912	0.5	0.36096537250786986	0.13903462749213014	0.3660262891809909	0.15300719971030494	True
dominant_genus	Enterococcus	16	9	7	353	620	2.2581950627276406	0.11849383836085134	0.5625	0.36279547790339156	0.19970452209660844	0.3660262891809909	0.1574022628972503	True
dominant_mpf_type	MPF_T	172	72	100	290	527	1.3084137931034483	0.11787340404716722	0.4186046511627907	0.35495716034271724	0.06364749082007348	0.3660262891809909	0.1574022628972503	True
amr_class	STREPTOGRAMIN B	25	13	12	349	615	1.909025787965616	0.13951304706792406	0.52	0.3620331950207469	0.15796680497925314	0.3660262891809909	0.18259795866243	True
dominant_genus	Streptomyces	13	2	11	360	616	0.3111111111111111	0.14930571883095894	0.15384615384615385	0.36885245901639346	-0.2150063051702396	0.3660262891809909	0.19258273878196153	False
amr_class	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	19	10	9	352	618	1.9507575757575757	0.15461176249025382	0.5263157894736842	0.3628865979381443	0.16342919153553986	0.3660262891809909	0.1938091107272196	True
dominant_genus	Staphylococcus	69	31	38	331	589	1.4516616314199395	0.15416390905120558	0.4492753623188406	0.35978260869565215	0.08949275362318843	0.3660262891809909	0.1938091107272196	True
dominant_genus	Pseudomonas	20	4	16	358	611	0.4266759776536313	0.15957852317022017	0.2	0.36945304437564497	-0.16945304437564496	0.3660262891809909	0.19725678558541104	False
amr_class	STREPTOGRAMIN A	29	14	15	348	612	1.6413793103448275	0.23963382568135694	0.4827586206896552	0.3625	0.1202586206896552	0.3660262891809909	0.2921563080224763	True
dominant_amr_gene_family	AADA	13	7	6	355	621	2.0408450704225354	0.2470657489538437	0.5384615384615384	0.3637295081967213	0.17473203026481715	0.3660262891809909	0.29714664401205526	True
