backbone_id	n_new_countries_recomputed	time_to_first_new_country_years	time_to_third_new_country_years	spread_severity_bin	weighted_new_country_burden	rarity_weighted_new_country_burden	exposure_years	new_country_rate_per_year	weighted_new_country_rate_per_year	rarity_weighted_new_country_rate_per_year	first_event_speed_score	third_event_speed_score	fast_or_broad_expansion_label
AA063	6	2.0	4.0	3.0	1.5453342868757904	5.602571001977522	8	0.75	0.1931667858594738	0.7003213752471903	0.3333333333333333	0.2	
AA064	0				0.0	0.0	8	0.0	0.0	0.0	0.0	0.0	
AA065	0				0.0	0.0	8	0.0	0.0	0.0	0.0	0.0	
AA066	2	3.0			0.3297822265752412	1.983314992758309	8	0.25	0.0412227783219051	0.2479143740947886	0.25	0.0	
AA067	1	7.0			0.2886751345948129	0.9989964877069744	8	0.125	0.0360843918243516	0.1248745609633718	0.125	0.0	
AA068	1	7.0			0.043355498476206	0.9555109550091988	8	0.125	0.0054194373095257	0.1194388693761498	0.125	0.0	
AA069	3	1.0	8.0		0.2853747273623485	2.887217170115719	8	0.375	0.0356718409202935	0.3609021462644649	0.5	0.1111111111111111	
AA070	3	2.0	7.0		0.2228326615099608	2.7224821470886464	8	0.375	0.0278540826887451	0.3403102683860808	0.3333333333333333	0.125	
AA071	1	4.0			0.0368354734341878	0.803728362183755	8	0.125	0.0046044341792734	0.1004660452729693	0.2	0.0	
AA072	2	4.0			0.1339640596699143	1.7948640035953622	8	0.25	0.0167455074587392	0.2243580004494202	0.2	0.0	
AA074	1	6.0		1.0	0.043314808182421	0.93562024399082	8	0.125	0.0054143510228026	0.1169525304988525	0.1428571428571428	0.0	
AA075	2	1.0			0.7456539484111324	1.9424522584432076	8	0.25	0.0932067435513915	0.2428065323054009	0.5	0.0	
AA076	1	6.0			0.043314808182421	0.93562024399082	8	0.125	0.0054143510228026	0.1169525304988525	0.1428571428571428	0.0	
AA077	0				0.0	0.0	8	0.0	0.0	0.0	0.0	0.0	
AA078	1	8.0			0.0233380014004668	0.8258064516129032	8	0.125	0.0029172501750583	0.1032258064516129	0.1111111111111111	0.0	
AA079	8	2.0	5.0	3.0	0.8104713070009936	7.636283557226271	8	1.0	0.1013089133751242	0.954535444653284	0.3333333333333333	0.1666666666666666	
AA080	1	3.0			0.0390137157320435	0.7580110497237569	8	0.125	0.0048767144665054	0.0947513812154696	0.25	0.0	
AA081	4	3.0	6.0		0.6647579038919521	3.739444398767157	8	0.5	0.083094737986494	0.4674305498458946	0.25	0.1428571428571428	
AA082	0			0.0	0.0	0.0	8	0.0	0.0	0.0	0.0	0.0	
AA083	6	6.0	7.0	3.0	0.3791037359636478	5.582673163235975	8	0.75	0.0473879669954559	0.6978341454044968	0.1428571428571428	0.125	
AA084	1	6.0		1.0	0.0430331482911935	0.9347747312477352	8	0.125	0.0053791435363991	0.1168468414059669	0.1428571428571428	0.0	
AA085	1	3.0			0.1825741858350553	0.988950276243094	8	0.125	0.0228217732293819	0.1236187845303867	0.25	0.0	
AA086	2	6.0		1.0	0.1618728437680203	1.9232759527603849	8	0.25	0.0202341054710025	0.240409494095048	0.1428571428571428	0.0	
AA087	1	3.0			0.1825741858350553	0.988950276243094	8	0.125	0.0228217732293819	0.1236187845303867	0.25	0.0	
AA088	2	6.0			0.0800341579068361	1.8735421278901003	8	0.25	0.0100042697383545	0.2341927659862625	0.1428571428571428	0.0	
AA089	2	7.0		1.0	0.1863425927551089	1.9596320677081995	8	0.25	0.0232928240943886	0.2449540084635249	0.125	0.0	
AA090	1	8.0			0.0233380014004668	0.8258064516129032	8	0.125	0.0029172501750583	0.1032258064516129	0.1111111111111111	0.0	
AA092	2	6.0		1.0	0.1646775974309244	1.8164216498018697	8	0.25	0.0205846996788655	0.2270527062252336	0.1428571428571428	0.0	
