permutation_index	selection_scope	n_models_in_scope	selected_model_name	selected_null_roc_auc	selected_null_average_precision
80	official_model_surface	3	bio_clean_priority	0.5144862407147955	0.39091803409636616
81	official_model_surface	3	bio_clean_priority	0.5173830482786574	0.38240714908238094
82	official_model_surface	3	bio_clean_priority	0.5118714037731193	0.3717981050120907
83	official_model_surface	3	bio_clean_priority	0.5086816111096425	0.37972646180002817
84	official_model_surface	3	phylo_support_fusion_priority	0.511076158502736	0.3767403044337863
85	official_model_surface	3	baseline_both	0.4815595618881458	0.3461542011515138
86	official_model_surface	3	phylo_support_fusion_priority	0.4915540987073409	0.3614696814088285
87	official_model_surface	3	phylo_support_fusion_priority	0.5173676280102567	0.39674789773431546
88	official_model_surface	3	baseline_both	0.5050027756483122	0.38150913573513245
89	official_model_surface	3	phylo_support_fusion_priority	0.5169887299866945	0.38008259909270575
90	official_model_surface	3	bio_clean_priority	0.47732119097341547	0.34487370125106337
91	official_model_surface	3	phylo_support_fusion_priority	0.5071461929560214	0.3694250834085966
92	official_model_surface	3	phylo_support_fusion_priority	0.48152651845585837	0.3657833479142955
93	official_model_surface	3	baseline_both	0.4967507291584058	0.3544270450630352
94	official_model_surface	3	phylo_support_fusion_priority	0.5343827927427811	0.40501860239088383
95	official_model_surface	3	phylo_support_fusion_priority	0.5019737943553007	0.36761711763761207
96	official_model_surface	3	baseline_both	0.5005353036030559	0.37715115649392583
97	official_model_surface	3	bio_clean_priority	0.4766449020592667	0.3547625560617749
98	official_model_surface	3	baseline_both	0.4965436569827381	0.35442887808361506
99	official_model_surface	3	phylo_support_fusion_priority	0.5171737732075039	0.3870650788077832
100	official_model_surface	3	bio_clean_priority	0.50243860530281	0.3797129765906995
101	official_model_surface	3	bio_clean_priority	0.5070338452862443	0.37483324638881227
102	official_model_surface	3	bio_clean_priority	0.5094680447980826	0.3708784543258218
103	official_model_surface	3	phylo_support_fusion_priority	0.5225003744922326	0.3696788471600768
104	official_model_surface	3	bio_clean_priority	0.49041079595019693	0.3504412534601311
105	official_model_surface	3	bio_clean_priority	0.49548406425405556	0.35826675375221084
106	official_model_surface	3	bio_clean_priority	0.4945169931357777	0.36566270569515175
107	official_model_surface	3	phylo_support_fusion_priority	0.5062430058068325	0.381577373232483
108	official_model_surface	3	baseline_both	0.5025509529725871	0.36521850609955253
109	official_model_surface	3	bio_clean_priority	0.5126710548344744	0.3677490177897464
110	official_model_surface	3	bio_clean_priority	0.4839342832218668	0.3547733783182397
111	official_model_surface	3	baseline_both	0.5124023015852036	0.37856104442054406
112	official_model_surface	3	phylo_support_fusion_priority	0.49007375294086547	0.35808534530760144
113	official_model_surface	3	phylo_support_fusion_priority	0.5170305850009252	0.38043977209345575
