pathogen_dataset	backbone_id	priority_group	priority_index	selection_score	selection_score_column	dominant_species	dominant_genus	top_amr_genes	top_amr_classes	pd_species_record_count	pd_matching_record_count	pd_matching_fraction	pd_matching_gene_count	pd_matched_genes	pd_top_locations	pd_any_support
combined	AA440	high	0.8429681511790125	0.9838122825021876	primary_model_oof_prediction	Klebsiella_pneumoniae	Klebsiella	mcr-8.1,mcr-8.2,blaTEM-1,floR,tet(A)	COLISTIN,BETA-LACTAM,AMINOGLYCOSIDE,TETRACYCLINE,PHENICOL	113468	70104	0.6178305777840448	5	blaTEM-1,floR,mcr-8.1,mcr-8.2,tet(A)	USA:7870,China:3143,China: Beijing:1934	True
combined	AA183	high	0.7364489509980876	0.9913882000637526	primary_model_oof_prediction	Escherichia_coli	Escherichia	lngA,blaTEM-1,merC,merT,qacEdelta1	SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM,BETA-LACTAM,MERCURY	259754	69905	0.2691200135512831	1	blaTEM-1	USA:5137,United Kingdom: United Kingdom:4854,France:2253	True
combined	AA143	high	0.611509932051809	0.9236040945432002	primary_model_oof_prediction	Escherichia_coli	Escherichia	blaTEM-1	BETA-LACTAM	259754	69905	0.2691200135512831	1	blaTEM-1	USA:5137,United Kingdom: United Kingdom:4854,France:2253	True
combined	AA378	high	0.4255054467139824	0.9909631286174252	primary_model_oof_prediction	Escherichia_coli	Escherichia	merT,merC,qacEdelta1,sul1,mcr-1.1	BETA-LACTAM,AMINOGLYCOSIDE,SULFONAMIDE,MERCURY,AMINOGLYCOSIDE ANTIBIOTIC	259754	65839	0.2534667416093689	2	mcr-1.1,sul1	USA:6996,United Kingdom: United Kingdom:3383,France:2279	True
combined	AA304	high	0.6748748755085202	0.9993382728378798	primary_model_oof_prediction	Escherichia_coli	Escherichia	tet(B),tetR,astA,aadA,aadA1	TETRACYCLINE,TETRACYCLINE ANTIBIOTIC,AMINOGLYCOSIDE,BETA-LACTAM,AMINOGLYCOSIDE ANTIBIOTIC	259754	62286	0.2397884151928363	2	aadA1,tet(B)	USA:5965,United Kingdom: United Kingdom:3557,Netherlands:1871	True
combined	AA046	high	0.9382283875781892	0.9712367755960348	primary_model_oof_prediction	Klebsiella_pneumoniae	Enterobacter	BRP(MBL),ble,blaNDM-1,sul1,rmtC	BETA-LACTAM,BLEOMYCIN,GLYCOPEPTIDE ANTIBIOTIC,AMINOGLYCOSIDE,AMINOGLYCOSIDE ANTIBIOTIC	113468	61676	0.5435541297987098	4	blaNDM-1,ble,rmtC,sul1	USA:8175,China:2778,China: Beijing:1689	True
combined	AC212	high	0.980699621135487	0.9865118557136178	primary_model_oof_prediction	Klebsiella_pneumoniae	Klebsiella	AAC(3)-Ib/AAC(6')-Ib3 bifunctional protein,qacEdelta1,sul1,terC,arr-3	AMINOGLYCOSIDE ANTIBIOTIC,AMINOGLYCOSIDE,BETA-LACTAM,QUATERNARY AMMONIUM,SULFONAMIDE	113468	57317	0.5051380124792894	2	arr-3,sul1	USA:7018,China:2684,China: Beijing:1662	True
combined	AA452	high	0.9254951690237548	0.9701191495743712	primary_model_oof_prediction	Klebsiella_pneumoniae	Klebsiella	dfrA14,sul2,qnrB1,aph(6)-Id,aph(3'')-Ib	BETA-LACTAM,TRIMETHOPRIM,QUINOLONE,SULFONAMIDE,AMINOGLYCOSIDE	113468	53777	0.4739397891916663	5	aph(3'')-Ib,aph(6)-Id,dfrA14,qnrB1,sul2	USA:5966,China:2010,Spain:1414	True
combined	AA356	high	0.7600088010415916	0.9877940501904824	primary_model_oof_prediction	Klebsiella_pneumoniae	Klebsiella	blaKPC-3,blaKPC-2,aac(6')-Ib,aadA15,AAC(6')-Ib10	BETA-LACTAM,AMINOGLYCOSIDE,AMINOGLYCOSIDE ANTIBIOTIC,QUATERNARY AMMONIUM,DISINFECTING AGENTS AND ANTISEPTICS	113468	47143	0.4154739662283639	4	aac(6')-Ib,aadA15,blaKPC-2,blaKPC-3	USA:6429,China:3076,China: Beijing:1286	True
combined	AA001	high	0.6977076816914992	0.8741817172168316	primary_model_oof_prediction	Klebsiella_pneumoniae	Klebsiella	blaOXA-48,AAC(6')-Ib-cr6,aac(6')-Ib-cr5,blaOXA-1,catB3	BETA-LACTAM,SULFONAMIDE,AMINOGLYCOSIDE/QUINOLONE,FLUOROQUINOLONE ANTIBIOTIC; AMINOGLYCOSIDE ANTIBIOTIC,PHENICOL ANTIBIOTIC	113468	39026	0.3439383791024782	4	aac(6')-Ib-cr5,blaOXA-1,blaOXA-48,catB3	USA:3830,Spain:1624,United Kingdom:1093	True
