backbone_id	n_training_records	complete_fraction	duplicate_fraction	change_flag_fraction	duplicate_completeness_score
AB445	2	0.0	0.0	1.0	0.3
AB466	2	0.0	0.0	1.0	0.3
AB468	2	0.0	0.0	1.0	0.3
AB519	2	0.0	0.0	1.0	0.3
AB557	2	0.0	0.0	1.0	0.3
AB559	2	0.0	0.0	1.0	0.3
AB575	2	0.0	0.0	1.0	0.3
AB576	2	0.0	0.0	1.0	0.3
AB630	2	0.0	0.0	1.0	0.3
AB637	2	0.0	0.0	1.0	0.3
AB640	2	0.0	0.0	1.0	0.3
AB644	2	0.0	0.0	1.0	0.3
AB646	2	0.0	0.0	1.0	0.3
AB652	2	0.0	0.0	1.0	0.3
AB661	2	0.0	0.0	1.0	0.3
AB663	2	0.0	0.0	1.0	0.3
AB673	2	0.0	0.0	1.0	0.3
AB675	2	0.0	0.0	1.0	0.3
AB676	2	0.0	0.0	1.0	0.3
AB681	2	0.0	0.0	1.0	0.3
AB687	2	0.0	0.0	1.0	0.3
AB709	2	0.0	0.0	1.0	0.3
AB722	2	0.0	0.0	1.0	0.3
AB724	2	0.0	0.0	1.0	0.3
AB735	2	0.0	0.0	1.0	0.3
AB738	2	0.0	0.0	1.0	0.3
AB740	2	0.0	0.0	1.0	0.3
AB754	2	0.0	0.0	1.0	0.3
AB756	2	0.0	0.0	1.0	0.3
AB774	2	0.0	0.0	1.0	0.3
AB805	2	0.0	0.0	1.0	0.3
AB806	2	0.0	0.0	1.0	0.3
AB807	2	0.0	0.0	1.0	0.3
AB810	2	0.0	0.0	1.0	0.3
AB822	2	0.0	0.0	1.0	0.3
AB850	2	0.0	0.0	1.0	0.3
AB859	2	0.0	0.0	1.0	0.3
AB867	2	0.0	0.0	1.0	0.3
AB882	2	0.0	0.0	1.0	0.3
AB891	2	0.0	0.0	1.0	0.3
AB897	2	0.0	0.0	1.0	0.3
AB904	2	0.0	0.0	1.0	0.3
AB923	2	0.0	0.0	1.0	0.3
AB927	2	0.0	0.0	1.0	0.3
AB932	2	0.0	0.0	1.0	0.3
AB957	2	0.0	0.0	1.0	0.3
AB982	2	0.0	0.0	1.0	0.3
AB984	2	0.0	0.0	1.0	0.3
AC005	2	0.0	0.0	1.0	0.3
AC022	2	0.0	0.0	1.0	0.3
AC030	2	0.0	0.0	1.0	0.3
AC035	2	0.0	0.0	1.0	0.3
AC066	2	0.0	0.0	1.0	0.3
AC069	2	0.0	0.0	1.0	0.3
AC082	2	0.0	0.0	1.0	0.3
AC102	2	0.0	0.0	1.0	0.3
AC148	2	0.0	0.0	1.0	0.3
AC154	2	0.0	0.0	1.0	0.3
AC157	2	0.0	0.0	1.0	0.3
AC169	2	0.0	0.0	1.0	0.3
AC182	2	0.0	0.0	1.0	0.3
AC212	2	0.0	0.0	1.0	0.3
AC216	2	0.0	0.0	1.0	0.3
AC222	2	0.0	0.0	1.0	0.3
AC293	2	0.0	0.0	1.0	0.3
AC295	2	0.0	0.0	1.0	0.3
AC297	2	0.0	0.0	1.0	0.3
AC305	2	0.0	0.0	1.0	0.3
AC310	2	0.0	0.0	1.0	0.3
AC319	2	0.0	0.0	1.0	0.3
AC364	2	0.0	0.0	1.0	0.3
AC365	2	0.0	0.0	1.0	0.3
AC387	2	0.0	0.0	1.0	0.3
AC397	2	0.0	0.0	1.0	0.3
