backbone_id	n_countries_train	training_country_missing_fraction	testing_country_missing_fraction	observed_new_countries	optimistic_new_countries	midpoint_new_countries	weighted_new_countries	eligible_for_country_bounds	label_observed	label_midpoint	label_optimistic	label_weighted
AB829	0	0.0	0.0	3	3	3	3.0	False				
AB081	0	1.0	0.09523809523809523	1	3	2	1.1052631578947367	False				
AD750	0	0.0	0.0	1	1	1	1.0	False				
AF735	0	0.0	0.0	1	1	1	1.0	False				
AC601	1	0.0	0.0	6	6	6	6.0	True	1.0	1.0	1.0	1.0
AB828	0	0.0	0.0	1	1	1	1.0	False				
AG049	0	0.0	0.0	3	3	3	3.0	False				
AG481	0	0.0	0.5	1	2	2	2.0	False				
AC861	0	1.0	0.0	5	5	5	5.0	False				
AD859	1	0.0	0.08695652173913043	8	10	9	8.761904761904763	True	1.0	1.0	1.0	1.0
AB130	1	0.0	0.10752688172043011	13	23	18	14.566265060240964	True	1.0	1.0	1.0	1.0
AA738	0	1.0	0.2680577849117175	29	196	113	39.62061403508772	False				
AD293	0	1.0	0.2222222222222222	4	6	5	5.142857142857142	False				
AB320	0	1.0	0.3541666666666667	10	27	19	15.483870967741936	False				
AD289	0	1.0	0.0	2	2	2	2.0	False				
AC757	0	0.0	0.75	1	4	3	4.0	False				
AD204	0	1.0	0.16666666666666666	4	5	5	4.8	False				
AA199	0	1.0	0.2857142857142857	4	6	5	5.6	False				
AD295	0	1.0	0.0	2	2	2	2.0	False				
AC756	0	1.0	0.3548387096774194	11	22	17	17.05	False				
AA218	0	1.0	0.0	2	2	2	2.0	False				
AD294	0	1.0	0.4	5	9	7	8.333333333333332	False				
AB971	0	0.0	0.0	1	1	1	1.0	False				
AA202	0	1.0	0.42857142857142855	2	5	4	3.5	False				
AA203	0	1.0	0.4	3	5	4	5.0	False				
AC477	0	1.0	0.4	1	3	2	1.6666666666666665	False				
AD292	0	0.0	0.5	4	8	6	8.0	False				
AB018	0	1.0	0.5555555555555556	2	7	5	4.5	False				
AG485	0	0.0	0.2	3	4	4	3.75	False				
AG646	0	1.0	0.0	1	1	1	1.0	False				
AB324	0	1.0	0.18181818181818182	6	8	7	7.333333333333334	False				
AD290	0	0.0	0.0	3	3	3	3.0	False				
AD707	0	1.0	0.625	3	8	6	8.0	False				
AC595	0	0.0	0.3333333333333333	4	7	6	6.0	False				
AD296	0	1.0	0.38461538461538464	4	9	7	6.5	False				
AA207	0	0.0	0.3333333333333333	2	3	3	3.0	False				
AC019	0	0.0	0.0	0	0	0	0.0	False				
AD208	0	0.0	0.2	4	5	5	5.0	False				
AD298	0	0.0	0.6666666666666666	1	3	2	3.0	False				
AC018	0	0.0	0.14285714285714285	3	4	4	3.5	False				
AD270	0	0.0	0.25	2	3	3	2.6666666666666665	False				
AC022	0	1.0	0.14285714285714285	3	4	4	3.5	False				
AB322	0	1.0	0.0	1	1	1	1.0	False				
AD042	0	1.0	0.0	0	0	0	0.0	False				
AD207	0	1.0	0.3333333333333333	2	3	3	3.0	False				
AD291	0	1.0	0.3333333333333333	2	3	3	3.0	False				
AD297	0	1.0	0.0	2	2	2	2.0	False				
AE713	0	0.0	0.0	1	1	1	1.0	False				
AC594	1	0.5	0.0	1	1	1	1.0	True	0.0	0.0	0.0	0.0
AC021	0	1.0	0.0	1	1	1	1.0	False				
AB020	0	1.0	0.5	5	12	9	10.0	False				
AD286	0	1.0	0.0	2	2	2	2.0	False				
AC758	0	1.0	0.5	3	6	5	6.0	False				
AB323	0	1.0	0.0	0	0	0	0.0	False				
AC833	0	0.0	0.0	2	2	2	2.0	False				
AA200	0	1.0	0.25	4	6	5	5.333333333333333	False				
AA216	0	1.0	0.0	1	1	1	1.0	False				
AA204	0	0.0	0.5	1	2	2	2.0	False				
AA171	1	0.6666666666666666	0.08503401360544217	34	59	47	37.15985130111524	True	1.0	1.0	1.0	1.0
AD272	0	1.0	0.3333333333333333	2	4	3	3.0	False				
AE296	0	0.0	0.10526315789473684	8	10	9	8.941176470588236	False				
AD041	0	0.0	0.5	1	3	2	2.0	False				
AE712	0	0.0	0.0	3	3	3	3.0	False				
AD871	0	1.0	0.3333333333333333	2	3	3	3.0	False				
AA205	0	1.0	0.0	0	0	0	0.0	False				
AD710	0	1.0	0.6666666666666666	1	3	2	3.0	False				
AA211	0	1.0	0.45454545454545453	5	10	8	9.166666666666668	False				
AE425	0	0.0	0.0	3	3	3	3.0	False				
AC476	0	1.0	0.0	1	1	1	1.0	False				
AE670	0	0.0	0.0	1	1	1	1.0	False				
AE423	0	0.0	0.0	1	1	1	1.0	False				
AE420	0	0.0	0.0	1	1	1	1.0	False				
AC864	0	0.0	0.19230769230769232	8	13	11	9.904761904761905	False				
AE419	0	0.0	0.0	1	1	1	1.0	False				
AE422	0	0.0	0.0	1	1	1	1.0	False				
AE424	0	0.0	0.0	1	1	1	1.0	False				
AC588	0	1.0	0.1111111111111111	4	5	5	4.5	False				
AC627	5	0.5333333333333333	0.2	14	33	24	17.5	False				
AA848	5	0.18181818181818182	0.28695652173913044	8	41	25	11.21951219512195	False				
AF901	0	0.0	0.5	1	2	2	2.0	False				
AD663	0	0.0	0.5	1	2	2	2.0	False				
AC320	2	0.6923076923076923	0.0975609756097561	11	19	15	12.18918918918919	True	1.0	1.0	1.0	1.0
AC540	1	0.0	0.25	5	10	8	6.666666666666666	True	1.0	1.0	1.0	1.0
AD572	2	0.25	0.125	5	6	6	5.7142857142857135	True	1.0	1.0	1.0	1.0
AB284	0	1.0	0.0	1	1	1	1.0	False				
AB285	1	0.5	0.0	0	0	0	0.0	True	0.0	0.0	0.0	0.0
AD058	1	0.75	0.375	8	20	14	12.8	True	1.0	1.0	1.0	1.0
AD157	0	1.0	0.125	7	8	8	8.0	False				
AB325	0	0.0	0.0	2	2	2	2.0	False				
AA558	0	1.0	0.42857142857142855	4	7	6	7.0	False				
AC813	0	0.0	0.0	1	1	1	1.0	False				
AB794	0	0.0	0.0	3	3	3	3.0	False				
AG287	0	0.0	0.0	2	2	2	2.0	False				
AG282	0	0.0	0.0	3	3	3	3.0	False				
AE983	0	0.0	0.0	2	2	2	2.0	False				
AG742	0	0.0	0.0	4	4	4	4.0	False				
AF315	0	1.0	0.0	2	2	2	2.0	False				
AE383	0	0.0	0.1111111111111111	4	5	5	4.5	False				
AB090	0	0.0	0.0	1	1	1	1.0	False				
AE306	0	1.0	0.0	1	1	1	1.0	False				
AB087	0	0.0	0.0	2	2	2	2.0	False				
