pathogen_dataset	priority_group	n_backbones	n_with_any_support	mean_matching_records	median_matching_records	mean_matching_fraction	median_matching_fraction	mean_matching_genes
combined	high	247	122	21803.61943319838	0.0	0.1784589694646922	0.0	1.3927125506072875
combined	low	247	6	212.8421052631579	0.0	0.0058995635360525	0.0	0.0404858299595141
clinical	high	247	119	18387.65991902834	0.0	0.1853112827622737	0.0	1.3765182186234817
clinical	low	247	5	152.1174089068826	0.0	0.0018186591032246	0.0	0.0283400809716599
environmental	high	247	120	3415.9595141700406	0.0	0.1257783845398697	0.0	1.360323886639676
environmental	low	247	5	60.7246963562753	0.0	0.0056640903545992	0.0	0.0283400809716599
