matched_stratum	member_bin	country_bin	source_bin	stratum_definition	model_name	status	n_backbones	n_treated	n_control	treated_fraction	treatment_threshold	mean_propensity_score	propensity_overlap_min	treated_outcome_ipw	control_outcome_ipw	ipw_risk_difference	naive_risk_difference
(292.499, 680.0]|(441.499, 981.0]|insd_leaning	(292.499, 680.0]	(441.499, 981.0]	insd_leaning	member_bin,country_bin,source_bin	phylogeny_aware_priority	ok	80	10	70	0.125	0.4711894704510225	0.11173971425285197	0.1400494862036586	0.31776668316021867	0.2176545350191062	0.10011214814111247	0.08571428571428572
(680.0, 989.0]|(441.499, 981.0]|insd_leaning	(680.0, 989.0]	(441.499, 981.0]	insd_leaning	member_bin,country_bin,source_bin	phylogeny_aware_priority	ok	19	9	10	0.47368421052631576	0.4711894704510225	0.6194993100956792	0.4030632228040514	0.6152615403262334	0.30557132876968934	0.309690211556544	0.36666666666666664
__weighted_overall__				member_bin,country_bin,source_bin	phylogeny_aware_priority	ok	989	248	741	0.25075834175935285	0.4711894704510225	0.24955292561066955	0.1400494862036586	0.624143126608177	0.3124396103766481	0.3117035162315289	0.33397327913599306
(292.499, 680.0]|(441.499, 981.0]|refseq_leaning	(292.499, 680.0]	(441.499, 981.0]	refseq_leaning	member_bin,country_bin,source_bin	random_score_control	ok	695	183	512	0.2633093525179856	0.7605460227298669	0.2589771823492897	0.2588086972757497	0.315805040436725	0.2583679918235072	0.0574370486132178	0.051709784836065587
(680.0, 989.0]|(441.499, 981.0]|refseq_leaning	(680.0, 989.0]	(441.499, 981.0]	refseq_leaning	member_bin,country_bin,source_bin	random_score_control	ok	195	39	156	0.2	0.7605460227298669	0.21493555879311763	0.2146065300893668	0.74817388697772	0.7417001385996	0.006473748378119981	0.0
(292.499, 680.0]|(441.499, 981.0]|insd_leaning	(292.499, 680.0]	(441.499, 981.0]	insd_leaning	member_bin,country_bin,source_bin	random_score_control	ok	80	22	58	0.275	0.7605460227298669	0.2731281774123464	0.2726527217828713	0.22742718306084383	0.22346509138118079	0.003962091679663049	0.0031347962382445027
(680.0, 989.0]|(441.499, 981.0]|insd_leaning	(680.0, 989.0]	(441.499, 981.0]	insd_leaning	member_bin,country_bin,source_bin	random_score_control	ok	19	4	15	0.21052631578947367	0.7605460227298669	0.2233482845467735	0.23655046461469822	0.25	0.525266678496223	-0.275266678496223	-0.2833333333333333
__weighted_overall__				member_bin,country_bin,source_bin	random_score_control	ok	989	248	741	0.25075834175935285	0.7605460227298669	0.2507537384194041	0.2146065300893668	0.39264164379074507	0.35597022805478484	0.03667141573596014	0.031148383040234387
(292.499, 680.0]|(441.499, 981.0]|refseq_leaning	(292.499, 680.0]	(441.499, 981.0]	refseq_leaning	member_bin,country_bin,source_bin	regime_stability_priority	ok	695	159	536	0.22877697841726619	0.622584958177379	0.2222667100120743	0.2304719668172702	0.5092402552093712	0.2051443392717939	0.30409591593757734	0.3142307331268187
(680.0, 989.0]|(441.499, 981.0]|refseq_leaning	(680.0, 989.0]	(441.499, 981.0]	refseq_leaning	member_bin,country_bin,source_bin	regime_stability_priority	ok	195	68	127	0.3487179487179487	0.622584958177379	0.3438529858997293	0.3488661229332141	0.8685122307391988	0.677773526743508	0.19073870399569082	0.21306160259379336
(292.499, 680.0]|(441.499, 981.0]|insd_leaning	(292.499, 680.0]	(441.499, 981.0]	insd_leaning	member_bin,country_bin,source_bin	regime_stability_priority	ok	80	14	66	0.175	0.622584958177379	0.24189203953719626	0.2464904691351694	0.3479414720830461	0.19739941278300124	0.15054205930004486	0.1601731601731602
(680.0, 989.0]|(441.499, 981.0]|insd_leaning	(680.0, 989.0]	(441.499, 981.0]	insd_leaning	member_bin,country_bin,source_bin	regime_stability_priority	ok	19	7	12	0.3684210526315789	0.622584958177379	0.37504096718752583	0.3642725954516505	0.507706442178427	0.4617709465192045	0.0459354956592225	0.1547619047619047
__weighted_overall__				member_bin,country_bin,source_bin	regime_stability_priority	ok	989	248	741	0.25075834175935285	0.622584958177379	0.2507622216869338	0.2304719668172702	0.5670006092342675	0.3026357477405316	0.2643648614937359	0.27875803946739913
(292.499, 680.0]|(441.499, 981.0]|refseq_leaning	(292.499, 680.0]	(441.499, 981.0]	refseq_leaning	member_bin,country_bin,source_bin	source_only	ok	695	209	486	0.30071942446043165	0.3704959002437998	0.30544951871103754	0.31825282533666405	0.2546524804886305	0.2777110134251288	-0.023058532936498344	-0.035146789532754436
(680.0, 989.0]|(441.499, 981.0]|refseq_leaning	(680.0, 989.0]	(441.499, 981.0]	refseq_leaning	member_bin,country_bin,source_bin	source_only	ok	195	39	156	0.2	0.3704959002437998	0.19327718629746898	0.25437584032913074	0.7163501060069545	0.7514465709884546	-0.0350964649815001	-0.0641025641025641
__weighted_overall__				member_bin,country_bin,source_bin	source_only	ok	890	248	642	0.2786516853932584	0.3704959002437998	0.28087243464289613	0.25437584032913074	0.35581094900107224	0.38150700637439683	-0.02569605737332457	-0.041491032275577905
(292.499, 680.0]|(441.499, 981.0]|refseq_leaning	(292.499, 680.0]	(441.499, 981.0]	refseq_leaning	member_bin,country_bin,source_bin	structured_signal_priority	ok	695	96	599	0.1381294964028777	0.5229098977041292	0.12758755888130224	0.2202691466950125	0.6569351734484635	0.22247295238733863	0.43446222106112486	0.42005773511407896
(680.0, 989.0]|(441.499, 981.0]|refseq_leaning	(680.0, 989.0]	(441.499, 981.0]	refseq_leaning	member_bin,country_bin,source_bin	structured_signal_priority	ok	195	134	61	0.6871794871794872	0.5229098977041292	0.681286419898501	0.3731746961958745	0.8151195657357452	0.5753893957352441	0.23973017000050112	0.29483728896501094
(292.499, 680.0]|(441.499, 981.0]|insd_leaning	(292.499, 680.0]	(441.499, 981.0]	insd_leaning	member_bin,country_bin,source_bin	structured_signal_priority	ok	80	7	73	0.0875	0.5229098977041292	0.1613084730740524	0.2373246594585849	0.3064830888054273	0.22335816666640348	0.08312492213902381	0.06653620352250489
(680.0, 989.0]|(441.499, 981.0]|insd_leaning	(680.0, 989.0]	(441.499, 981.0]	insd_leaning	member_bin,country_bin,source_bin	structured_signal_priority	ok	19	11	8	0.5789473684210527	0.5229098977041292	0.6688678945218351	0.37293397114272375	0.682695262090182	0.2567803563137801	0.42591490577640195	0.6022727272727273
__weighted_overall__				member_bin,country_bin,source_bin	structured_signal_priority	ok	989	248	741	0.25075834175935285	0.5229098977041292	0.24988612046971873	0.2202691466950125	0.6602711000498485	0.2927877797581871	0.3674833202916613	0.3702724725504997
(292.499, 680.0]|(441.499, 981.0]|refseq_leaning	(292.499, 680.0]	(441.499, 981.0]	refseq_leaning	member_bin,country_bin,source_bin	support_calibrated_priority	ok	695	80	615	0.11510791366906475	0.6664191908597463	0.11306781210278659	0.224769821806658	0.7239867730069687	0.22553062770865798	0.4984561452983107	0.48211382113821133
(680.0, 989.0]|(441.499, 981.0]|refseq_leaning	(680.0, 989.0]	(441.499, 981.0]	refseq_leaning	member_bin,country_bin,source_bin	support_calibrated_priority	ok	195	150	45	0.7692307692307693	0.6664191908597463	0.7531556603753281	0.3232555229569931	0.7969169561942383	0.6151206321780923	0.18179632401614598	0.2733333333333333
(292.499, 680.0]|(441.499, 981.0]|insd_leaning	(292.499, 680.0]	(441.499, 981.0]	insd_leaning	member_bin,country_bin,source_bin	support_calibrated_priority	ok	80	6	74	0.075	0.6664191908597463	0.0967101209686875	0.14901408660102905	0.6018564790263844	0.20638482459152008	0.3954716544348643	0.29729729729729726
(680.0, 989.0]|(441.499, 981.0]|insd_leaning	(680.0, 989.0]	(441.499, 981.0]	insd_leaning	member_bin,country_bin,source_bin	support_calibrated_priority	ok	19	12	7	0.631578947368421	0.6664191908597463	0.6825316421017267	0.4059122039067188	0.5364693931305475	0.535681875260834	0.0007875178697135388	0.29761904761904767
__weighted_overall__				member_bin,country_bin,source_bin	support_calibrated_priority	ok	989	248	741	0.25075834175935285	0.6664191908597463	0.24889018610925528	0.14901408660102905	0.7248847831034487	0.3067553600905185	0.4181294230129304	0.42245465255773773
(292.499, 680.0]|(441.499, 981.0]|refseq_leaning	(292.499, 680.0]	(441.499, 981.0]	refseq_leaning	member_bin,country_bin,source_bin	support_synergy_priority	ok	695	88	607	0.12661870503597122	0.6820290999939397	0.1260056979136812	0.20861209931818658	0.6842012279120202	0.21745522167201456	0.4667460062400056	0.4936723079227198
(680.0, 989.0]|(441.499, 981.0]|refseq_leaning	(680.0, 989.0]	(441.499, 981.0]	refseq_leaning	member_bin,country_bin,source_bin	support_synergy_priority	ok	195	143	52	0.7333333333333333	0.6820290999939397	0.7076805718281717	0.3553261046545243	0.8051621555607893	0.41069347205597906	0.39446868350481024	0.30594405594405594
(292.499, 680.0]|(441.499, 981.0]|insd_leaning	(292.499, 680.0]	(441.499, 981.0]	insd_leaning	member_bin,country_bin,source_bin	support_synergy_priority	ok	80	7	73	0.0875	0.6820290999939397	0.11350373942999278	0.15083495751355322	0.46878599927829884	0.20892999033027307	0.25985600894802574	0.22309197651663404
(680.0, 989.0]|(441.499, 981.0]|insd_leaning	(680.0, 989.0]	(441.499, 981.0]	insd_leaning	member_bin,country_bin,source_bin	support_synergy_priority	ok	19	10	9	0.5263157894736842	0.6820290999939397	0.6412762880166121	0.4731510797044456	0.6851258716237142	0.3986223675742628	0.2865035040494514	0.47777777777777775
__weighted_overall__				member_bin,country_bin,source_bin	support_synergy_priority	ok	989	248	741	0.25075834175935285	0.6820290999939397	0.24958161798100809	0.15083495751355322	0.6906438273370298	0.2583466434007066	0.4322971839363231	0.43446560244134447
(292.499, 680.0]|(441.499, 981.0]|refseq_leaning	(292.499, 680.0]	(441.499, 981.0]	refseq_leaning	member_bin,country_bin,source_bin	threat_architecture_priority	ok	695	92	603	0.13237410071942446	0.6657312544264835	0.11609305407020663	0.22489976584240723	0.7317234906283316	0.22346688356832595	0.5082566070600056	0.43658518999206863
(680.0, 989.0]|(441.499, 981.0]|refseq_leaning	(680.0, 989.0]	(441.499, 981.0]	refseq_leaning	member_bin,country_bin,source_bin	threat_architecture_priority	ok	195	136	59	0.6974358974358974	0.6657312544264835	0.7258611644862571	0.3648184237511378	0.7684610495484396	0.7611950801114982	0.007265969436941466	0.11839481555333997
(292.499, 680.0]|(441.499, 981.0]|insd_leaning	(292.499, 680.0]	(441.499, 981.0]	insd_leaning	member_bin,country_bin,source_bin	threat_architecture_priority	ok	80	8	72	0.1	0.6657312544264835	0.13761639695591146	0.2009237424567813	0.6363846523087664	0.20015632723422716	0.43622832507453924	0.3055555555555556
(680.0, 989.0]|(441.499, 981.0]|insd_leaning	(680.0, 989.0]	(441.499, 981.0]	insd_leaning	member_bin,country_bin,source_bin	threat_architecture_priority	ok	19	12	7	0.631578947368421	0.6657312544264835	0.6999728894473322	0.4347521218964082	0.6298427308915624	0.13413571957645137	0.495707011315111	0.5238095238095237
__weighted_overall__				member_bin,country_bin,source_bin	threat_architecture_priority	ok	989	248	741	0.25075834175935285	0.6657312544264835	0.2492784593625743	0.2009237424567813	0.7292977904148403	0.32588838175168805	0.4034094086631524	0.36492469309829567
