model_name	null_protocol	selection_scope	selection_reference_model	n_models_in_scope	n_permutations	observed_roc_auc	observed_average_precision	null_roc_auc_mean	null_roc_auc_std	null_roc_auc_q975	selection_adjusted_empirical_p_roc_auc	null_average_precision_mean	null_average_precision_std	null_average_precision_q975	selection_adjusted_empirical_p_average_precision	modal_selected_model_name	modal_selected_model_share
bio_clean_priority	selection_adjusted_official_model_refit	official_model_surface	bio_clean_priority	3	200	0.7467881783816649	0.660052719022453	0.5077398512604968	0.017821299961833667	0.5424613061407915	0.004975124378109453	0.3732833198603612	0.016637360415029504	0.4132936043649241	0.004975124378109453	phylo_support_fusion_priority	0.445
phylo_support_fusion_priority	selection_adjusted_official_model_refit	official_model_surface	bio_clean_priority	3	200	0.8266982121300237	0.7662311920388732	0.5077398512604968	0.017821299961833667	0.5424613061407915	0.004975124378109453	0.3732833198603612	0.016637360415029504	0.4132936043649241	0.004975124378109453	phylo_support_fusion_priority	0.445
baseline_both	selection_adjusted_official_model_refit	official_model_surface	bio_clean_priority	3	200	0.7224968498594553	0.6471951497145494	0.5077398512604968	0.017821299961833667	0.5424613061407915	0.004975124378109453	0.3732833198603612	0.016637360415029504	0.4132936043649241	0.004975124378109453	phylo_support_fusion_priority	0.445
