backbone_id	priority_group	priority_index	selection_score	selection_score_column	dominant_species	primary_replicon	replicon_types	mobsuite_literature_record_count	mobsuite_literature_sample_count	mobsuite_literature_host_species_count	mobsuite_reported_host_range_taxid_count	mobsuite_literature_pmid_count	mobsuite_literature_year_min	mobsuite_literature_year_max	mobsuite_literature_conjugative_note_fraction	mobsuite_cluster_record_count	mobsuite_cluster_taxid_count	mobsuite_cluster_mobilizable_fraction	mobsuite_cluster_conjugative_fraction	mobsuite_cluster_relaxase_presence_fraction	mobsuite_cluster_mpf_presence_fraction	mobsuite_cluster_orit_presence_fraction	mobsuite_any_literature_support	mobsuite_any_cluster_support
AA304	high	0.3414608712789251	0.8643958241548264	primary_model_oof_prediction	Escherichia_coli	IncFIA	ColRNAI_rep_cluster_1857,IncFIA,IncFIB,IncFIC,IncFII,IncI1,rep_cluster_1195,rep_cluster_2232,rep_cluster_2244,rep_cluster_2358	14.0	14.0	6.0	2.0	8.0	2000.0	2017.0	0.07142857142857142	240.0	48.0	0.175	0.7833333333333333	0.9125	0.5666666666666667	0.5166666666666667	True	True
AA295	high	0.3453031156481417	0.8633228382543818	primary_model_oof_prediction	Escherichia_coli	IncFIB	IncFIA,IncFIB,IncFIC,rep_cluster_2244	8.0	8.0	3.0	2.0	5.0	2001.0	2010.0	0.25	357.0	77.0	0.08683473389355742	0.23249299719887956	0.2689075630252101	0.0	0.0	True	True
AA346	high	0.5166022133709884	0.8584793268389388	primary_model_oof_prediction	Escherichia_coli	IncFIB	IncFIA,IncFIB,IncFIC,IncI-gamma/K1,IncI1,IncQ1	8.0	8.0	3.0	2.0	5.0	2001.0	2010.0	0.25	357.0	77.0	0.08683473389355742	0.23249299719887956	0.2689075630252101	0.0	0.0	True	True
AA316	high	0.4793765904236122	0.8552099362271088	primary_model_oof_prediction	Escherichia_coli	IncFIA	Col8282,IncFIA,IncFIB,IncFIC,IncFII,IncQ1,IncX1,rep_cluster_1778,rep_cluster_2131,rep_cluster_2244,rep_cluster_2350,rep_cluster_2370	14.0	14.0	6.0	2.0	8.0	2000.0	2017.0	0.07142857142857142	240.0	48.0	0.175	0.7833333333333333	0.9125	0.5666666666666667	0.5166666666666667	True	True
AC030	high	0.3542120272206928	0.8333206055095388	primary_model_oof_prediction	Escherichia_coli	IncFIA	IncFIA,IncFIC	14.0	14.0	6.0	2.0	8.0	2000.0	2017.0	0.07142857142857142	240.0	48.0	0.175	0.7833333333333333	0.9125	0.5666666666666667	0.5166666666666667	True	True
AA557	high	0.3607682942026837	0.8041978217648464	primary_model_oof_prediction	Klebsiella_pneumoniae	IncFIA	IncFIA,IncFIB,IncFII,IncR,rep_cluster_1418	14.0	14.0	6.0	2.0	8.0	2000.0	2017.0	0.07142857142857142	240.0	48.0	0.175	0.7833333333333333	0.9125	0.5666666666666667	0.5166666666666667	True	True
AA551	high	0.9509158955387952	0.790696657699473	primary_model_oof_prediction	Escherichia_coli	IncN	ColRNAI_rep_cluster_1987,IncC,IncFIA,IncFIC,IncFII,IncN,IncR,IncX1,rep_cluster_1195,rep_cluster_1254,rep_cluster_2021,rep_cluster_2335,rep_cluster_2350,rep_cluster_2370,rep_cluster_2373	11.0	11.0	4.0	2.0	5.0	2010.0	2019.0	0.09090909090909091	265.0	55.0	0.0037735849056603774	0.9886792452830189	0.9886792452830189	0.0	0.0	True	True
AA336	high	0.8832302278562453	0.7846600133625448	primary_model_oof_prediction	Escherichia_coli	IncFIA	ColRNAI_rep_cluster_1857,IncFIA,IncFIB,IncFIC,IncFII,IncI-gamma/K1,IncN,IncR,rep_cluster_1195,rep_cluster_2232,rep_cluster_2244	14.0	14.0	6.0	2.0	8.0	2000.0	2017.0	0.07142857142857142	240.0	48.0	0.175	0.7833333333333333	0.9125	0.5666666666666667	0.5166666666666667	True	True
AA338	high	0.9438970038167876	0.7757773999266829	primary_model_oof_prediction	Escherichia_coli	IncFIA	Col156,IncFIA,IncFIB,IncFIC,IncFII,IncHI1B,IncN,IncQ1,IncR,IncU,IncX1,rep_cluster_1254,rep_cluster_1332,rep_cluster_2131,rep_cluster_2244	14.0	14.0	6.0	2.0	8.0	2000.0	2017.0	0.07142857142857142	240.0	48.0	0.175	0.7833333333333333	0.9125	0.5666666666666667	0.5166666666666667	True	True
AA308	high	0.3885168860706864	0.7620990865060967	primary_model_oof_prediction	Escherichia_coli	IncFIA	IncFIA,IncFIC	14.0	14.0	6.0	2.0	8.0	2000.0	2017.0	0.07142857142857142	240.0	48.0	0.175	0.7833333333333333	0.9125	0.5666666666666667	0.5166666666666667	True	True
AA349	high	0.330714095591146	0.7611935971834807	primary_model_oof_prediction	Escherichia_coli	IncFIA	IncFIA,IncFIB,IncFIC,IncX1,rep_cluster_2232	14.0	14.0	6.0	2.0	8.0	2000.0	2017.0	0.07142857142857142	240.0	48.0	0.175	0.7833333333333333	0.9125	0.5666666666666667	0.5166666666666667	True	True
AB159	high	0.6674348453466815	0.761189728342214	primary_model_oof_prediction	Escherichia_coli	IncN	ColRNAI_rep_cluster_1987,IncFIA,IncN,rep_cluster_1418	11.0	11.0	4.0	2.0	5.0	2010.0	2019.0	0.09090909090909091	265.0	55.0	0.0037735849056603774	0.9886792452830189	0.9886792452830189	0.0	0.0	True	True
AA176	high	0.8957957064445813	0.7575837380937855	primary_model_oof_prediction	Escherichia_coli	IncFIB	IncFIA,IncFIB,IncFIC,IncFII,IncN,IncQ1,IncR,rep_cluster_2232,rep_cluster_2244,rep_cluster_2350,rep_cluster_2373	8.0	8.0	3.0	2.0	5.0	2001.0	2010.0	0.25	357.0	77.0	0.08683473389355742	0.23249299719887956	0.2689075630252101	0.0	0.0	True	True
AA302	high	0.330714095591146	0.7526982912662323	primary_model_oof_prediction	Escherichia_coli	IncFIA	IncFIA,IncFIB,IncFIC,IncFII,IncI-gamma/K1,IncI1,rep_cluster_2244	14.0	14.0	6.0	2.0	8.0	2000.0	2017.0	0.07142857142857142	240.0	48.0	0.175	0.7833333333333333	0.9125	0.5666666666666667	0.5166666666666667	True	True
AA275	high	0.6755575622652525	0.7447566334013569	primary_model_oof_prediction	Klebsiella_pneumoniae	IncFIB	ColRNAI_rep_cluster_1857,IncFIA,IncFIB,IncFII,IncHI1B,IncN,IncQ1,IncR,IncU,IncX3,rep_cluster_1232,rep_cluster_1254,rep_cluster_1418,rep_cluster_2183,rep_cluster_2392	8.0	8.0	3.0	2.0	5.0	2001.0	2010.0	0.25	357.0	77.0	0.08683473389355742	0.23249299719887956	0.2689075630252101	0.0	0.0	True	True
AA331	high	0.3975449081131299	0.7440734599353767	primary_model_oof_prediction	Escherichia_coli	IncFIA	IncFIA,IncFIB,IncFIC	14.0	14.0	6.0	2.0	8.0	2000.0	2017.0	0.07142857142857142	240.0	48.0	0.175	0.7833333333333333	0.9125	0.5666666666666667	0.5166666666666667	True	True
AB267	high	0.330714095591146	0.7426201029067723	primary_model_oof_prediction	Escherichia_coli	IncFIB	IncFIA,IncFIB,IncFIC,IncFII,IncI1,rep_cluster_2232,rep_cluster_2244	8.0	8.0	3.0	2.0	5.0	2001.0	2010.0	0.25	357.0	77.0	0.08683473389355742	0.23249299719887956	0.2689075630252101	0.0	0.0	True	True
AA171	high	0.9326440290188246	0.7414404567919982	primary_model_oof_prediction	Escherichia_coli	IncFIA	Col156,IncFIA,IncFIB,IncFIC,IncFII,IncI-gamma/K1,IncN,IncQ1,IncR,IncU,IncY,rep_cluster_1195,rep_cluster_1418,rep_cluster_2131,rep_cluster_2183,rep_cluster_2232,rep_cluster_2344,rep_cluster_2392	14.0	14.0	6.0	2.0	8.0	2000.0	2017.0	0.07142857142857142	240.0	48.0	0.175	0.7833333333333333	0.9125	0.5666666666666667	0.5166666666666667	True	True
AB187	high	0.3040892468087181	0.696887915006869	primary_model_oof_prediction	Klebsiella_pneumoniae	IncFIA	IncFIA,IncFIB,IncFIC,IncFII,IncN,IncR,rep_cluster_1195,rep_cluster_1418,rep_cluster_2183,rep_cluster_2272,rep_cluster_2373	14.0	14.0	6.0	2.0	8.0	2000.0	2017.0	0.07142857142857142	240.0	48.0	0.175	0.7833333333333333	0.9125	0.5666666666666667	0.5166666666666667	True	True
AA035	high	0.7333422809752155	0.6834507316840437	primary_model_oof_prediction	Klebsiella_pneumoniae	IncFIB	ColRNAI_rep_cluster_1987,IncFIA,IncFIB,IncFII,IncN,IncR,rep_cluster_1418,rep_cluster_2183	8.0	8.0	3.0	2.0	5.0	2001.0	2010.0	0.25	357.0	77.0	0.08683473389355742	0.23249299719887956	0.2689075630252101	0.0	0.0	True	True
AA457	high	0.6060759339736569	0.6265186408807107	primary_model_oof_prediction	Klebsiella_pneumoniae	IncFIB	IncFIA,IncFIB,IncFII,IncQ1,IncR,rep_cluster_2183	8.0	8.0	3.0	2.0	5.0	2001.0	2010.0	0.25	357.0	77.0	0.08683473389355742	0.23249299719887956	0.2689075630252101	0.0	0.0	True	True
AA046	high	0.8959840770092916	0.6240817028423854	primary_model_oof_prediction	Klebsiella_pneumoniae	IncFIB	IncFIB,IncFIC,IncFII,IncR,IncU,IncX1,rep_cluster_1418,rep_cluster_2183,rep_cluster_2272,rep_cluster_2370	8.0	8.0	3.0	2.0	5.0	2001.0	2010.0	0.25	357.0	77.0	0.08683473389355742	0.23249299719887956	0.2689075630252101	0.0	0.0	True	True
AE107	high	0.5240380170602429	0.6199794032597181	primary_model_oof_prediction	Raoultella_ornithinolytica	IncFIB	IncFIA,IncFIB,IncFII,IncX3,rep_cluster_2183	8.0	8.0	3.0	2.0	5.0	2001.0	2010.0	0.25	357.0	77.0	0.08683473389355742	0.23249299719887956	0.2689075630252101	0.0	0.0	True	True
AA276	high	0.5310757649809082	0.610380353907035	primary_model_oof_prediction	Klebsiella_pneumoniae	IncFIB	ColRNAI_rep_cluster_1857,IncFIA,IncFIB,IncFIC,IncFII,IncN,IncU,rep_cluster_1,rep_cluster_1254,rep_cluster_2183,rep_cluster_2350,rep_cluster_2392	8.0	8.0	3.0	2.0	5.0	2001.0	2010.0	0.25	357.0	77.0	0.08683473389355742	0.23249299719887956	0.2689075630252101	0.0	0.0	True	True
AA828	high	0.5489985840228178	0.6085297683824653	primary_model_oof_prediction	Raoultella_ornithinolytica	IncFIB	ColRNAI_rep_cluster_1987,IncFIB,IncFII,rep_cluster_2078	8.0	8.0	3.0	2.0	5.0	2001.0	2010.0	0.25	357.0	77.0	0.08683473389355742	0.23249299719887956	0.2689075630252101	0.0	0.0	True	True
AA831	high	0.5240380170602429	0.6039530818721089	primary_model_oof_prediction	Phytobacter_diazotrophicus	IncFIB	IncFIB,IncFIC,IncN,rep_cluster_2078,rep_cluster_2203,rep_cluster_2283	8.0	8.0	3.0	2.0	5.0	2001.0	2010.0	0.25	357.0	77.0	0.08683473389355742	0.23249299719887956	0.2689075630252101	0.0	0.0	True	True
AB460	high	0.6539446108548815	0.593549470924681	primary_model_oof_prediction	Salmonella_enterica	IncFIB	IncFIB,IncFII,IncI-gamma/K1,IncQ1,IncX1	8.0	8.0	3.0	2.0	5.0	2001.0	2010.0	0.25	357.0	77.0	0.08683473389355742	0.23249299719887956	0.2689075630252101	0.0	0.0	True	True
AA424	high	0.8815496386957496	0.563526045701285	primary_model_oof_prediction	Enterobacter_hormaechei	IncFIB	IncFIA,IncFIB,IncFII,IncX3,rep_cluster_2268,rep_cluster_2358	8.0	8.0	3.0	2.0	5.0	2001.0	2010.0	0.25	357.0	77.0	0.08683473389355742	0.23249299719887956	0.2689075630252101	0.0	0.0	True	True
AA018	high	0.6624944511961165	0.5534732072634417	primary_model_oof_prediction	Klebsiella_pneumoniae	IncFIB	ColRNAI_rep_cluster_1857,IncC,IncFIA,IncFIB,IncFII,IncR,IncX3,rep_cluster_1418,rep_cluster_2183,rep_cluster_2373	8.0	8.0	3.0	2.0	5.0	2001.0	2010.0	0.25	357.0	77.0	0.08683473389355742	0.23249299719887956	0.2689075630252101	0.0	0.0	True	True
AA297	high	0.5249294096197593	0.5489361225784661	primary_model_oof_prediction	Escherichia_coli	IncFIA	IncFIA,IncFIB,IncFIC,rep_cluster_2131,rep_cluster_2244	14.0	14.0	6.0	2.0	8.0	2000.0	2017.0	0.07142857142857142	240.0	48.0	0.175	0.7833333333333333	0.9125	0.5666666666666667	0.5166666666666667	True	True
AA833	high	0.340337549950952	0.5347346008245448	primary_model_oof_prediction	Klebsiella_pneumoniae	IncFIB	IncFIB,IncR,rep_cluster_1418,rep_cluster_2218	8.0	8.0	3.0	2.0	5.0	2001.0	2010.0	0.25	357.0	77.0	0.08683473389355742	0.23249299719887956	0.2689075630252101	0.0	0.0	True	True
