card_amr_gene_family	high	low	prevalence_delta_high_minus_low
aminoglycoside antibiotic;carbapenem;cephalosporin;fluoroquinolone antibiotic;macrolide antibiotic;penicillin beta-lactam;peptide antibiotic	0.0080971659919028	0.0	0.0080971659919028
aminoglycoside antibiotic;cephalosporin;disinfecting agents and antiseptics;macrolide antibiotic;peptide antibiotic;rifamycin antibiotic;tetracycline antibiotic	0.0080971659919028	0.0	0.0080971659919028
aminoglycoside antibiotic;disinfecting agents and antiseptics;fluoroquinolone antibiotic;penicillin beta-lactam;tetracycline antibiotic	0.0080971659919028	0.0	0.0080971659919028
oxazolidinone antibiotic;phenicol antibiotic	0.0080971659919028	0.0	0.0080971659919028
fusidane antibiotic	0.0040485829959514	0.0	0.0040485829959514
aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;macrolide antibiotic;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	0.0040485829959514	0.0	0.0040485829959514
aminocoumarin antibiotic;aminoglycoside antibiotic;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;penicillin beta-lactam;phenicol antibiotic;tetracycline antibiotic	0.0040485829959514	0.0	0.0040485829959514
aminoglycoside antibiotic;carbapenem;cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;macrolide antibiotic;penicillin beta-lactam;phenicol antibiotic;tetracycline antibiotic	0.0040485829959514	0.0	0.0040485829959514
lincosamide antibiotic;macrolide antibiotic;orthosomycin antibiotic	0.0040485829959514	0.0	0.0040485829959514
antibacterial free fatty acids	0.0040485829959514	0.0	0.0040485829959514
lincosamide antibiotic;macrolide antibiotic	0.0040485829959514	0.0	0.0040485829959514
cephalosporin;fluoroquinolone antibiotic;macrolide antibiotic;penicillin beta-lactam;tetracycline antibiotic	0.0040485829959514	0.0	0.0040485829959514
cephalosporin;fluoroquinolone antibiotic;penicillin beta-lactam	0.0040485829959514	0.0	0.0040485829959514
cephalosporin;moenomycin antibiotic;penicillin beta-lactam;peptide antibiotic	0.0040485829959514	0.0	0.0040485829959514
lincosamide antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	0.0040485829959514	0.0	0.0040485829959514
lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;streptogramin antibiotic	0.0040485829959514	0.0	0.0040485829959514
disinfecting agents and antiseptics;fluoroquinolone antibiotic	0.0040485829959514	0.0	0.0040485829959514
fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic	0.0040485829959514	0.0	0.0040485829959514
