dominant_source	n_backbones	mean_priority_index	mean_spread_label	mean_coherence
insd_leaning	297	0.019486594609627	0.0	0.8180722891566264
refseq_leaning	6548	0.2145689565825954	0.3770833333333333	0.6376847645530036
