prediction_bin	mean_prediction	observed_rate	n_backbones	prediction_bin_index	observed_rate_se	observed_rate_ci_lower	observed_rate_ci_upper	absolute_calibration_gap
(0.145, 0.17]	0.16538113974245588	0.18548387096774194	124	1	0.03490535643553357	0.12689662335434448	0.2629733407262052	0.020102731225286052
(0.17, 0.177]	0.17348906567018962	0.1693548387096774	124	2	0.0336818340666167	0.11351887518815744	0.24506236910165113	0.004134226960512216
(0.177, 0.263]	0.20806008759341288	0.18699186991869918	123	3	0.03515655006139785	0.12795746795510443	0.2649861719863658	0.021068217674713702
(0.263, 0.287]	0.27194769704556987	0.24193548387096775	124	4	0.03845847210608586	0.17504889877225968	0.3243315845758836	0.03001221317460212
(0.287, 0.334]	0.3098163212703304	0.34959349593495936	123	5	0.04299535648352966	0.2710389155299655	0.4372586776886631	0.03977717466462899
(0.334, 0.418]	0.3646486886243378	0.41935483870967744	124	6	0.04431343256996376	0.3362044785056739	0.5073519225406208	0.05470615008533963
(0.418, 0.582]	0.4971314398187741	0.5691056910569106	123	7	0.044650804439584364	0.4808071908005235	0.6532182393422689	0.07197425123813644
(0.582, 0.95]	0.7553849333398143	0.8064516129032258	124	8	0.03547914073097257	0.7281401662946105	0.8663455097294692	0.05106667956341149
