model_name	status	base_model_name	specialist_model_name	gating_rule	specialist_weight_lower_half	roc_auc	average_precision	positive_prevalence	average_precision_lift	average_precision_enrichment	brier_score	precision_at_top_10	recall_at_top_10	precision_at_top_25	recall_at_top_25	n_backbones	n_positive	roc_auc_ci_lower	roc_auc_ci_upper	average_precision_ci_lower	average_precision_ci_upper	brier_score_ci_lower	brier_score_ci_upper
adaptive_natural_priority	ok	natural_auc_priority	novelty_specialist_priority	lower_half_specialist_switch	1.0	0.8670244168935649	0.7787571666192807	0.3660262891809909	0.4127308774382898	2.1275989994101345	0.154875428549166	1.0	0.0276243093922651	1.0	0.0690607734806629	989	362	0.84391588215052	0.8890592059127127	0.7378460042434861	0.8199568884848173	0.1408740985827506	0.1704565057043776
adaptive_knownness_robust_priority	ok	knownness_robust_priority	novelty_specialist_priority	lower_half_specialist_switch	1.0	0.8929260620159137	0.8193264023476932	0.3660262891809909	0.4533001131667022	2.2384359445355484	0.1290691213338589	1.0	0.0276243093922651	1.0	0.0690607734806629	989	362	0.8742934555281447	0.9112130817476936	0.7816563996206299	0.8563185155497957	0.1164834919882879	0.1422139345924665
adaptive_knownness_blend_priority	ok	knownness_robust_priority	novelty_specialist_priority	lower_half_specialist_blend_0p50	0.5	0.8873747653916307	0.8150865000893527	0.3660262891809909	0.4490602109083618	2.2268523441667676	0.1333596945669655	1.0	0.0276243093922651	1.0	0.0690607734806629	989	362	0.8673660211436232	0.9070056604004332	0.7777324060828604	0.8516360850716463	0.1213209413998508	0.1453993298075642
adaptive_support_calibrated_blend_priority	ok	support_calibrated_priority	novelty_specialist_priority	lower_half_specialist_blend_0p50	0.5	0.8985126049679698	0.8421860789375505	0.3660262891809909	0.4761597897565596	2.300889591351485	0.1267675163012708	1.0	0.0276243093922651	1.0	0.0690607734806629	989	362	0.8788642508213542	0.9171680183488502	0.810174377006881	0.8741037037653777	0.1150056181407329	0.1383774493174278
adaptive_support_synergy_blend_priority	ok	support_synergy_priority	novelty_specialist_priority	lower_half_specialist_blend_0p50	0.5	0.933684034294677	0.8904946480319273	0.3660262891809909	0.5244683588509365	2.4328707373026965	0.1096422329625413	1.0	0.0276243093922651	1.0	0.0690607734806629	989	362	0.9193201840675972	0.94687219029705	0.8636312216171042	0.9148567414575386	0.0974137910683026	0.1221513624197593
adaptive_host_transfer_synergy_blend_priority	ok	host_transfer_synergy_priority	novelty_specialist_priority	lower_half_specialist_blend_0p70	0.7	0.8913576004300052	0.816657712981641	0.3660262891809909	0.4506314238006501	2.231144967234373	0.1301768602545309	1.0	0.0276243093922651	1.0	0.0690607734806629	989	362	0.8715194928839307	0.910979759587866	0.7795128938236506	0.8531999757916451	0.1178689295261916	0.1428054303590012
adaptive_threat_architecture_blend_priority	ok	threat_architecture_priority	novelty_specialist_priority	lower_half_specialist_blend_0p50	0.5	0.8870223021138985	0.8135336321997116	0.3660262891809909	0.4475073430187207	2.222609840457223	0.1334466039066237	1.0	0.0276243093922651	1.0	0.0690607734806629	989	362	0.8670350083608935	0.9071113644218032	0.776186599787435	0.8503322858744453	0.1212998604644229	0.1458301979661678
