who_mia_category	high	low	prevalence_delta_high_minus_low
CIA	0.7004048582995951	0.0323886639676113	0.6680161943319838
HIA	0.6558704453441295	0.0445344129554655	0.611336032388664
HPCIA	0.5344129554655871	0.0364372469635627	0.4979757085020243
IA	0.0769230769230769	0.0	0.0769230769230769
