model_name	n_backbones	n_permutations	positive_prevalence	observed_roc_auc	null_roc_auc_mean	null_roc_auc_std	null_roc_auc_q975	empirical_p_roc_auc	observed_average_precision	observed_average_precision_lift	observed_average_precision_enrichment	null_average_precision_mean	null_average_precision_std	null_average_precision_q975	empirical_p_average_precision
bio_clean_priority	989	2000	0.3660262891809909	0.7467881783816649	0.49925817164080466	0.019142181960287004	0.5367678126128984	0.0004997501249375312	0.660052719022453	0.2940264298414621	1.8032932019701824	0.36977729404953424	0.015895234186606415	0.40237428076158566	0.0004997501249375312
parsimonious_priority	989	2000	0.3660262891809909	0.7515266065716778	0.49975983923268746	0.019489386100939133	0.5378228343334479	0.0004997501249375312	0.6644882701832903	0.29846198100229937	1.81541132378805	0.3702439636378267	0.015557511233348625	0.4025820069874862	0.0004997501249375312
full_priority	989	2000	0.3660262891809909	0.7774943385586014	0.49926774542458613	0.019234291861830385	0.5375072695551032	0.0004997501249375312	0.6895333430118898	0.32350705383089895	1.8838355697203288	0.3696548535598764	0.015310590182376252	0.3994016960564831	0.0004997501249375312
baseline_both	989	2000	0.3660262891809909	0.7224968498594553	0.5005425302016971	0.01901433925992012	0.536974499281856	0.0004997501249375312	0.6471951497145494	0.2811688605335585	1.7681657543306335	0.37079163326484504	0.01567625951668511	0.4034848115147639	0.0004997501249375312
baseline_country_count	989	2000	0.3660262891809909	0.541687594173782	0.49970665913276413	0.019036021891898847	0.5374265885079348	0.017991004497751123	0.45446424969117094	0.08843796051018005	1.241616416973945	0.37010386130574213	0.015530119321602167	0.4026397541634087	0.0004997501249375312
source_only	989	2000	0.3660262891809909	0.45228087798602484	0.5004719769665248	0.01938678512951537	0.5376733678747344	0.991504247876062	0.33889561941036755	-0.02713066977062334	0.9258778110410318	0.37064611297051386	0.015929953729935924	0.4039868758429656	0.9875062468765617
