calibration_method	n_backbones	mean_prediction	observed_rate	brier_score	ece	expected_calibration_error	max_calibration_error	model_name	evaluation_split	calibration_strategy	calibration_gain_vs_raw_brier	calibration_gain_vs_raw_ece
raw	989	0.36601158650725374	0.3660262891809909	0.18606395543277585	0.039308991841346834	0.039308991841346834	0.0728166764993547	baseline_both	oof	identity	0.0	0.0
platt	989	0.36602976306045876	0.3660262891809909	0.1863646955563982	0.03972598459367333	0.03972598459367333	0.08307123268510502	baseline_both	oof	nested_oof	-0.00030074012362235614	-0.0004169927523264977
isotonic	989	0.36685015163337537	0.3660262891809909	0.18959944685627658	0.04775307867825126	0.04775307867825126	0.10566389021408468	baseline_both	oof	nested_oof	-0.003535491423500736	-0.008444086836904424
beta	989	0.3667924820852759	0.3660262891809909	0.18559156137854543	0.03783825675531174	0.03783825675531174	0.0785567619925131	baseline_both	oof	nested_oof	0.0004723940542304128	0.0014707350860350965
raw	989	0.36589292148973557	0.3660262891809909	0.2204514342986089	0.03424082042649313	0.03424082042649313	0.060748884120384206	baseline_country_count	oof	identity	0.0	0.0
platt	989	0.3657279048181204	0.3660262891809909	0.22077600916518433	0.030972704556332546	0.030972704556332546	0.08931980083210145	baseline_country_count	oof	nested_oof	-0.00032457486657544443	0.0032681158701605845
isotonic	989	0.3663032205777432	0.3660262891809909	0.22331473297255433	0.040335249224242406	0.040335249224242406	0.11497306644184166	baseline_country_count	oof	nested_oof	-0.0028632986739454414	-0.006094428797749275
beta	989	0.3662865744856241	0.3660262891809909	0.22073162861547832	0.03790610606359372	0.03790610606359372	0.09174329711265877	baseline_country_count	oof	nested_oof	-0.00028019431686943097	-0.003665285637100592
raw	989	0.3435242537382626	0.3660262891809909	0.18843160555888724	0.06344924581432256	0.06344924581432256	0.16150045494081622	bio_clean_priority	oof	identity	0.0	0.0
platt	989	0.3658987251684371	0.3660262891809909	0.18748273604465235	0.05604814847262983	0.05604814847262983	0.1082750720273723	bio_clean_priority	oof	nested_oof	0.0009488695142348957	0.007401097341692725
isotonic	989	0.3649291854849162	0.3660262891809909	0.18564027253518509	0.02730590827555264	0.02730590827555264	0.051664028123250966	bio_clean_priority	oof	nested_oof	0.0027913330237021583	0.036143337538769915
beta	989	0.36612649531777713	0.3660262891809909	0.18749229003264942	0.05423412604657621	0.05423412604657621	0.10201620678532691	bio_clean_priority	oof	nested_oof	0.0009393155262378272	0.009215119767746346
raw	989	0.3381963491871822	0.3660262891809909	0.1741468405593137	0.052130315819712426	0.052130315819712426	0.12545111165826117	ecology_clinical_priority	oof	identity	0.0	0.0
platt	989	0.3662010834095254	0.3660262891809909	0.17221469204118964	0.039745793027510086	0.039745793027510086	0.06665139026573763	ecology_clinical_priority	oof	nested_oof	0.001932148518124066	0.01238452279220234
isotonic	989	0.3669603204016593	0.3660262891809909	0.17227787708395778	0.04454217893747503	0.04454217893747503	0.08892556041755037	ecology_clinical_priority	oof	nested_oof	0.0018689634753559226	0.0075881368822373965
beta	989	0.36604783796078066	0.3660262891809909	0.17201913635417598	0.02669693063512215	0.02669693063512215	0.08591496685308492	ecology_clinical_priority	oof	nested_oof	0.0021277042051377204	0.025433385184590276
raw	989	0.3661192454247041	0.3660262891809909	0.17852102654638743	0.034223800982575464	0.034223800982575464	0.07429904466171189	full_priority	oof	identity	0.0	0.0
platt	989	0.3662119000078573	0.3660262891809909	0.17891685959949233	0.04288400908850795	0.04288400908850795	0.08643153356380288	full_priority	oof	nested_oof	-0.0003958330531048937	-0.008660208105932488
isotonic	989	0.36506898044374897	0.3660262891809909	0.17731464448531234	0.027789691919876965	0.027789691919876965	0.05524257333171376	full_priority	oof	nested_oof	0.0012063820610750953	0.0064341090626984995
beta	989	0.3665057088213031	0.3660262891809909	0.17889699469158823	0.034579421519515874	0.034579421519515874	0.07900450429421163	full_priority	oof	nested_oof	-0.00037596814520080013	-0.00035562053694040974
raw	989	0.48837195920356047	0.3660262891809909	0.18380370331075385	0.12234567002256964	0.12234567002256964	0.18162315026308828	host_transfer_synergy_priority	oof	identity	0.0	0.0
platt	989	0.36624415000879373	0.3660262891809909	0.16867109912253334	0.027940028231646794	0.027940028231646794	0.05774644959324711	host_transfer_synergy_priority	oof	nested_oof	0.015132604188220516	0.09440564179092285
isotonic	989	0.3661211782998431	0.3660262891809909	0.16700081302381262	0.03274172074283478	0.03274172074283478	0.05055865476427543	host_transfer_synergy_priority	oof	nested_oof	0.016802890286941236	0.08960394927973486
beta	989	0.36604565360557395	0.3660262891809909	0.16842891139525767	0.017999227927121976	0.017999227927121976	0.03417952190648166	host_transfer_synergy_priority	oof	nested_oof	0.015374791915496178	0.10434644209544766
raw	989	0.48705522159550435	0.3660262891809909	0.1832583052445109	0.12108286356387285	0.12108286356387285	0.20887533054233987	knownness_robust_priority	oof	identity	0.0	0.0
platt	989	0.36623621613169904	0.3660262891809909	0.16835533005786835	0.03901326561078233	0.03901326561078233	0.12817833239538234	knownness_robust_priority	oof	nested_oof	0.014902975186642548	0.08206959795309052
isotonic	989	0.3663294832279326	0.3660262891809909	0.1661486075421165	0.020855608155359105	0.020855608155359105	0.04781913726459805	knownness_robust_priority	oof	nested_oof	0.0171096977023944	0.10022725540851374
beta	989	0.3660562494304965	0.3660262891809909	0.16809574128571594	0.03501422292854559	0.03501422292854559	0.10789179869283927	knownness_robust_priority	oof	nested_oof	0.01516256395879495	0.08606864063532726
raw	989	0.34424062099802927	0.3660262891809909	0.18673268487922962	0.04617776277941568	0.04617776277941568	0.12381228358421759	parsimonious_priority	oof	identity	0.0	0.0
