model_name	status	n_backbones	spearman_corr	spearman_ci_lower	spearman_ci_upper	pearson_corr	mean_weighted_burden_top_25	mean_weighted_burden_overall
bio_clean_priority	ok	989	0.45735426542325053	0.4023521378229802	0.5084210566946279	0.386636847021594	1.3441368730315455	0.4445973722666789
parsimonious_priority	ok	989	0.4652066922146147	0.4123527050370103	0.5162467128736903	0.4360184175350377	1.669949872609231	0.4445973722666789
natural_auc_priority	ok	989	0.5411226584174733	0.4916589020924174	0.5873932096502926	0.4671586619898247	2.1214924194355342	0.4445973722666789
knownness_robust_priority	ok	989	0.5704974306731948	0.5226943766943912	0.6130196149469134	0.4712945280516501	2.116501660438892	0.4445973722666789
support_calibrated_priority	ok	989	0.5845258683651143	0.538889668986373	0.6286991109041942	0.48447046513036557	2.360641415779679	0.4445973722666789
support_synergy_priority	ok	989	0.6202425190120556	0.575305643171218	0.6601888803932209	0.49358252355370286	2.5791739596550225	0.4445973722666789
host_transfer_synergy_priority	ok	989	0.5729765620832588	0.5236249611487787	0.6158221910870022	0.47091931912844154	2.140284782461881	0.4445973722666789
ecology_clinical_priority	ok	989	0.5643558456787368	0.5149360172216263	0.6098584168627724	0.4953218197253746	2.4118496744016173	0.4445973722666789
adaptive_natural_priority	ok	989	0.5748030525667577	0.5250050255376468	0.617236201623362	0.47629055391476866	2.1214924194355342	0.4445973722666789
adaptive_knownness_robust_priority	ok	989	0.5896051627333522	0.5437450235907779	0.6316048929432596	0.47515269849573516	2.116501660438892	0.4445973722666789
adaptive_knownness_blend_priority	ok	989	0.5840774169479843	0.5378185881121581	0.6266475130954319	0.4790558114181011	2.116501660438892	0.4445973722666789
adaptive_support_calibrated_blend_priority	ok	989	0.5937429716686025	0.547105175838496	0.6365810073731077	0.4890869205798935	2.360641415779679	0.4445973722666789
adaptive_support_synergy_blend_priority	ok	989	0.6189801661152657	0.5734645846383938	0.6586740995104369	0.5062768624256943	2.5791739596550225	0.4445973722666789
adaptive_host_transfer_synergy_blend_priority	ok	989	0.5866128015531356	0.5387169720884734	0.6284378499603248	0.4794639298239295	2.140284782461881	0.4445973722666789
adaptive_threat_architecture_blend_priority	ok	989	0.5622687568224566	0.5135306806590961	0.604935192255113	0.45381138130737764	2.142308205553549	0.4445973722666789
baseline_both	ok	989	0.43199730403314285	0.37771915718075916	0.4873041257068258	0.491398550783846	2.2864565987847594	0.4445973722666789
